time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_packet_loss_dl_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006502114453362,0.0092983245849609,0.0043400263382216,0.0052452087402343,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0071525573730468,0.496,1.36,0.0,0.0,0.848,0.848,100.0,25.152,27.344,137.36,0.0,1000.023603439331,1000.023603439331,0.0,0.0,0.0062193189348493,0.0087261199951171,0.0222682952880859,0.0098977770124162,903.024,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0061632981940881,0.0083446502685546,0.00419114765368,0.0050067901611328,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0071525573730468,0.496,1.424,0.0,0.0,0.848,0.848,0.0,25.152,27.344,117.192,0.0,999.9873638153076,999.9873638153076,-1000.9901523590088,-1000.9901523590088,0.0062193189348493,0.0087261199951171,0.0222682952880859,0.0098977770124162,1022.08,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062968471262714,0.0083208084106445,0.0042367366052442,0.0050067901611328,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0071525573730468,0.496,1.424,0.0,0.0,0.848,0.848,0.0,25.152,27.344,118.448,0.0,1000.1075267791748,1000.1075267791748,-998.9781379699708,-998.9781379699708,0.0062193189348493,0.0087261199951171,0.0222682952880859,0.0098977770124162,2110.208,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066851625348081,0.0085830688476562,0.0042719919173443,0.0050067901611328,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0071525573730468,0.496,1.424,0.0,0.0,0.848,0.848,0.0,25.152,27.344,118.448,0.0,1000.019073486328,1000.019073486328,-1000.0028610229492,-1000.0028610229492,0.0062193189348493,0.0087261199951171,0.0222682952880859,0.0098977770124162,1079.04,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068619476622016,0.0092983245849609,0.0041525336306067,0.0050067901611328,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0071525573730468,0.496,1.424,0.0,0.0,0.848,0.848,0.0,25.152,27.344,117.888,0.0,999.9735355377196,999.9735355377196,-999.9802112579346,-999.9802112579346,0.0062193189348493,0.0087261199951171,0.0222682952880859,0.0098977770124162,2307.112,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0064598387153587,0.0085830688476562,0.0041961669921875,0.0050067901611328,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0071525573730468,0.496,1.424,0.0,0.0,0.848,0.848,0.0,25.152,27.344,117.192,0.0,999.983549118042,999.983549118042,-1000.9884834289552,-1000.9884834289552,0.0062193189348493,0.0087261199951171,0.0222682952880859,0.0098977770124162,1807.024,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066875818356945,0.0088214874267578,0.0042465183284732,0.0050067901611328,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0071525573730468,0.496,1.424,0.0,0.0,0.848,0.848,0.0,25.152,27.344,117.192,0.0,1000.0019073486328,1000.0019073486328,-998.9955425262452,-998.9955425262452,0.0062193189348493,0.0087261199951171,0.0222682952880859,0.0098977770124162,2390.496,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0065689656271863,0.0085830688476562,0.0041723251342773,0.0050067901611328,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0071525573730468,0.496,1.424,0.0,0.0,0.848,0.848,0.0,25.152,27.344,117.192,0.0,1000.0174045562744,1000.0174045562744,-999.983549118042,-999.983549118042,0.0062193189348493,0.0087261199951171,0.0222682952880859,0.0098977770124162,2629.856,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062178616500019,0.0081062316894531,0.0043259726630316,0.0050067901611328,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0071525573730468,0.496,1.424,0.0,0.0,0.848,0.848,0.0,25.152,27.344,117.192,0.0,999.9675750732422,999.9675750732422,-999.9983310699464,-999.9983310699464,0.0062193189348493,0.0087261199951171,0.0222682952880859,0.0098977770124162,735.12,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0065435277353418,0.008559226989746,0.0041560303393027,0.0047683715820312,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0071525573730468,0.496,1.424,0.0,0.0,0.848,0.848,0.0,25.152,27.344,118.448,0.0,1000.025749206543,1000.025749206543,-999.986171722412,-999.986171722412,0.0062193189348493,0.0087261199951171,0.0222682952880859,0.0098977770124162,2363.056,0
