time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_c_packet_loss_dl_percentage,a1_packet_loss_dl_percentage,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061128197646722,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.004434585571289,0.0062227249145507,0.0073909759521484,0.0073909759521484,0.496,1.36,0.0,0.0,6.448,7.008,25.152,139.856,27.344,50.0,20.0,0.0,-88.23509216308594,-266.6592597961426,338.34391832351685,553.3760786056519,0.0063555581229073,0.0084877014160156,0.0223159790039062,0.0101430075509207,315.872,0
1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061128197646722,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.004434585571289,0.0062227249145507,0.0147819519042968,0.0147819519042968,0.496,1.36,0.0,0.0,6.096,5.728,25.152,139.856,27.344,25.0,40.0,0.0,-89.81122970581055,-267.30553309122723,266.6699886322021,477.9707431793213,0.0063555581229073,0.0084877014160156,0.0223159790039062,0.0101430075509207,315.872,0
2,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060820579528808,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0102519989013671,0.0102519989013671,0.496,1.424,0.0,0.0,8.88,9.04,25.152,112.0,27.344,20.0,20.0,0.0,-113.0151033401489,-320.7325339317322,212.01300621032715,444.5844650268555,0.0063555581229073,0.0084877014160156,0.0223159790039062,0.0101430075509207,0.0,0
3,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060684052272815,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0104904174804687,0.0104904174804687,0.496,1.36,0.0,0.0,6.576,6.864,25.152,113.256,27.344,20.0,20.0,0.0,-45.34904956817627,-211.5139961242676,251.66255235672,444.3708181381226,0.0063555581229073,0.0084877014160156,0.0223159790039062,0.0101430075509207,1.192,0
4,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060684052272815,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0042915344238281,0.0042915344238281,0.0092983245849609,0.0092983245849609,0.496,1.36,0.0,0.0,6.448,7.008,25.152,113.256,27.344,33.33333333333333,20.0,0.0,-115.19536972045896,-268.4958577156067,336.33536100387573,545.384407043457,0.0063555581229073,0.0084877014160156,0.0223159790039062,0.0101430075509207,1.192,0
5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061597397078329,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0088214874267578,0.0088214874267578,0.496,1.36,0.0,0.0,6.096,5.728,25.152,113.256,27.344,25.0,40.0,0.0,-93.64228248596191,-266.98772112528485,266.66752497355145,476.8297672271729,0.0063555581229073,0.0084877014160156,0.0223159790039062,0.0101430075509207,1.192,0
6,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062814572962318,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0041345270668588,0.0052452087402343,0.0123977661132812,0.0123977661132812,0.496,1.36,0.0,0.0,8.88,9.04,25.152,136.968,27.344,20.0,20.0,0.0,-116.25876426696776,-319.7405934333801,213.1631374359131,443.0807828903199,0.0063555581229073,0.0084877014160156,0.0223159790039062,0.0101430075509207,427.272,0
7,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0071596743455573,0.0100135803222656,0.0073909759521484,0.0073909759521484,0.0038538589950435,0.0045299530029296,0.0095367431640625,0.0095367431640625,0.496,1.424,0.0,0.0,6.576,6.864,25.152,117.192,27.344,20.0,20.0,0.0,-50.54965019226074,-212.97991275787356,252.52407789230347,444.1441297531129,0.0063555581229073,0.0084877014160156,0.0223159790039062,0.0101430075509207,22122.992,0
8,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0068831443786621,0.0088214874267578,0.0100135803222656,0.0100135803222656,0.003970902541588,0.0047683715820312,0.009775161743164,0.009775161743164,0.496,1.424,0.0,0.0,6.448,7.008,25.152,116.632,27.344,33.33333333333333,20.0,0.0,-104.03299331665032,-263.2662057876587,334.3542218208313,554.2176723480225,0.0063555581229073,0.0084877014160156,0.0223159790039062,0.0101430075509207,1643.336,0
9,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0065231323242187,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0140666961669921,0.0140666961669921,0.496,1.424,0.0,0.0,6.096,5.728,25.152,112.0,27.344,25.0,40.0,0.0,-81.02927207946777,-266.9583161671956,266.6611671447754,484.0559959411621,0.0063555581229073,0.0084877014160156,0.0223159790039062,0.0101430075509207,0.0,0
