time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_packet_loss_ul_percentage,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0060909423068981,0.0078678131103515,0.004887580871582,0.0057458877563476,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.36,5.6,0.0,6.512,117.192,25.152,27.344,100.0,581.5876483917236,0.0,100.0,786.6081714630127,0.0,0.0,0.0,0.0,999.976634979248,999.976634979248,15.872,0
1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0062593599645102,0.0085830688476562,0.0044538619670462,0.0058174133300781,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.424,6.096,0.0,5.728,137.96,25.152,27.344,40.0,602.4811863899231,0.0,0.0,796.379828453064,-800.0924587249756,-799.1837024688721,-998.995304107666,-998.995304107666,1000.06103515625,1000.06103515625,426.024,0
2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0061309337615966,0.0078916549682617,0.0,0.0,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.392,9.856,0.0,10.176,112.0,25.152,27.344,16.666666666666664,579.1913270950317,0.0,0.0,783.0328941345215,-802.1706104278564,-799.9996662139893,-999.9866485595704,-999.9866485595704,1000.0135898590088,1000.0135898590088,0.0,0
3,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0063507118035311,0.0088214874267578,0.0061988830566406,0.0061988830566406,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.36,6.448,0.0,6.224,113.256,25.152,27.344,20.0,639.9960041046143,0.0,0.0,800.0058174133301,-800.5291819572449,-799.9868154525757,-1000.9829998016356,-1000.9829998016356,999.9492168426514,999.9492168426514,1.192,0
4,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0064088337457002,0.0088214874267578,0.0064373016357421,0.0064373016357421,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.36,5.6,0.0,6.512,113.256,25.152,27.344,25.0,586.2184524536133,0.0,0.0,784.8280906677246,-800.2347151438395,-799.9885559082031,-998.988389968872,-998.988389968872,1000.0112056732178,1000.0112056732178,1.192,0
5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.006291403699277,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.36,6.096,0.0,5.728,113.256,25.152,27.344,40.0,599.7586250305176,0.0,0.0,787.3086929321289,-800.8458614349365,-800.0051498413086,-1000.9865760803224,-1000.9865760803224,999.9938011169434,999.9938011169434,1.192,0
6,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0061345100402832,0.0083446502685546,0.0,0.0,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.36,9.856,0.0,10.176,112.0,25.152,27.344,16.666666666666664,583.4990739822388,0.0,0.0,783.9723825454712,-800.4971504211426,-799.1614818572998,-998.9922046661376,-998.9922046661376,1000.1189708709716,1000.1189708709716,0.0,0
7,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0066097500254806,0.0090599060058593,0.0039607442486348,0.0047683715820312,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.424,6.448,0.0,6.224,143.152,25.152,27.344,20.0,636.4375114440918,0.0,0.0,800.2096652984619,-801.7498254776001,-798.6190319061279,-1000.9841918945312,-1000.9841918945312,999.9804496765136,999.9804496765136,10197.192,0
8,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0072711735815551,0.009775161743164,0.0039358341947514,0.0047683715820312,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.424,5.6,0.0,6.512,117.192,25.152,27.344,25.0,585.5837345123291,0.0,0.0,783.1947803497314,-799.7081279754639,-799.1940975189209,-998.9933967590332,-998.9933967590332,999.9496936798096,999.9496936798096,12592.536,0
9,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0063133239746093,0.0088214874267578,0.0,0.0,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.392,6.096,0.0,5.728,112.0,25.152,27.344,40.0,600.4902124404907,0.0,0.0,787.7785682678223,-800.2363840738932,-799.9231815338135,-1000.9877681732178,-1000.9877681732178,1000.0367164611816,1000.0367164611816,0.0,0
10,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0062599557961149,0.0085353851318359,0.0048081080118815,0.0063180923461914,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.392,9.856,0.0,10.176,123.64,25.152,27.344,16.666666666666664,579.181949297587,0.0,0.0,778.008222579956,-800.888729095459,-799.9829292297363,-998.9876747131348,-998.9876747131348,999.9911785125732,999.9911785125732,52.928,0
11,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0062673398763826,0.0085830688476562,0.0039112000238327,0.0045299530029296,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.424,6.448,0.0,6.224,118.448,25.152,27.344,20.0,639.8319721221924,0.0,0.0,799.6114730834961,-799.9485731124878,-799.8449802398682,-999.9854564666748,-999.9854564666748,1000.0009536743164,1000.0009536743164,3379.904,0
12,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0077966433852466,0.0100135803222656,0.0039022080202933,0.0045299530029296,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.424,5.6,0.0,6.512,117.888,25.152,27.344,25.0,587.5860691070557,0.0,0.0,785.994815826416,-800.1263936360677,-799.1993427276611,-999.9988079071044,-999.9988079071044,999.995231628418,999.995231628418,31179.896,0
13,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0072228908538818,0.0092983245849609,0.0,0.0,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.392,6.096,0.0,5.728,112.0,25.152,27.344,40.0,600.4887819290161,0.0,0.0,785.9949350357056,-803.4389019012451,-800.4628658294678,-999.9806880950928,-999.9806880950928,1000.025987625122,1000.025987625122,0.0,0
14,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0068414211273193,0.0088214874267578,0.0,0.0,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.36,9.856,0.0,10.176,112.0,25.152,27.344,16.666666666666664,578.8495540618896,0.0,0.0,775.0294208526611,-800.2014636993408,-799.8773097991943,-999.992847442627,-999.992847442627,1000.0483989715576,1000.0483989715576,0.0,0
15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0066983699798583,0.0085830688476562,0.0050067901611328,0.0050067901611328,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.36,6.448,0.0,6.224,112.0,25.152,27.344,20.0,635.6205940246582,0.0,0.0,790.2087211608887,-800.2943992614746,-799.2791891098022,-1000.9832382202148,-1000.9832382202148,999.9775886535645,999.9775886535645,1.976,0
16,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0065530047697179,0.0088214874267578,0.004589557647705,0.0057220458984375,0.0065939767020089,0.0093460083007812,0.0104563576834542,0.023651123046875,0,0.496,1.424,5.6,0.0,6.512,121.488,25.152,27.344,25.0,581.3945770263672,0.0,0.0,786.58447265625,-785.6524785359701,-777.5670528411865,-1000.0019073486328,-1000.0019073486328,999.9938011169434,999.9938011169434,129.648,0
