time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_packet_loss_ul_percentage,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0075526353789538,0.0100135803222656,0.0038823182715915,0.0045299530029296,0.0072956085205078,0.0100612640380859,0.0150203704833984,0.0169277191162109,0.0211238861083984,0.0299453735351562,1.696,1.696,8.88,9.04,3.504,4.52,20.0,142.592,40.0,-73.37188720703125,423.7464904785156,210.0142240524292,-266.6451930999756,0.0170469284057617,0.0228643417358398,36954.648,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0075526353789538,0.0100135803222656,0.0038823182715915,0.0045299530029296,0.0072956085205078,0.0100612640380859,0.0150203704833984,0.0169277191162109,0.0211238861083984,0.0299453735351562,1.696,1.696,6.576,6.864,3.504,4.52,20.0,142.592,20.0,-43.13197135925293,423.4500169754028,268.25231313705444,-210.61909198760983,0.0170469284057617,0.0228643417358398,36954.648,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0072901521749164,0.009775161743164,0.0042120615641276,0.0054836273193359,0.0072956085205078,0.0100612640380859,0.0150203704833984,0.0169277191162109,0.0211238861083984,0.0299453735351562,1.696,1.696,6.448,7.008,3.504,4.52,33.33333333333333,117.192,20.0,-93.23201179504392,480.7277202606201,321.7546343803406,-253.05217504501343,0.0170469284057617,0.0228643417358398,181.072,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0069330234338741,0.0088214874267578,0.0041119846296899,0.0050067901611328,0.0061511993408203,0.0080108642578125,0.0118255615234375,0.0169277191162109,0.0211238861083984,0.02288818359375,1.696,1.696,6.096,5.728,4.232,3.744,25.0,118.448,40.0,-75.9237289428711,442.51537322998047,266.6650613149007,-263.66106669108075,0.0170469284057617,0.0228643417358398,859.208,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067777301541608,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0064373016357421,0.008559226989746,0.0115394592285156,0.0169277191162109,0.0211238861083984,0.0268936157226562,1.696,1.696,8.88,9.04,7.736,8.264,20.0,113.256,20.0,-95.03335952758786,419.964337348938,211.26967668533325,-338.56749534606934,0.0170469284057617,0.0228643417358398,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066509341249371,0.0085830688476562,0.0045597553253173,0.0055551528930664,0.0,0.0,0.0,0.0169277191162109,0.0211238861083984,0.0,1.696,1.696,6.576,6.864,0.0,0.0,20.0,117.912,20.0,-47.76191711425781,419.27878856658936,268.5147523880005,-212.13197708129883,0.0170469284057617,0.0228643417358398,23.008,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068700313568115,0.0088214874267578,0.0054836273193359,0.0054836273193359,0.0062942504882812,0.008249282836914,0.0110626220703125,0.0169277191162109,0.0211238861083984,0.0222206115722656,1.696,1.696,6.448,7.008,4.232,3.744,33.33333333333333,112.0,20.0,-96.30985260009764,480.9510231018066,320.2356696128845,-251.53380632400516,0.0170469284057617,0.0228643417358398,7.216,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066852569580078,0.0083446502685546,0.0,0.0,0.0059008598327636,0.0066995620727539,0.0122388203938802,0.0169277191162109,0.0211238861083984,0.0236034393310546,1.696,1.696,6.096,5.728,3.704,4.272,25.0,112.0,40.0,-81.65249824523926,438.3174896240234,266.68230692545575,-266.6606108347575,0.0170469284057617,0.0228643417358398,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006793737411499,0.0083684921264648,0.0,0.0,0.0056902567545572,0.0075340270996093,0.0114281972249348,0.0169277191162109,0.0211238861083984,0.0301837921142578,1.696,1.696,8.88,9.04,11.968,12.008,20.0,112.0,20.0,-96.30119800567624,417.1635389328003,212.5184535980225,-336.30508184432983,0.0170469284057617,0.0228643417358398,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068295001983642,0.0088453292846679,0.0,0.0,0.006103515625,0.0076770782470703,0.0128746032714843,0.0169277191162109,0.0211238861083984,0.0245571136474609,1.696,1.696,6.576,6.864,4.232,3.744,20.0,112.0,20.0,-52.36945152282715,416.437554359436,268.2539820671081,-213.1088376045227,0.0170469284057617,0.0228643417358398,0.0,0
