time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0063007317700432,0.0084638595581054,0.0077247619628906,0.0071525573730468,0.0099658966064453,0.0082015991210937,0.0063555581229073,0.0041007995605468,0.0047683715820312,0.0088214874267578,0.0105108533586774,0.0128746032714843,0.0128746032714843,0.0236988067626953,0,0.496,1.36,5.6,6.512,25.152,27.344,142.336,0.0083446502685546,0.0083446502685546,1451.144,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0064384877978272,0.0088214874267578,0.0074505805969238,0.0060081481933593,0.0089168548583984,0.0073432922363281,0.0063555581229073,0.0040717576266316,0.0050067901611328,0.0088214874267578,0.0105108533586774,0.0112056732177734,0.0112056732177734,0.0236988067626953,0,0.496,1.424,6.096,5.728,25.152,27.344,117.192,0.0083446502685546,0.0083446502685546,2567.576,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0060582160949707,0.0081062316894531,0.0065962473551432,0.0065326690673828,0.0084638595581054,0.0077247619628906,0.0063555581229073,0.0,0.0,0.0088214874267578,0.0105108533586774,0.0088214874267578,0.0088214874267578,0.0236988067626953,0,0.496,1.424,8.88,10.176,25.152,27.344,112.0,0.0081062316894531,0.0081062316894531,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0075149064016814,0.009775161743164,0.0078082084655761,0.0076770782470703,0.0104904174804687,0.0115871429443359,0.0063555581229073,0.0038944393589124,0.0045299530029296,0.0088214874267578,0.0105108533586774,0.0138282775878906,0.0138282775878906,0.0236988067626953,0,0.496,1.424,6.576,5.728,25.152,27.344,123.08,0.0102519989013671,0.0102519989013671,37142.28,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.006896346362669,0.0092983245849609,0.0082651774088541,0.0063896179199218,0.0103712081909179,0.0097274780273437,0.0063555581229073,0.0039217993617057,0.0047683715820312,0.0088214874267578,0.0105108533586774,0.0197887420654296,0.0197887420654296,0.0236988067626953,0,0.496,1.424,6.448,7.008,25.152,27.344,113.256,0.0061988830566406,0.0061988830566406,2926.432,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0059877462054959,0.0078678131103515,0.0085830688476562,0.006866455078125,0.0096321105957031,0.0092029571533203,0.0063555581229073,0.0073909759521484,0.0073909759521484,0.0088214874267578,0.0105108533586774,0.0138282775878906,0.0138282775878906,0.0236988067626953,0,0.496,1.392,6.096,5.728,25.152,27.344,113.256,0.0078678131103515,0.0078678131103515,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0061547756195068,0.0083446502685546,0.0065167744954427,0.0071922938028971,0.0072717666625976,0.0094175338745117,0.0063555581229073,0.0,0.0,0.0088214874267578,0.0105108533586774,0.0126361846923828,0.0126361846923828,0.0236988067626953,0,0.496,1.36,9.856,10.176,25.152,27.344,112.0,0.0081062316894531,0.0081062316894531,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.006113052368164,0.0083684921264648,0.0071525573730468,0.0065326690673828,0.008392333984375,0.0080108642578125,0.0063555581229073,0.0,0.0,0.0088214874267578,0.0105108533586774,0.0095367431640625,0.0095367431640625,0.0236988067626953,0,0.496,1.36,6.448,6.224,25.152,27.344,112.0,0.0092983245849609,0.0092983245849609,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0062739849090576,0.0083446502685546,0.0072002410888671,0.006258487701416,0.009012222290039,0.0070810317993164,0.0063555581229073,0.0,0.0,0.0088214874267578,0.0105108533586774,0.0128746032714843,0.0128746032714843,0.0236988067626953,0,0.496,1.36,5.6,6.512,25.152,27.344,112.0,0.0073909759521484,0.0073909759521484,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0063621997833251,0.0083446502685546,0.0069737434387207,0.006866455078125,0.0080108642578125,0.0087738037109375,0.0063555581229073,0.0,0.0,0.0088214874267578,0.0105108533586774,0.0102519989013671,0.0102519989013671,0.0236988067626953,0,0.496,1.36,6.096,5.728,25.152,27.344,112.0,0.0073909759521484,0.0073909759521484,0.0,0
