time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062648532460036,0.0082254409790039,0.0069141387939453,0.0069141387939453,0.0088214874267578,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.006239754813058,0.0041840506381675,0.0054836273193359,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.848,0.848,143.152,25.152,27.344,0.0045299530029296,0.0045299530029296,1289.216,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062648532460036,0.0082254409790039,0.0085830688476562,0.0085830688476562,0.0,0.0,0.011444091796875,0.011444091796875,0.006239754813058,0.0041840506381675,0.0054836273193359,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,143.152,25.152,27.344,0.0,0.0,1289.216,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060021877288818,0.0081062316894531,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0107288360595703,0.0107288360595703,0.006239754813058,0.0046888987223307,0.0063180923461914,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.424,0.0,0.0,112.0,25.152,27.344,0.0,0.0,65.296,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059545336671136,0.00762939453125,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0092983245849609,0.0092983245849609,0.006239754813058,0.0045299530029296,0.0045299530029296,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.392,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060411234993246,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0121593475341796,0.0121593475341796,0.006239754813058,0.0073909759521484,0.0073909759521484,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061158517106848,0.0083446502685546,0.009775161743164,0.009775161743164,0.0,0.0,0.019073486328125,0.019073486328125,0.006239754813058,0.0064373016357421,0.0064373016357421,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060868263244628,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0064373016357421,0.0064373016357421,0.006239754813058,0.0,0.0,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060510635375976,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0112056732177734,0.0112056732177734,0.006239754813058,0.0,0.0,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061375423542504,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0081062316894531,0.0081062316894531,0.006239754813058,0.0039544075157991,0.0047683715820312,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,143.152,25.152,27.344,0.0,0.0,1722.92,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060033798217773,0.0081300735473632,0.0069141387939453,0.0069141387939453,0.0,0.0,0.013589859008789,0.013589859008789,0.006239754813058,0.0,0.0,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.424,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060387511751545,0.0078678131103515,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0104904174804687,0.0104904174804687,0.006239754813058,0.0045299530029296,0.0045299530029296,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
