time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063146202309617,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0041699567377962,0.0052452087402343,0.0065214493695427,0.021219253540039,0.021219253540039,0.0089406967163085,0.0119209289550781,0.0097288025750054,0.0170707702636718,0.021219253540039,0.0,0.496,1.36,1.696,1.696,143.152,25.68,26.816,0.0065565109252929,0.0074148178100585,1549.4,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073008276336821,0.009775161743164,0.0088214874267578,0.0088214874267578,0.0038657471530623,0.0045299530029296,0.0065214493695427,0.0116825103759765,0.0116825103759765,0.0089406967163085,0.0119209289550781,0.0097288025750054,0.0170707702636718,0.021219253540039,0.0,0.496,1.424,1.696,1.696,117.192,25.68,26.816,0.0065565109252929,0.0074148178100585,24086.328,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060582160949707,0.0081300735473632,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0065214493695427,0.0123977661132812,0.0123977661132812,0.0089406967163085,0.0119209289550781,0.0097288025750054,0.0170707702636718,0.021219253540039,0.0,0.496,1.424,1.696,1.696,112.0,25.68,26.816,0.0065565109252929,0.0074148178100585,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059569059912838,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0078678131103515,0.0078678131103515,0.0065214493695427,0.0102519989013671,0.0102519989013671,0.0089406967163085,0.0119209289550781,0.0097288025750054,0.0170707702636718,0.021219253540039,0.0,0.496,1.36,1.696,1.696,113.256,25.68,26.816,0.0065565109252929,0.0074148178100585,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059735122604749,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0045299530029296,0.0045299530029296,0.0065214493695427,0.0090599060058593,0.0090599060058593,0.0089406967163085,0.0119209289550781,0.0097288025750054,0.0170707702636718,0.021219253540039,0.0,0.496,1.36,1.696,1.696,113.256,25.68,26.816,0.0065565109252929,0.0074148178100585,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059111364956559,0.0078201293945312,0.0078678131103515,0.0078678131103515,0.0069936116536458,0.0079631805419921,0.0065214493695427,0.0126361846923828,0.0126361846923828,0.0089406967163085,0.0119209289550781,0.0097288025750054,0.0170707702636718,0.021219253540039,0.0,0.496,1.424,1.696,1.696,120.872,25.68,26.816,0.0065565109252929,0.0074148178100585,9.992,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006513642560085,0.009012222290039,0.0081062316894531,0.0081062316894531,0.0039609845655446,0.0045299530029296,0.0065214493695427,0.00762939453125,0.00762939453125,0.0089406967163085,0.0119209289550781,0.0097288025750054,0.0170707702636718,0.021219253540039,0.0,0.496,1.392,1.696,1.696,127.576,25.68,26.816,0.0065565109252929,0.0074148178100585,7556.08,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065898895263671,0.0090837478637695,0.0071525573730468,0.0071525573730468,0.0040805879443761,0.0047683715820312,0.0065214493695427,0.0116825103759765,0.0116825103759765,0.0089406967163085,0.0119209289550781,0.0097288025750054,0.0170707702636718,0.021219253540039,0.0,0.496,1.424,1.696,1.696,112.0,25.68,26.816,0.0065565109252929,0.0074148178100585,2496.6,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060164928436279,0.0078678131103515,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0065214493695427,0.0140666961669921,0.0140666961669921,0.0089406967163085,0.0119209289550781,0.0097288025750054,0.0170707702636718,0.021219253540039,0.0,0.496,1.392,1.696,1.696,112.0,25.68,26.816,0.0065565109252929,0.0074148178100585,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066158219511285,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0039640099111229,0.0047683715820312,0.0065214493695427,0.0071525573730468,0.0071525573730468,0.0089406967163085,0.0119209289550781,0.0097288025750054,0.0170707702636718,0.021219253540039,0.0,0.496,1.424,1.696,1.696,121.88,25.68,26.816,0.0065565109252929,0.0074148178100585,7075.16,0
