time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059153903183059,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0088214874267578,0.0123977661132812,0.0088214874267578,0.0123977661132812,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.36,0.848,0.848,116.392,25.152,27.344,0.0071525573730468,0.0071525573730468,4.104,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058167120989631,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.004887580871582,0.0133514404296875,0.0065088272094726,0.0133514404296875,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.424,0.848,0.848,129.44,25.152,27.344,0.0071525573730468,0.0071525573730468,90.032,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057816505432128,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.009775161743164,0.0,0.009775161743164,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.424,0.848,0.848,112.0,25.152,27.344,0.0071525573730468,0.0071525573730468,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058382897827755,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0069141387939453,0.0066757202148437,0.0069141387939453,0.0066757202148437,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.36,0.848,0.848,113.256,25.152,27.344,0.0071525573730468,0.0071525573730468,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060050945563856,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0060399373372395,0.0095367431640625,0.0069618225097656,0.0095367431640625,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.424,0.848,0.848,120.056,25.152,27.344,0.0071525573730468,0.0071525573730468,7.416,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057455354136199,0.0078678131103515,0.0104904174804687,0.0104904174804687,0.0062783559163411,0.0128746032714843,0.0068187713623046,0.0128746032714843,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.424,0.848,0.848,117.784,25.152,27.344,0.0071525573730468,0.0071525573730468,5.144,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005807876586914,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0,0.0112056732177734,0.0,0.0112056732177734,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0071525573730468,0.0071525573730468,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058043003082275,0.00762939453125,0.00762939453125,0.00762939453125,0.0,0.0133514404296875,0.0,0.0133514404296875,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0071525573730468,0.0071525573730468,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058223705480594,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0056425730387369,0.0078678131103515,0.007486343383789,0.0078678131103515,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.424,0.848,0.848,120.432,25.152,27.344,0.0071525573730468,0.0071525573730468,21.896,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060451030731201,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0095367431640625,0.0,0.0095367431640625,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0071525573730468,0.0071525573730468,0.0,0
