time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062127715175591,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0063828059605189,0.0053957888954564,0.013589859008789,0.013589859008789,0.008392333984375,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.36,0.848,0.848,134.288,25.152,27.344,0.0047683715820312,0.0047683715820312,114.376,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062417984008789,0.0081300735473632,0.0100135803222656,0.0100135803222656,0.0063828059605189,0.0052452087402343,0.0138282775878906,0.0138282775878906,0.0054359436035156,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.424,0.848,0.848,112.0,25.152,27.344,0.0047683715820312,0.0047683715820312,4.56,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060980592794086,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0063828059605189,0.0047683715820312,0.0100135803222656,0.0100135803222656,0.0047683715820312,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.392,0.848,0.848,113.256,25.152,27.344,0.0047683715820312,0.0047683715820312,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063484790278416,0.0087499618530273,0.0064373016357421,0.0064373016357421,0.0063828059605189,0.0050897183625594,0.0071525573730468,0.0071525573730468,0.0068187713623046,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.36,0.848,0.848,121.072,25.152,27.344,0.0047683715820312,0.0047683715820312,117.448,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062106859565961,0.0081062316894531,0.0150203704833984,0.0150203704833984,0.0063828059605189,0.0055432319641113,0.0104904174804687,0.0104904174804687,0.0078201293945312,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.424,0.848,0.848,118.448,25.152,27.344,0.0047683715820312,0.0047683715820312,58.976,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059521198272705,0.00762939453125,0.00762939453125,0.00762939453125,0.0063828059605189,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.424,0.848,0.848,112.0,25.152,27.344,0.0047683715820312,0.0047683715820312,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060582160949707,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0063828059605189,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0047683715820312,0.0047683715820312,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006035566329956,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0063828059605189,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0047683715820312,0.0047683715820312,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060570240020751,0.0078678131103515,0.005960464477539,0.005960464477539,0.0063828059605189,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0047683715820312,0.0047683715820312,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061573673836627,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0063828059605189,0.0047683715820312,0.0092983245849609,0.0092983245849609,0.0047683715820312,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.36,0.848,0.848,113.256,25.152,27.344,0.0047683715820312,0.0047683715820312,1.192,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006022660628609,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0063828059605189,0.0056690639919704,0.0092983245849609,0.0092983245849609,0.0067710876464843,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.36,0.848,0.848,133.288,25.152,27.344,0.0047683715820312,0.0047683715820312,37.448,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062285371087676,0.0088214874267578,0.0066757202148437,0.0066757202148437,0.0063828059605189,0.0046166506680575,0.0100135803222656,0.0100135803222656,0.0057220458984375,0.0083446502685546,0.009918212890625,0.0128746032714843,0.0128746032714843,0.0207424163818359,0.496,1.424,0.848,0.848,113.256,25.152,27.344,0.0047683715820312,0.0047683715820312,82.424,0
