time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061383887903014,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0064577375139508,0.0046417117118835,0.0116825103759765,0.0116825103759765,0.0083446502685546,0.0083446502685546,0.0078439712524414,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.36,0.848,0.848,25.152,117.192,27.344,0.0052452087402343,0.0052452087402343,303.872,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067013065989424,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0064577375139508,0.0040865118698138,0.0116825103759765,0.0116825103759765,0.0083446502685546,0.0083446502685546,0.0050067901611328,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.424,0.848,0.848,25.152,137.96,27.344,0.0052452087402343,0.0052452087402343,7533.24,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059688091278076,0.0078916549682617,0.0064373016357421,0.0064373016357421,0.0064577375139508,0.0,0.0178813934326171,0.0178813934326171,0.0083446502685546,0.0083446502685546,0.0,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.392,0.848,0.848,25.152,112.0,27.344,0.0052452087402343,0.0052452087402343,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060363788509843,0.0081062316894531,0.0054836273193359,0.0054836273193359,0.0064577375139508,0.0066757202148437,0.0085830688476562,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0066757202148437,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.36,0.848,0.848,25.152,113.256,27.344,0.0052452087402343,0.0052452087402343,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060083819370643,0.0078678131103515,0.0050067901611328,0.0050067901611328,0.0064577375139508,0.0044618334089006,0.0100135803222656,0.0100135803222656,0.0083446502685546,0.0083446502685546,0.005960464477539,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.36,0.848,0.848,25.152,128.832,27.344,0.0052452087402343,0.0052452087402343,183.464,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064880541055509,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0064577375139508,0.0040191041547699,0.005960464477539,0.005960464477539,0.0083446502685546,0.0083446502685546,0.0047683715820312,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.424,0.848,0.848,25.152,118.448,27.344,0.0052452087402343,0.0052452087402343,6542.064,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059426720462628,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0064577375139508,0.0060796737670898,0.009775161743164,0.009775161743164,0.0083446502685546,0.0083446502685546,0.0071287155151367,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.36,0.848,0.848,25.152,117.192,27.344,0.0052452087402343,0.0052452087402343,7.28,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061392784118652,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0064577375139508,0.0,0.0061988830566406,0.0061988830566406,0.0083446502685546,0.0083446502685546,0.0,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.424,0.848,0.848,25.152,112.0,27.344,0.0052452087402343,0.0052452087402343,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059163570404052,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0064577375139508,0.0,0.005960464477539,0.005960464477539,0.0083446502685546,0.0083446502685546,0.0,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.36,0.848,0.848,25.152,112.0,27.344,0.0052452087402343,0.0052452087402343,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061821937561035,0.0081300735473632,0.0066757202148437,0.0066757202148437,0.0064577375139508,0.0,0.0128746032714843,0.0128746032714843,0.0083446502685546,0.0083446502685546,0.0,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.36,0.848,0.848,25.152,112.0,27.344,0.0052452087402343,0.0052452087402343,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061644843561732,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0064577375139508,0.0078678131103515,0.0131130218505859,0.0131130218505859,0.0083446502685546,0.0083446502685546,0.0078678131103515,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.36,0.848,0.848,25.152,113.256,27.344,0.0052452087402343,0.0052452087402343,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062285371087676,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0064577375139508,0.0066757202148437,0.0162124633789062,0.0162124633789062,0.0083446502685546,0.0083446502685546,0.0066757202148437,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.36,0.848,0.848,25.152,113.256,27.344,0.0052452087402343,0.0052452087402343,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060529851201754,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0064577375139508,0.0050067901611328,0.0128746032714843,0.0128746032714843,0.0083446502685546,0.0083446502685546,0.0050067901611328,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.36,0.848,0.848,25.152,113.256,27.344,0.0052452087402343,0.0052452087402343,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059771537780761,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0064577375139508,0.0,0.0066757202148437,0.0066757202148437,0.0083446502685546,0.0083446502685546,0.0,0.0094890594482421,0.0101293836321149,0.0225543975830078,0.496,1.36,0.848,0.848,25.152,112.0,27.344,0.0052452087402343,0.0052452087402343,0.0,0
