time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061614840638403,0.0083446502685546,0.00762939453125,0.00762939453125,0.005960464477539,0.0073909759521484,0.00610772301169,0.0069141387939453,0.0069141387939453,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,133.632,0.0,0.0056028366088867,0.0077486038208007,83.984,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060927867889404,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.005960464477539,0.0073909759521484,0.00610772301169,0.0069141387939453,0.0069141387939453,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.424,1.696,1.696,25.68,26.816,112.0,0.0,0.0054836273193359,0.0056743621826171,10.728,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060268895543036,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.005960464477539,0.0073909759521484,0.00610772301169,0.009775161743164,0.009775161743164,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,113.256,0.0,0.00762939453125,0.00762939453125,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063222030113483,0.0085353851318359,0.00762939453125,0.00762939453125,0.005960464477539,0.0073909759521484,0.00610772301169,0.0126361846923828,0.0126361846923828,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,114.376,0.0,0.0090599060058593,0.0090599060058593,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060778945239622,0.0083446502685546,0.00762939453125,0.00762939453125,0.005960464477539,0.0073909759521484,0.00610772301169,0.009775161743164,0.009775161743164,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,113.256,0.0,0.0088214874267578,0.0088214874267578,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059724453106597,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.005960464477539,0.0073909759521484,0.00610772301169,0.0066757202148437,0.0066757202148437,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.36,1.696,1.696,25.68,26.816,113.272,0.0,0.0061988830566406,0.0061988830566406,2.104,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063035546279535,0.0084877014160156,0.0100135803222656,0.0100135803222656,0.005960464477539,0.0073909759521484,0.00610772301169,0.0107288360595703,0.0107288360595703,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.424,1.696,1.696,25.68,26.816,136.632,0.0,0.004862484179045,0.005960464477539,208.272,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065915027068028,0.0090599060058593,0.0085830688476562,0.0085830688476562,0.005960464477539,0.0073909759521484,0.00610772301169,0.0123977661132812,0.0123977661132812,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.424,1.696,1.696,25.68,26.816,117.192,0.0,0.0041611809230728,0.0047683715820312,2064.472,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061068204369875,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.005960464477539,0.0073909759521484,0.00610772301169,0.0088214874267578,0.0088214874267578,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.424,1.696,1.696,25.68,26.816,115.72,0.0,0.004433668576754,0.0052452087402343,855.792,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058695821478815,0.0078439712524414,0.00762939453125,0.00762939453125,0.005960464477539,0.0073909759521484,0.00610772301169,0.011444091796875,0.011444091796875,0.0065326690673828,0.0087261199951171,0.0083446502685546,0.0093579292297363,0.0206232070922851,0.496,1.424,1.696,1.696,25.68,26.816,113.816,0.0,0.0045299530029296,0.0045299530029296,1.192,0
