time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060032872320378,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0056028366088867,0.006270408630371,0.0066689082554408,0.0107288360595703,0.0107288360595703,0.0064373016357421,0.0075817108154296,0.0094413757324218,0.0095163072858537,0.0202178955078125,0.496,1.36,1.696,1.696,25.152,27.344,0.0,126.544,0.0055703249844637,0.0078678131103515,24.376,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061111070623445,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0056028366088867,0.006270408630371,0.0066689082554408,0.011444091796875,0.011444091796875,0.0064373016357421,0.0075817108154296,0.0094413757324218,0.0095163072858537,0.0202178955078125,0.496,1.424,1.696,1.696,25.152,27.344,0.0,114.408,0.005778812226795,0.00762939453125,64.472,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059413909912109,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0056028366088867,0.006270408630371,0.0066689082554408,0.0095367431640625,0.0095367431640625,0.0064373016357421,0.0075817108154296,0.0094413757324218,0.0095163072858537,0.0202178955078125,0.496,1.424,1.696,1.696,25.152,27.344,0.0,112.0,0.0050067901611328,0.006103515625,11.88,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059675814500495,0.0081062316894531,0.0112056732177734,0.0112056732177734,0.0056028366088867,0.006270408630371,0.0066689082554408,0.0107288360595703,0.0107288360595703,0.0064373016357421,0.0075817108154296,0.0094413757324218,0.0095163072858537,0.0202178955078125,0.496,1.36,1.696,1.696,25.152,27.344,0.0,113.256,0.0042915344238281,0.0042915344238281,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062356540812781,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0056028366088867,0.006270408630371,0.0066689082554408,0.0081062316894531,0.0081062316894531,0.0064373016357421,0.0075817108154296,0.0094413757324218,0.0095163072858537,0.0202178955078125,0.496,1.36,1.696,1.696,25.152,27.344,0.0,113.256,0.00762939453125,0.00762939453125,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060719637135368,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0056028366088867,0.006270408630371,0.0066689082554408,0.0095367431640625,0.0095367431640625,0.0064373016357421,0.0075817108154296,0.0094413757324218,0.0095163072858537,0.0202178955078125,0.496,1.36,1.696,1.696,25.152,27.344,0.0,113.256,0.0045299530029296,0.0045299530029296,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061644843561732,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0056028366088867,0.006270408630371,0.0066689082554408,0.0054836273193359,0.0054836273193359,0.0064373016357421,0.0075817108154296,0.0094413757324218,0.0095163072858537,0.0202178955078125,0.496,1.36,1.696,1.696,25.152,27.344,0.0,114.888,0.0064373016357421,0.0064373016357421,2.6,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059771537780761,0.0081300735473632,0.0061988830566406,0.0061988830566406,0.0056028366088867,0.006270408630371,0.0066689082554408,0.0119209289550781,0.0119209289550781,0.0064373016357421,0.0075817108154296,0.0094413757324218,0.0095163072858537,0.0202178955078125,0.496,1.424,1.696,1.696,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058412551879882,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0056028366088867,0.006270408630371,0.0066689082554408,0.0057220458984375,0.0057220458984375,0.0064373016357421,0.0075817108154296,0.0094413757324218,0.0095163072858537,0.0202178955078125,0.496,1.36,1.696,1.696,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060973781170231,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0056028366088867,0.006270408630371,0.0066689082554408,0.0133514404296875,0.0133514404296875,0.0064373016357421,0.0075817108154296,0.0094413757324218,0.0095163072858537,0.0202178955078125,0.496,1.424,1.696,1.696,25.152,27.344,0.0,119.216,0.0069141387939453,0.007486343383789,6.64,0
