time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067150708541129,0.0083446502685546,0.0107288360595703,0.0107288360595703,0.0042915344238281,0.0061852591378348,0.0131130218505859,0.0131130218505859,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,140.352,0.0044639293964092,0.006723403930664,650.984,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067150708541129,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0042915344238281,0.0061852591378348,0.0081062316894531,0.0081062316894531,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,140.352,0.0044639293964092,0.006723403930664,650.984,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067508220672607,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0042915344238281,0.0061852591378348,0.0061988830566406,0.0061988830566406,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.424,0.848,0.848,25.152,27.344,0.0,112.0,0.0040531158447265,0.0048160552978515,39.872,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066057366518238,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0042915344238281,0.0061852591378348,0.0069141387939453,0.0069141387939453,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.392,0.848,0.848,25.152,27.344,0.0,113.256,0.0047683715820312,0.0047683715820312,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067717993437354,0.0088214874267578,0.0061988830566406,0.0061988830566406,0.0042915344238281,0.0061852591378348,0.0107288360595703,0.0107288360595703,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,0.0057220458984375,0.0057220458984375,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065096575229322,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0042915344238281,0.0061852591378348,0.0066757202148437,0.0066757202148437,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,0.0047683715820312,0.0047683715820312,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006568431854248,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0042915344238281,0.0061852591378348,0.0083446502685546,0.0083446502685546,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066161155700683,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0042915344238281,0.0061852591378348,0.0085830688476562,0.0085830688476562,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066456285495202,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0042915344238281,0.0061852591378348,0.0078678131103515,0.0078678131103515,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.36,0.848,0.848,25.152,27.344,0.0,143.152,0.0040205262547774,0.0047683715820312,1530.632,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069793777086248,0.0090599060058593,0.0071525573730468,0.0071525573730468,0.0042915344238281,0.0061852591378348,0.0083446502685546,0.0083446502685546,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0095094953264508,0.020456314086914,0.496,1.424,0.848,0.848,25.152,27.344,0.0,117.192,0.0038397182745295,0.0045299530029296,9613.72,0
