time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067370609172339,0.0094175338745117,0.0069141387939453,0.0069141387939453,0.0070844377790178,0.0078678131103515,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,143.152,0.0040584264578601,0.0047683715820312,7837.112,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067370609172339,0.0094175338745117,0.0066757202148437,0.0066757202148437,0.0070844377790178,0.0104904174804687,0.0104904174804687,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,143.152,0.0040584264578601,0.0047683715820312,7837.112,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060617923736572,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0070844377790178,0.0109672546386718,0.0109672546386718,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.424,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060280757163887,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0070844377790178,0.0154972076416015,0.0154972076416015,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.392,0.848,0.848,25.152,27.344,0.0,113.256,0.0045299530029296,0.0045299530029296,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059733203813141,0.0080347061157226,0.0050067901611328,0.0050067901611328,0.0070844377790178,0.0090599060058593,0.0090599060058593,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,128.832,0.0044164203462146,0.0054836273193359,183.464,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065612320852751,0.0088214874267578,0.0066757202148437,0.0066757202148437,0.0070844377790178,0.0069141387939453,0.0069141387939453,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.392,0.848,0.848,25.152,27.344,0.0,118.448,0.0039928377011401,0.0047683715820312,6542.064,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063210577514041,0.0085830688476562,0.0126361846923828,0.0126361846923828,0.0070844377790178,0.011444091796875,0.011444091796875,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.424,0.848,0.848,25.152,27.344,0.0,117.192,0.0056028366088867,0.006270408630371,7.28,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060892105102539,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0070844377790178,0.0095367431640625,0.0095367431640625,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.392,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062370300292968,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0070844377790178,0.0100135803222656,0.0100135803222656,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.424,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061941146850585,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0070844377790178,0.0126361846923828,0.0126361846923828,0.0071525573730468,0.0071525573730468,0.0102519989013671,0.009775161743164,0.009775161743164,0.0095639910016741,0.0193119049072265,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
