time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061431334386417,0.0085830688476562,0.00762939453125,0.00762939453125,0.0062533787318638,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0100340162004743,0.0109672546386718,0.0109672546386718,0.0226974487304687,0.496,1.36,0.848,0.848,25.152,27.344,0.0,115.8,3.512,0.0088214874267578,0.0088214874267578,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061502504111522,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0062533787318638,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0100340162004743,0.0069141387939453,0.0069141387939453,0.0226974487304687,0.496,1.424,0.848,0.848,25.152,27.344,0.0,115.544,5.552,0.0078678131103515,0.0084400177001953,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063086500262269,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0062533787318638,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0100340162004743,0.0090599060058593,0.0090599060058593,0.0226974487304687,0.496,1.424,0.848,0.848,25.152,27.344,0.0,115.84,1.192,0.0061988830566406,0.0061988830566406,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064076475836151,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0062533787318638,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0100340162004743,0.0159740447998046,0.0159740447998046,0.0226974487304687,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,1.192,0.0061988830566406,0.0061988830566406,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061549950594925,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0062533787318638,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0100340162004743,0.0100135803222656,0.0100135803222656,0.0226974487304687,0.496,1.36,0.848,0.848,25.152,27.344,0.0,113.256,1.192,0.0088214874267578,0.0088214874267578,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005955696105957,0.0078916549682617,0.00762939453125,0.00762939453125,0.0062533787318638,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0100340162004743,0.0145435333251953,0.0145435333251953,0.0226974487304687,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062823295593261,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0062533787318638,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0100340162004743,0.00762939453125,0.00762939453125,0.0226974487304687,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060498714447021,0.0081062316894531,0.00762939453125,0.00762939453125,0.0062533787318638,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0100340162004743,0.0050067901611328,0.0050067901611328,0.0226974487304687,0.496,1.36,0.848,0.848,25.152,27.344,0.0,112.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063440587260935,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0062533787318638,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0100340162004743,0.0081062316894531,0.0081062316894531,0.0226974487304687,0.496,1.36,0.848,0.848,25.152,27.344,0.0,119.984,7.408,0.0071525573730468,0.0090599060058593,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063551282419741,0.0083446502685546,0.009775161743164,0.009775161743164,0.0062533787318638,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0100340162004743,0.0088214874267578,0.0088214874267578,0.0226974487304687,0.496,1.424,0.848,0.848,25.152,27.344,0.0,128.736,538.992,0.0043914124772355,0.0054836273193359,0
