time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_packet_loss_ul_percentage,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059090408624387,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0041848734805458,0.0058412551879882,0.0081062316894531,0.0081062316894531,0.0057697296142578,0.0172853469848632,0.0180006027221679,0.0073909759521484,0.0202417373657226,0.0224828720092773,0.0,0.496,1.36,4.232,3.744,1.696,1.696,132.768,0.0102996826171875,0.0197887420654296,415.2,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077621102920306,0.0104904174804687,0.0112056732177734,0.0112056732177734,0.0038516628509215,0.0045299530029296,0.0083446502685546,0.0083446502685546,0.0057697296142578,0.0172853469848632,0.0180006027221679,0.0073909759521484,0.0202417373657226,0.0224828720092773,0.0,0.496,1.36,4.232,3.744,1.696,1.696,127.576,0.0102996826171875,0.0197887420654296,42082.592,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072960829853418,0.009775161743164,0.0126361846923828,0.0126361846923828,0.003836910871798,0.0045299530029296,0.0259876251220703,0.0259876251220703,0.0058174133300781,0.0172853469848632,0.0180006027221679,0.007486343383789,0.0202417373657226,0.0224828720092773,0.0,0.496,1.36,4.232,3.744,1.696,1.696,117.192,0.009918212890625,0.0185966491699218,47942.264,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072587834726465,0.0099897384643554,0.0100135803222656,0.0100135803222656,0.0038549361989655,0.0045299530029296,0.0176429748535156,0.0176429748535156,0.0061353047688802,0.0172853469848632,0.0180006027221679,0.0084877014160156,0.0202417373657226,0.0224828720092773,0.0,0.496,1.36,11.968,12.008,1.696,1.696,118.448,0.0104904174804687,0.0272274017333984,23145.536,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070345283734916,0.0090599060058593,0.0092983245849609,0.0092983245849609,0.0075101852416992,0.007796287536621,0.0145435333251953,0.0145435333251953,0.0056743621826171,0.0172853469848632,0.0180006027221679,0.0071525573730468,0.0202417373657226,0.0224828720092773,0.0,0.496,1.36,4.232,3.744,1.696,1.696,118.448,0.0110626220703125,0.0211715698242187,7.904,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062309094329378,0.0088214874267578,0.00762939453125,0.00762939453125,0.0058650970458984,0.0070571899414062,0.00762939453125,0.00762939453125,0.006103515625,0.0172853469848632,0.0180006027221679,0.008392333984375,0.0202417373657226,0.0224828720092773,0.0,0.496,1.36,7.736,8.264,1.696,1.696,113.256,0.0111341476440429,0.028848648071289,21.064,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059783458709716,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0172853469848632,0.0180006027221679,0.0,0.0202417373657226,0.0224828720092773,0.0,0.496,1.36,0.0,0.0,1.696,1.696,112.0,0.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005878210067749,0.0078916549682617,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0057220458984375,0.0172853469848632,0.0180006027221679,0.0072002410888671,0.0202417373657226,0.0224828720092773,0.0,0.496,1.36,4.232,3.744,1.696,1.696,112.0,0.0105857849121093,0.0207901000976562,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057196617126464,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0063896179199218,0.0172853469848632,0.0180006027221679,0.008392333984375,0.0202417373657226,0.0224828720092773,0.0,0.496,1.36,4.232,3.744,1.696,1.696,112.0,0.0115871429443359,0.022125244140625,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00579833984375,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0,0.0,0.00762939453125,0.00762939453125,0.0059286753336588,0.0172853469848632,0.0180006027221679,0.008249282836914,0.0202417373657226,0.0224828720092773,0.0,0.496,1.36,11.968,12.008,1.696,1.696,112.0,0.0114123026529947,0.0295639038085937,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061312718177909,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0045299530029296,0.0045299530029296,0.0109672546386718,0.0109672546386718,0.0059127807617187,0.0172853469848632,0.0180006027221679,0.0074386596679687,0.0202417373657226,0.0224828720092773,0.0,0.496,1.36,4.232,3.744,1.696,1.696,113.256,0.0123977661132812,0.0237464904785156,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060351926888992,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0063657760620117,0.0,0.0,0.0090599060058593,0.0,0.0,0.0,0.496,1.36,7.736,8.264,0.0,0.0,113.256,0.0106334686279296,0.0256776809692382,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060814014379528,0.0082015991210937,0.0078678131103515,0.0078678131103515,0.0039016273641714,0.0045299530029296,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,144.408,0.0,0.0,4213.816,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059664249420166,0.0081300735473632,0.0126361846923828,0.0126361846923828,0.0051259994506835,0.006866455078125,0.0085830688476562,0.0085830688476562,0.0058174133300781,0.0,0.0,0.0072002410888671,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,112.0,0.0119686126708984,0.0236034393310546,37.056,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059199333190917,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0150203704833984,0.0150203704833984,0.0056743621826171,0.0,0.0,0.0071048736572265,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,116.632,0.0103950500488281,0.0201225280761718,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059187412261962,0.00762939453125,0.00762939453125,0.00762939453125,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0056425730387369,0.0,0.0,0.0077724456787109,0.0,0.0,0.0,0.496,1.36,11.968,12.008,0.0,0.0,112.0,0.0102678934733072,0.0256061553955078,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058507919311523,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0062465667724609,0.0,0.0,0.0077724456787109,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,112.0,0.009918212890625,0.0191211700439453,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057433968159689,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0045299530029296,0.0045299530029296,0.005960464477539,0.005960464477539,0.0058174133300781,0.0,0.0,0.0081062316894531,0.0,0.0,0.0,0.496,1.36,7.736,8.264,0.0,0.0,113.256,0.0102519989013671,0.0252246856689453,1.192,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057955879477126,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0047683715820312,0.0047683715820312,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058003325960529,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0121593475341796,0.0121593475341796,0.0057697296142578,0.0,0.0,0.0071048736572265,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,113.256,0.0110149383544921,0.0206947326660156,1.192,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057458877563476,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0056743621826171,0.0,0.0,0.0071525573730468,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,112.0,0.0104427337646484,0.0201702117919921,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059843063354492,0.0078916549682617,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0057697296142578,0.0,0.0,0.0078678131103515,0.0,0.0,0.0,0.496,1.36,11.968,12.008,0.0,0.0,112.0,0.0103950500488281,0.0260353088378906,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058281421661376,0.00762939453125,0.0061988830566406,0.0061988830566406,0.0,0.0,0.005960464477539,0.005960464477539,0.0057697296142578,0.0,0.0,0.0071048736572265,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,112.0,0.0118255615234375,0.0230789184570312,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061005064584676,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0039925498347128,0.0047683715820312,0.0088214874267578,0.0088214874267578,0.005960464477539,0.0,0.0,0.0086069107055664,0.0,0.0,0.0,0.496,1.36,7.736,8.264,0.0,0.0,143.152,0.0115633010864257,0.0317335128784179,2671.44,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00681735501431,0.0088214874267578,0.009775161743164,0.009775161743164,0.0038687940703982,0.0045299530029296,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,115.856,0.0,0.0,11957.992,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074216634920327,0.0100135803222656,0.0116825103759765,0.0116825103759765,0.0038426119169209,0.0045299530029296,0.0092983245849609,0.0092983245849609,0.0056743621826171,0.0,0.0,0.0072956085205078,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,118.448,0.0104427337646484,0.0200748443603515,23384.32,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064479242457021,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0043190442598783,0.0052452087402343,0.0116825103759765,0.0116825103759765,0.0060558319091796,0.0,0.0,0.0075817108154296,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,118.448,0.0108718872070312,0.0204086303710937,826.032,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061431334386417,0.0081062316894531,0.00762939453125,0.00762939453125,0.0041333111849698,0.0050067901611328,0.0088214874267578,0.0088214874267578,0.0060558319091796,0.0,0.0,0.0081300735473632,0.0,0.0,0.0,0.496,1.36,8.464,7.488,0.0,0.0,115.912,0.0101327896118164,0.0241518020629882,1004.912,0
