time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0063791507627905,0.0087261199951171,0.0046439792798913,0.0064373016357421,0.0063419342041015,0.0122785568237304,0.0137090682983398,0.0140905380249023,0.008249282836914,0.0183820724487304,1.696,1.696,6.576,6.928,25.152,27.344,60.0,136.8,20.0,0.0100476401192801,0.0206470489501953,-550.4629135131836,748.5408067703247,-640.0337219238281,587.4161124229431,162.088,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0071596743455573,0.0092983245849609,0.0043238362958354,0.0052452087402343,0.0063419342041015,0.0122785568237304,0.0137090682983398,0.0140905380249023,0.008249282836914,0.0183820724487304,1.696,1.696,6.448,7.04,25.152,27.344,33.33333333333333,117.192,20.0,0.0100476401192801,0.0206470489501953,-322.29411602020264,701.5758275985718,-480.7422161102295,544.0673232078552,1269.56,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0071015524033883,0.0090599060058593,0.0042720482899592,0.0052452087402343,0.0,0.0122785568237304,0.0137090682983398,0.0140905380249023,0.0,0.0183820724487304,1.696,1.696,6.096,5.76,0.0,0.0,25.0,117.192,40.0,0.0,0.0,-345.60232162475586,731.4492702484131,-520.9902127583822,533.5028171539307,1794.256,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066686032423332,0.0092983245849609,0.0042757356023213,0.0054836273193359,0.0062465667724609,0.0122785568237304,0.0137090682983398,0.0140905380249023,0.0085830688476562,0.0183820724487304,1.696,1.696,8.88,9.072,8.264,7.736,20.0,117.888,20.0,0.0122547149658203,0.0293970108032226,-371.65424823760986,714.1177415847778,-592.2505855560303,460.694432258606,1459.984,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0065689656271863,0.0088214874267578,0.0042880282682531,0.0052452087402343,0.0061273574829101,0.0122785568237304,0.0137090682983398,0.0140905380249023,0.0081300735473632,0.0183820724487304,1.696,1.696,6.576,6.928,8.264,7.736,20.0,117.888,20.0,0.0102519989013671,0.0245332717895507,-372.5991487503052,763.9963150024414,-532.4684977531433,591.137945652008,1209.568,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0071265909931447,0.0090360641479492,0.0042170840125101,0.0050067901611328,0.0,0.0122785568237304,0.0137090682983398,0.0140905380249023,0.0,0.0183820724487304,1.696,1.696,6.448,7.04,0.0,0.0,33.33333333333333,118.448,20.0,0.0,0.0,-308.3302974700928,712.1560335159302,-477.49507427215576,549.2738485336304,2377.928,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066104813001642,0.0088214874267578,0.0042219530359358,0.005197525024414,0.0,0.0122785568237304,0.0137090682983398,0.0140905380249023,0.0,0.0183820724487304,1.696,1.696,6.096,5.76,0.0,0.0,25.0,117.192,40.0,0.0,0.0,-352.620792388916,728.2761096954346,-533.3290894826254,533.5264205932617,1924.488,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006793737411499,0.009322166442871,0.0042068330865157,0.0050067901611328,0.0055432319641113,0.0122785568237304,0.0137090682983398,0.0140905380249023,0.005960464477539,0.0183820724487304,1.696,1.696,8.88,9.072,4.272,3.704,20.0,116.632,20.0,0.0104109446207682,0.0183582305908203,-376.1874198913574,713.1438970565796,-591.503918170929,463.5891914367676,2636.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0070624090545806,0.0085830688476562,0.0042316241142077,0.0052452087402343,0.0059366226196289,0.0122785568237304,0.0137090682983398,0.0140905380249023,0.0081300735473632,0.0183820724487304,1.696,1.696,6.576,6.928,7.488,8.464,20.0,117.192,20.0,0.0108242034912109,0.0298261642456054,-376.3697385787964,757.1750402450562,-532.2233438491821,589.0156030654907,1750.664,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0070956215929629,0.0090599060058593,0.0042654777485164,0.0052452087402343,0.006262461344401,0.0122785568237304,0.0137090682983398,0.0140905380249023,0.008249282836914,0.0183820724487304,1.696,1.696,6.448,7.04,12.008,11.968,33.33333333333333,117.192,20.0,0.0110308329264322,0.0273704528808593,-313.0121946334839,708.4685564041138,-478.2536029815674,548.7238764762878,1567.784,0
