time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060629729487469,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0044584274291992,0.0057220458984375,0.0085830688476562,0.0085830688476562,0.0062806265694754,0.0084877014160156,0.496,1.36,6.096,5.76,25.152,27.344,132.416,40.0,75.0,533.9115460713705,730.8110237121582,0.0103269304547991,0.022125244140625,-307.1253299713135,-307.1253299713135,230.32,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062522603504693,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0048398971557617,0.0064373016357421,0.0145435333251953,0.0145435333251953,0.0062806265694754,0.0084877014160156,0.496,1.424,9.856,10.24,25.152,27.344,117.192,16.666666666666664,16.666666666666664,521.3151931762695,760.9303951263428,0.0103269304547991,0.022125244140625,-396.6055393218994,-579.1840076446533,206.032,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060701370239257,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.496,1.424,6.448,6.256,0.0,0.0,112.0,20.0,40.0,548.8570332527161,710.385537147522,0.0,0.0,-353.0293941497803,-533.6762269337972,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062143031637466,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0047683715820312,0.0047683715820312,0.0090599060058593,0.0090599060058593,0.0066518783569335,0.0088930130004882,0.496,1.36,5.6,6.544,8.264,7.736,113.256,25.0,20.0,533.926248550415,726.8604755401611,0.0117301940917968,0.0287055969238281,-310.63504219055176,-477.986752986908,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063845859700111,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0050067901611328,0.0050067901611328,0.0112056732177734,0.0112056732177734,0.0068902969360351,0.0089883804321289,0.496,1.36,6.096,5.76,8.264,7.736,112.136,40.0,25.0,533.744732538859,725.8735179901123,0.0115156173706054,0.0293970108032226,-356.0786247253418,-534.3586603800455,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062724251059157,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0047683715820312,0.0047683715820312,0.0085830688476562,0.0085830688476562,0.0,0.0,0.496,1.36,9.856,10.24,0.0,0.0,113.256,16.666666666666664,16.666666666666664,520.3375816345215,756.2315464019775,0.0,0.0,-398.5828399658203,-577.7774810791016,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.006188154220581,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0057220458984375,0.0057220458984375,0.0,0.0,0.496,1.36,6.448,6.256,0.0,0.0,112.0,20.0,40.0,550.2795577049255,708.3735227584839,0.0,0.0,-356.9737911224365,-533.6407820383707,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060466256472143,0.0083208084106445,0.0071525573730468,0.0071525573730468,0.0072717666625976,0.0088930130004882,0.0138282775878906,0.0138282775878906,0.0063896179199218,0.0086307525634765,0.496,1.36,5.6,6.544,3.744,4.232,118.672,25.0,20.0,533.3007176717123,721.5699195861816,0.0112056732177734,0.0213146209716796,-315.2930021286011,-479.0030121803284,6.096,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063554564518715,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0052452087402343,0.0052452087402343,0.0058650970458984,0.0083684921264648,0.496,1.424,6.096,5.76,7.488,8.464,112.56,40.0,25.0,534.2418352762858,722.074556350708,0.011754035949707,0.0307798385620117,-359.2946529388428,-534.0119997660319,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.006031634202644,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0060796737670898,0.0067472457885742,0.0104904174804687,0.0104904174804687,0.0067778996058872,0.0090837478637695,0.496,1.36,9.856,10.24,12.536,11.44,117.344,16.666666666666664,16.666666666666664,521.0700035095215,751.0855197906494,0.0112354755401611,0.0282526016235351,-402.5970458984375,-577.179479598999,5.328,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063542702897864,0.0088214874267578,0.00762939453125,0.00762939453125,0.0042915344238281,0.0042915344238281,0.0121593475341796,0.0121593475341796,0.0064849853515625,0.0086307525634765,0.496,1.424,6.448,6.256,8.264,7.736,113.256,20.0,40.0,549.0590929985046,703.638482093811,0.0107049942016601,0.0266075134277343,-361.570405960083,-533.6392720540365,1.192,0
