time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065530388100633,0.0088214874267578,0.0072717666625976,0.0063180923461914,0.0073671340942382,0.0067949295043945,0.0133514404296875,0.0133514404296875,0.0044497950323696,0.0054836273193359,0.0085830688476562,0.0085830688476562,0.0064032418387276,0.0085353851318359,0.496,1.36,4.256,4.48,25.152,27.344,143.152,0.0096184866768973,0.0204086303710937,930.72,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065530388100633,0.0088214874267578,0.0072717666625976,0.0063180923461914,0.0073671340942382,0.0067949295043945,0.0071525573730468,0.0071525573730468,0.0044497950323696,0.0054836273193359,0.0133514404296875,0.0133514404296875,0.0064032418387276,0.0085353851318359,0.496,1.36,4.256,4.48,25.152,27.344,143.152,0.0096184866768973,0.0204086303710937,930.72,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059866905212402,0.0081300735473632,0.0072717666625976,0.0063180923461914,0.0073671340942382,0.0067949295043945,0.0102519989013671,0.0102519989013671,0.0050067901611328,0.0055789947509765,0.00762939453125,0.00762939453125,0.0064032418387276,0.0085353851318359,0.496,1.424,4.256,4.48,25.152,27.344,112.0,0.0096184866768973,0.0204086303710937,46.248,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069672518437451,0.0095129013061523,0.0072717666625976,0.0063180923461914,0.0073671340942382,0.0067949295043945,0.00762939453125,0.00762939453125,0.0038781680294208,0.0045299530029296,0.0071525573730468,0.0071525573730468,0.0,0.0,0.496,1.392,4.256,4.48,0.0,0.0,122.384,0.0,0.0,28209.128,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068655061484569,0.0090599060058593,0.0072717666625976,0.0063180923461914,0.0073671340942382,0.0067949295043945,0.0121593475341796,0.0121593475341796,0.0039658895352991,0.0047683715820312,0.0143051147460937,0.0143051147460937,0.0067949295043945,0.0103473663330078,0.496,1.424,4.256,4.48,8.264,7.736,117.888,0.011610984802246,0.0293493270874023,3702.784,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060423096614097,0.0081062316894531,0.0072717666625976,0.0063180923461914,0.0073671340942382,0.0067949295043945,0.0092983245849609,0.0092983245849609,0.0050067901611328,0.0050067901611328,0.0095367431640625,0.0095367431640625,0.0058280097113715,0.006866455078125,0.496,1.424,4.256,4.48,8.792,7.208,113.256,0.0102086500688032,0.0247955322265625,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061288994936207,0.0085830688476562,0.0072717666625976,0.0063180923461914,0.0073671340942382,0.0067949295043945,0.0071525573730468,0.0071525573730468,0.0083446502685546,0.0083446502685546,0.0128746032714843,0.0128746032714843,0.0,0.0,0.496,1.36,4.256,4.48,0.0,0.0,113.256,0.0,0.0,1.192,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060880184173583,0.0081062316894531,0.0072717666625976,0.0063180923461914,0.0073671340942382,0.0067949295043945,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.496,1.36,4.256,4.48,0.0,0.0,112.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059213211287313,0.0078678131103515,0.0072717666625976,0.0063180923461914,0.0073671340942382,0.0067949295043945,0.0085830688476562,0.0085830688476562,0.005960464477539,0.007486343383789,0.0131130218505859,0.0131130218505859,0.0058174133300781,0.0075817108154296,0.496,1.36,4.256,4.48,3.744,4.232,117.192,0.0102519989013671,0.0196456909179687,15.36,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059437751770019,0.00762939453125,0.0072717666625976,0.0063180923461914,0.0073671340942382,0.0067949295043945,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0063478946685791,0.0079870223999023,0.496,1.424,4.256,4.48,8.544,7.408,112.0,0.0106493631998697,0.0272750854492187,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061977200391815,0.0088214874267578,0.007947285970052,0.0058809916178385,0.009775161743164,0.0067710876464843,0.0081062316894531,0.0081062316894531,0.0038789767845004,0.0045299530029296,0.0121593475341796,0.0121593475341796,0.0058492024739583,0.008249282836914,0.496,1.36,4.624,4.592,12.008,11.968,137.96,0.0112056732177734,0.0300884246826171,9188.16,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007563298291499,0.0102519989013671,0.0063578287760416,0.0067551930745442,0.0064373016357421,0.0101089477539062,0.0176429748535156,0.0176429748535156,0.0038754620981332,0.0042915344238281,0.0147819519042968,0.0147819519042968,0.0060081481933593,0.0081300735473632,0.496,1.36,2.32,2.448,8.264,7.736,118.448,0.0108718872070312,0.0260591506958007,18458.144,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061348303040461,0.0078678131103515,0.0067949295043945,0.0079274177551269,0.0079154968261718,0.0127315521240234,0.0092983245849609,0.0092983245849609,0.0042915344238281,0.0042915344238281,0.0121593475341796,0.0121593475341796,0.0,0.0,0.496,1.424,5.6,5.76,0.0,0.0,113.256,0.0,0.0,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062143031637466,0.0085830688476562,0.0069141387939453,0.0059008598327636,0.0071525573730468,0.0066757202148437,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0185966491699218,0.0185966491699218,0.0,0.0,0.496,1.424,5.6,5.76,0.0,0.0,113.256,0.0,0.0,1.192,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061941146850585,0.0081300735473632,0.0073909759521484,0.0063180923461914,0.009322166442871,0.0076770782470703,0.00762939453125,0.00762939453125,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0058174133300781,0.0071525573730468,0.496,1.36,5.6,5.76,3.744,4.232,112.0,0.0113487243652343,0.0218391418457031,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062549114227294,0.0088214874267578,0.0082850456237792,0.0063776969909667,0.0099420547485351,0.0083208084106445,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0154972076416015,0.0154972076416015,0.0061273574829101,0.0086307525634765,0.496,1.36,5.6,5.76,7.488,8.464,112.0,0.0123500823974609,0.0317573547363281,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059962272644042,0.0078916549682617,0.0069737434387207,0.0055631001790364,0.0079631805419921,0.0066757202148437,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0166893005371093,0.0166893005371093,0.006103515625,0.0084877014160156,0.496,1.36,5.104,5.76,12.008,11.968,112.0,0.0111738840738932,0.0294208526611328,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060367584228515,0.0078678131103515,0.0073909759521484,0.0091195106506347,0.0075817108154296,0.0119209289550781,0.011444091796875,0.011444091796875,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0063896179199218,0.0083684921264648,0.496,1.36,5.6,4.976,8.264,7.736,112.0,0.0108242034912109,0.0272512435913085,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006296784405547,0.0086784362792968,0.0083446502685546,0.0054836273193359,0.0096797943115234,0.0061988830566406,0.0078678131103515,0.0078678131103515,0.003876984293596,0.0045299530029296,0.0109672546386718,0.0109672546386718,0.0,0.0,0.496,1.36,4.752,5.264,0.0,0.0,144.408,0.0,0.0,19323.576,0
