time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0068002672337774,0.0050067901611328,0.0050067901611328,0.007070813860212,0.0102043151855468,0.0150203704833984,0.0144243240356445,0.0175714492797851,0.0194072723388671,113.256,1.192,1.696,1.696,5.6,4.976,25.152,27.344,25.0,100.0,0.0098364693777901,0.0218391418457031,1048.0869770050049,747.0714251200358,0.0,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0068002672337774,0.0050067901611328,0.0050067901611328,0.007070813860212,0.0102043151855468,0.0150203704833984,0.0144243240356445,0.0175714492797851,0.0194072723388671,113.256,1.192,1.696,1.696,4.752,5.264,25.152,27.344,33.33333333333333,0.0,0.0098364693777901,0.0218391418457031,995.747709274292,660.637617111206,-417.6952838897705,-747.0253308614095,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0068002672337774,0.0050067901611328,0.0050067901611328,0.007070813860212,0.0102043151855468,0.0150203704833984,0.0144243240356445,0.0175714492797851,0.0194072723388671,113.256,1.192,1.696,1.696,4.624,4.592,25.152,27.344,33.33333333333333,33.33333333333333,0.0098364693777901,0.0218391418457031,854.1539430618286,586.0029458999634,-388.0836248397827,-696.4606046676636,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0068002672337774,0.0050067901611328,0.0050067901611328,0.007070813860212,0.0102043151855468,0.0150203704833984,0.0144243240356445,0.0175714492797851,0.0194072723388671,113.256,1.192,1.696,1.696,2.32,2.448,25.152,27.344,33.33333333333333,33.33333333333333,0.0098364693777901,0.0218391418457031,1060.5529308319092,994.5504665374756,-366.6611909866333,-581.0247659683228,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0064301846632316,0.0061988830566406,0.0061988830566406,0.007070813860212,0.0102043151855468,0.0150203704833984,0.0144243240356445,0.0175714492797851,0.0194072723388671,113.256,1.192,1.696,1.696,5.6,5.76,25.152,27.344,25.0,25.0,0.0098364693777901,0.0218391418457031,1044.753885269165,747.2239335378011,-419.8032855987549,-746.6471989949545,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0066697597503662,0.0057220458984375,0.0057220458984375,0.007070813860212,0.0102043151855468,0.0150203704833984,0.0144243240356445,0.0175714492797851,0.0194072723388671,112.696,1.192,1.696,1.696,5.6,5.76,25.152,27.344,25.0,25.0,0.0098364693777901,0.0218391418457031,1043.388032913208,746.6102441151937,-420.9592342376709,-747.6591269175211,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0067710876464843,0.0,0.0,0.007070813860212,0.0102043151855468,0.0150203704833984,0.0144243240356445,0.0175714492797851,0.0194072723388671,112.0,0.0,1.696,1.696,5.6,5.76,25.152,27.344,25.0,25.0,0.0098364693777901,0.0218391418457031,1043.7603950500488,747.5064595540365,-421.6033935546875,-746.9943364461263,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0068867206573486,0.0,0.0,0.007070813860212,0.0102043151855468,0.0150203704833984,0.0144243240356445,0.0175714492797851,0.0194072723388671,112.0,0.0,1.696,1.696,5.6,5.76,25.152,27.344,25.0,25.0,0.0098364693777901,0.0218391418457031,1041.854906082153,746.4775244394938,-423.3928203582764,-748.0007807413737,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0068140029907226,0.0,0.0,0.007070813860212,0.0102043151855468,0.0150203704833984,0.0144243240356445,0.0175714492797851,0.0194072723388671,112.0,0.0,1.696,1.696,5.104,5.76,25.152,27.344,0.0,25.0,0.0098364693777901,0.0218391418457031,1042.7703380584717,747.4370002746582,-423.830509185791,-746.9868659973145,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0068306922912597,0.0,0.0,0.007070813860212,0.0102043151855468,0.0150203704833984,0.0144243240356445,0.0175714492797851,0.0194072723388671,112.0,0.0,1.696,1.696,5.6,4.976,25.152,27.344,25.0,33.33333333333333,0.0098364693777901,0.0218391418457031,1040.9466743469238,746.6485500335693,-870.7706451416016,-961.9951248168944,0
