time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063308234353667,0.0085830688476562,0.0059127807617187,0.0104427337646484,0.0068187713623046,0.0182628631591796,0.0041999467989293,0.0052452087402343,0.0057816505432128,0.0061273574829101,0.0083446502685546,0.0083446502685546,0.0108083089192708,0.0202655792236328,0.496,1.424,8.88,9.04,3.704,4.272,143.152,0.0100135803222656,0.0100135803222656,1594.288,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064811896328902,0.0085830688476562,0.0059127807617187,0.0104427337646484,0.0068187713623046,0.0182628631591796,0.0040259277611448,0.0050067901611328,0.0057816505432128,0.0061273574829101,0.0123977661132812,0.0123977661132812,0.0108083089192708,0.0202655792236328,0.496,1.424,8.88,9.04,3.704,4.272,117.192,0.0109672546386718,0.0109672546386718,5462.704,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062166754879168,0.0083446502685546,0.0059127807617187,0.0104427337646484,0.0068187713623046,0.0182628631591796,0.0042965014775594,0.0050067901611328,0.0056266784667968,0.0071525573730468,0.0107288360595703,0.0107288360595703,0.0112533569335937,0.022745132446289,0.496,1.424,8.88,9.04,4.232,3.744,117.192,0.00762939453125,0.00762939453125,397.44,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059782569088152,0.0078678131103515,0.0059127807617187,0.0104427337646484,0.0068187713623046,0.0182628631591796,0.0048279762268066,0.0058412551879882,0.0057538350423177,0.008249282836914,0.0171661376953125,0.0171661376953125,0.0107924143473307,0.0285625457763671,0.496,1.424,8.88,9.04,11.968,12.008,113.256,0.0078678131103515,0.0078678131103515,19.552,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058928532386893,0.0078678131103515,0.0059127807617187,0.0104427337646484,0.0068187713623046,0.0182628631591796,0.0047683715820312,0.0047683715820312,0.0056266784667968,0.0071048736572265,0.0104904174804687,0.0104904174804687,0.0109672546386718,0.0218391418457031,0.496,1.36,8.88,9.04,4.232,3.744,113.256,0.0073909759521484,0.0073909759521484,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057991464339678,0.00762939453125,0.0058174133300781,0.0082969665527343,0.0074386596679687,0.0102519989013671,0.0064373016357421,0.0064373016357421,0.0056028366088867,0.0078678131103515,0.0188350677490234,0.0188350677490234,0.0107526779174804,0.027012825012207,0.496,1.36,6.576,6.864,7.736,8.264,113.256,0.0092983245849609,0.0092983245849609,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059998035430908,0.0081062316894531,0.0058650970458984,0.0061591466267903,0.0073432922363281,0.0071525573730468,0.0,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.496,1.36,6.448,7.008,0.0,0.0,112.0,0.0085830688476562,0.0085830688476562,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057780742645263,0.0078678131103515,0.0061511993408203,0.007331371307373,0.0069141387939453,0.0087976455688476,0.0,0.0,0.0057220458984375,0.0073909759521484,0.0083446502685546,0.0083446502685546,0.0111579895019531,0.022125244140625,0.496,1.36,6.096,5.728,4.232,3.744,112.0,0.00762939453125,0.00762939453125,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060045719146728,0.0081062316894531,0.0070095062255859,0.0061511993408203,0.0098228454589843,0.007486343383789,0.0,0.0,0.0060081481933593,0.007486343383789,0.0126361846923828,0.0126361846923828,0.0118255615234375,0.0229358673095703,0.496,1.36,8.88,9.04,4.232,3.744,112.0,0.0081062316894531,0.0081062316894531,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005965232849121,0.0081062316894531,0.0062942504882812,0.0057697296142578,0.0078201293945312,0.006866455078125,0.0,0.0,0.0060876210530598,0.0087261199951171,0.0169277191162109,0.0169277191162109,0.0113964080810546,0.0313758850097656,0.496,1.36,6.576,6.864,11.968,12.008,112.0,0.0071525573730468,0.0071525573730468,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060090971230274,0.0078678131103515,0.0062465667724609,0.0071922938028971,0.0073909759521484,0.0085830688476562,0.005960464477539,0.005960464477539,0.0077724456787109,0.0096321105957031,0.0107288360595703,0.0107288360595703,0.0111579895019531,0.021219253540039,0.496,1.36,6.448,7.008,4.232,3.744,113.256,0.0100135803222656,0.0100135803222656,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060506127960053,0.0081062316894531,0.0067710876464843,0.0078678131103515,0.0084877014160156,0.0093936920166015,0.0047683715820312,0.0047683715820312,0.0058174133300781,0.0078916549682617,0.0102519989013671,0.0102519989013671,0.0108718872070312,0.0267267227172851,0.496,1.36,6.096,5.728,7.736,8.264,113.256,0.0083446502685546,0.0083446502685546,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062083723533212,0.0085830688476562,0.0065565109252929,0.0074704488118489,0.0081062316894531,0.0094175338745117,0.0045299530029296,0.0045299530029296,0.0,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.496,1.36,9.856,10.176,0.0,0.0,113.256,0.0095367431640625,0.0095367431640625,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059568881988525,0.0083446502685546,0.0065565109252929,0.0064373016357421,0.0079154968261718,0.0078678131103515,0.0,0.0,0.0062465667724609,0.0078678131103515,0.013589859008789,0.013589859008789,0.0116825103759765,0.0230312347412109,0.496,1.36,5.6,5.728,4.232,3.744,112.0,0.00762939453125,0.00762939453125,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059700012207031,0.0083446502685546,0.0069618225097656,0.0069538752237955,0.0111579895019531,0.008702278137207,0.0,0.0,0.0054836273193359,0.0069141387939453,0.0107288360595703,0.0107288360595703,0.0111103057861328,0.0220775604248046,0.496,1.36,6.448,7.008,4.232,3.744,112.0,0.0071525573730468,0.0071525573730468,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061178670346158,0.0081062316894531,0.0072956085205078,0.0084638595581054,0.0092983245849609,0.0103950500488281,0.0042650434705946,0.0047683715820312,0.0063578287760416,0.0087261199951171,0.0112056732177734,0.0112056732177734,0.0109831492106119,0.0289440155029296,0.496,1.36,6.096,5.728,11.968,12.008,143.152,0.0081062316894531,0.0081062316894531,579.192,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060629844665527,0.0081062316894531,0.006103515625,0.0071128209431966,0.007486343383789,0.0083446502685546,0.0042053590337914,0.0050067901611328,0.0058650970458984,0.0075817108154296,0.011444091796875,0.011444091796875,0.011301040649414,0.0225067138671875,0.496,1.424,8.88,10.176,4.232,3.744,112.0,0.0102519989013671,0.0102519989013671,682.84,0
