time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061016638302108,0.0085830688476562,0.0045486524993298,0.0066757202148437,0.0061648232596261,0.0138282775878906,0.008249282836914,0.0141859054565429,0.0180244445800781,0.0100203922816685,0.0171422958374023,0.0102519989013671,0.0102519989013671,0.0228404998779296,0.496,1.36,1.696,1.696,25.152,27.344,132.544,0.00762939453125,0.00762939453125,501.64,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061016638302108,0.0085830688476562,0.0045486524993298,0.0066757202148437,0.0061648232596261,0.0138282775878906,0.008249282836914,0.0141859054565429,0.0180244445800781,0.0100203922816685,0.0171422958374023,0.0064373016357421,0.0064373016357421,0.0228404998779296,0.496,1.36,1.696,1.696,25.152,27.344,132.544,0.0104904174804687,0.0104904174804687,501.64,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065381254129741,0.0092983245849609,0.0038753744875557,0.0045299530029296,0.0,0.0138282775878906,0.0,0.0141859054565429,0.0180244445800781,0.0,0.0171422958374023,0.0071525573730468,0.0071525573730468,0.0,0.496,1.424,1.696,1.696,0.0,0.0,114.424,0.0085830688476562,0.0085830688476562,12933.656,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066247152451852,0.0088214874267578,0.0046637000107183,0.0057220458984375,0.0,0.0138282775878906,0.0,0.0141859054565429,0.0180244445800781,0.0,0.0171422958374023,0.0116825103759765,0.0116825103759765,0.0,0.496,1.424,1.696,1.696,0.0,0.0,117.192,0.0109672546386718,0.0109672546386718,317.576,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062795420784262,0.0083446502685546,0.0045299530029296,0.0045299530029296,0.0066280364990234,0.0138282775878906,0.0097036361694335,0.0141859054565429,0.0180244445800781,0.0121355056762695,0.0171422958374023,0.0131130218505859,0.0131130218505859,0.0305891036987304,0.496,1.424,1.696,1.696,8.264,7.736,113.256,0.0078678131103515,0.0078678131103515,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061049249959109,0.0082969665527343,0.0039647365438527,0.0047683715820312,0.0068426132202148,0.0138282775878906,0.0098943710327148,0.0141859054565429,0.0180244445800781,0.0112056732177734,0.0171422958374023,0.0090599060058593,0.0090599060058593,0.027012825012207,0.496,1.392,1.696,1.696,8.264,7.736,123.64,0.0085830688476562,0.0085830688476562,1299.424,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063747462659779,0.0083446502685546,0.0041556614701465,0.0051259994506835,0.0,0.0138282775878906,0.0,0.0141859054565429,0.0180244445800781,0.0,0.0171422958374023,0.0078678131103515,0.0078678131103515,0.0,0.496,1.424,1.696,1.696,0.0,0.0,115.968,0.0081062316894531,0.0081062316894531,1916.72,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070908769446225,0.009775161743164,0.0039766873082806,0.0047683715820312,0.0,0.0138282775878906,0.0,0.0141859054565429,0.0180244445800781,0.0,0.0171422958374023,0.0083446502685546,0.0083446502685546,0.0,0.496,1.424,1.696,1.696,0.0,0.0,117.192,0.0083446502685546,0.0083446502685546,10626.304,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00640646142153,0.0083446502685546,0.0044400574731045,0.0052452087402343,0.0062942504882812,0.0138282775878906,0.0080585479736328,0.0141859054565429,0.0180244445800781,0.0113964080810546,0.0171422958374023,0.0088214874267578,0.0088214874267578,0.0218868255615234,0.496,1.424,1.696,1.696,3.744,4.232,116.12,0.0128746032714843,0.0128746032714843,927.824,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062605634850649,0.0085830688476562,0.0043430843868771,0.0052452087402343,0.0061988830566406,0.0138282775878906,0.0088453292846679,0.0141859054565429,0.0180244445800781,0.0118970870971679,0.0171422958374023,0.0100135803222656,0.0100135803222656,0.0300407409667968,0.496,1.424,1.696,1.696,7.488,8.464,117.192,0.009775161743164,0.009775161743164,261.032,0
