time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0063628685183641,0.0081062316894531,0.0067353248596191,0.0061988830566406,0.0078201293945312,0.0073432922363281,0.0052452087402343,0.005960464477539,0.0121593475341796,0.0121593475341796,0.0063419342041015,0.0082015991210937,0.0146389007568359,0.0260353088378906,0,0.496,1.36,6.096,5.728,4.232,3.744,129.896,0.0081062316894531,0.0081062316894531,25.648,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0065267086029052,0.0083446502685546,0.0076770782470703,0.0061511993408203,0.008392333984375,0.0072956085205078,0.004132588704427,0.0051259994506835,0.011444091796875,0.011444091796875,0.0063419342041015,0.0082015991210937,0.0146389007568359,0.0260353088378906,0,0.496,1.424,8.88,9.04,4.232,3.744,116.632,0.00762939453125,0.00762939453125,69.68,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0067269802093505,0.0083684921264648,0.0073432922363281,0.0064373016357421,0.0088691711425781,0.0078678131103515,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0072956085205078,0.0094890594482421,0.0118494033813476,0.0285863876342773,0,0.496,1.424,6.576,6.864,8.464,7.488,112.0,0.0083446502685546,0.0083446502685546,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0066072633951017,0.0085830688476562,0.0075101852416992,0.0056266784667968,0.0088214874267578,0.0071048736572265,0.0067949295043945,0.0070810317993164,0.0140666961669921,0.0140666961669921,0.0065962473551432,0.008249282836914,0.01220703125,0.0299930572509765,0,0.496,1.36,6.448,7.008,11.968,12.008,118.8,0.0083446502685546,0.0083446502685546,6.224,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0062012436366317,0.0085830688476562,0.0066757202148437,0.0061988830566406,0.007486343383789,0.0075340270996093,0.0060796737670898,0.0069379806518554,0.0123977661132812,0.0123977661132812,0.0064849853515625,0.008392333984375,0.0113248825073242,0.0265836715698242,0,0.496,1.424,6.096,5.728,7.736,8.264,116.528,0.0083446502685546,0.0083446502685546,3.952,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0062878452130218,0.0083446502685546,0.0072002410888671,0.0061988830566406,0.0088691711425781,0.0070571899414062,0.0045299530029296,0.0045299530029296,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0,0.496,1.424,8.88,9.04,0.0,0.0,113.256,0.0109672546386718,0.0109672546386718,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0065381254129741,0.0088214874267578,0.0065803527832031,0.0065326690673828,0.0073909759521484,0.0089168548583984,0.0069141387939453,0.0069141387939453,0.0150203704833984,0.0150203704833984,0.0,0.0,0.0,0.0,0,0.496,1.36,6.576,6.864,0.0,0.0,113.256,0.0112056732177734,0.0112056732177734,1.192,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0060826391723025,0.00762939453125,0.0073512395222981,0.0077724456787109,0.0090599060058593,0.0130653381347656,0.0054836273193359,0.0054836273193359,0.0126361846923828,0.0126361846923828,0.0061988830566406,0.0078201293945312,0.0119209289550781,0.0230789184570312,0,0.496,1.36,6.448,7.008,4.232,3.744,113.256,0.0071525573730468,0.0071525573730468,1.192,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0063936309059067,0.0087976455688476,0.0067353248596191,0.005960464477539,0.0080108642578125,0.0073432922363281,0.0049273173014322,0.0056266784667968,0.0128746032714843,0.0128746032714843,0.0063843197292751,0.0080585479736328,0.0116825103759765,0.0319480895996093,0,0.496,1.424,6.096,5.728,7.936,8.016,120.432,0.0088214874267578,0.0088214874267578,21.896,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0061953067779541,0.0083446502685546,0.0076770782470703,0.0072002410888671,0.009012222290039,0.0105857849121093,0.0,0.0,0.0131130218505859,0.0131130218505859,0.0061353047688802,0.0088214874267578,0.0114758809407552,0.0293731689453125,0,0.496,1.36,8.88,9.04,11.968,12.008,112.0,0.0073909759521484,0.0073909759521484,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0060987472534179,0.0081062316894531,0.006866455078125,0.0067710876464843,0.0082969665527343,0.0098228454589843,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0061750411987304,0.0086545944213867,0.0112533569335937,0.0262737274169921,0,0.496,1.36,6.576,6.864,7.736,8.264,112.0,0.0071525573730468,0.0071525573730468,0.0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0063115684547234,0.0083446502685546,0.0065565109252929,0.0068187713623046,0.0090599060058593,0.0107765197753906,0.0049273173014322,0.0057697296142578,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0,0.496,1.36,6.448,7.008,0.0,0.0,118.976,0.0078678131103515,0.0078678131103515,19.464,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0066920822741938,0.0083446502685546,0.0060200691223144,0.0072479248046875,0.0063657760620117,0.011444091796875,0.0049273173014322,0.0063180923461914,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0,0.496,1.424,6.096,5.728,0.0,0.0,123.92,0.00762939453125,0.00762939453125,34.624,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0066211567589299,0.0088214874267578,0.0070571899414062,0.0073432922363281,0.0090599060058593,0.0098705291748046,0.0052452087402343,0.0052452087402343,0.0166893005371093,0.0166893005371093,0.0070571899414062,0.0087261199951171,0.0120162963867187,0.0236988067626953,0,0.496,1.424,8.88,9.04,4.232,3.744,113.256,0.0083446502685546,0.0083446502685546,1.192,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0063080099684682,0.0088214874267578,0.0073909759521484,0.006103515625,0.0093460083007812,0.0075340270996093,0.005960464477539,0.005960464477539,0.009775161743164,0.009775161743164,0.0070571899414062,0.0099420547485351,0.0118017196655273,0.0298023223876953,0,0.496,1.36,6.576,6.864,8.464,7.488,113.256,0.0078678131103515,0.0078678131103515,1.192,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0064678380054793,0.0083446502685546,0.0069936116536458,0.006866455078125,0.0096559524536132,0.0091552734375,0.0046888987223307,0.0054836273193359,0.0092983245849609,0.0092983245849609,0.0061511993408203,0.0081062316894531,0.0111262003580729,0.0275135040283203,0,0.496,1.36,6.448,7.008,11.968,12.008,126.096,0.0088214874267578,0.0088214874267578,39.712,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0067030019428006,0.0090599060058593,0.0077486038208007,0.0059127807617187,0.0092506408691406,0.006866455078125,0.0064373016357421,0.0064373016357421,0.0071525573730468,0.0071525573730468,0.0061988830566406,0.008392333984375,0.0115156173706054,0.0275611877441406,0,0.496,1.424,6.096,5.728,7.736,8.264,114.76,0.0116825103759765,0.0116825103759765,2.472,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0065886974334716,0.0088214874267578,0.0071525573730468,0.0069618225097656,0.0080585479736328,0.0092029571533203,0.0054836273193359,0.0054836273193359,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.0,0,0.496,1.424,8.88,9.04,0.0,0.0,113.784,0.0078678131103515,0.0078678131103515,2.056,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0066864490509033,0.0083446502685546,0.0075817108154296,0.0070571899414062,0.0091075897216796,0.0096321105957031,0.0,0.0,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.0,0,0.496,1.424,6.576,6.864,0.0,0.0,112.0,0.0073909759521484,0.0073909759521484,0.0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0065974160736682,0.0083446502685546,0.0064770380655924,0.0070095062255859,0.0081062316894531,0.0095367431640625,0.0052668831565163,0.0064373016357421,0.0119209289550781,0.0119209289550781,0.0058412551879882,0.0065326690673828,0.0106096267700195,0.0189542770385742,0,0.496,1.36,6.448,7.008,3.704,4.272,123.872,0.0083446502685546,0.0083446502685546,39.48,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0060280757163887,0.0083446502685546,0.0067949295043945,0.0086784362792968,0.007486343383789,0.0125885009765625,0.0047683715820312,0.0047683715820312,0.0100135803222656,0.0100135803222656,0.0066995620727539,0.0090837478637695,0.011610984802246,0.0304222106933593,0,0.496,1.424,6.096,5.728,8.464,7.488,113.256,0.0078678131103515,0.0078678131103515,1.192,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.006501037295502,0.0088214874267578,0.0082969665527343,0.0063419342041015,0.0113964080810546,0.0080108642578125,0.0062329428536551,0.0080585479736328,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.009918212890625,0.0113328297932942,0.0290393829345703,0,0.496,1.424,8.88,9.04,11.968,12.008,117.576,0.0078678131103515,0.0078678131103515,14.248,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0066912174224853,0.0085830688476562,0.0076770782470703,0.006866455078125,0.0092029571533203,0.0093936920166015,0.0,0.0,0.009775161743164,0.009775161743164,0.006103515625,0.0081777572631835,0.0116348266601562,0.0286340713500976,0,0.496,1.424,6.576,6.864,7.736,8.264,112.0,0.0104904174804687,0.0104904174804687,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.006798505783081,0.0085830688476562,0.0076691309611002,0.0063419342041015,0.0094175338745117,0.0080108642578125,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0,0.496,1.36,6.448,7.008,0.0,0.0,112.0,0.0078678131103515,0.0078678131103515,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0068509578704833,0.0088214874267578,0.0094771385192871,0.0075340270996093,0.0124454498291015,0.0091075897216796,0.0,0.0,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0,0.0,0,0.496,1.36,6.096,5.728,0.0,0.0,112.0,0.0078678131103515,0.0078678131103515,0.0,0
