time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_packet_loss_ul_percentage,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0066896086757622,0.0088214874267578,0.0042846833152332,0.0052452087402343,0.0112056732177734,0.0112056732177734,0.0068505605061848,0.0100612640380859,0.0115235646565755,0.0286102294921875,0.496,1.36,8.88,9.04,0.0,11.24,12.784,80.0,131.04,0.011444091796875,0.011444091796875,806.3103199005127,802.5646209716797,-799.9527454376221,-799.9527454376221,1295.824,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0064076475836151,0.0092983245849609,0.0040750562047665,0.0050067901611328,0.0126361846923828,0.0126361846923828,0.0068505605061848,0.0100612640380859,0.0115235646565755,0.0286102294921875,0.496,1.424,6.576,6.864,0.0,11.24,12.784,0.0,117.192,0.011444091796875,0.011444091796875,800.5348682403564,799.4630813598633,-802.0092487335205,-800.0552654266357,1659.704,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061309337615966,0.0086069107055664,0.0050067901611328,0.0050067901611328,0.0073909759521484,0.0073909759521484,0.0068505605061848,0.0100612640380859,0.0115235646565755,0.0286102294921875,0.496,1.424,6.448,7.008,0.0,11.24,12.784,0.0,112.0,0.0071525573730468,0.0071525573730468,805.2120208740234,801.8006324768066,-800.6681203842163,-799.4956970214844,2.376,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062368402433632,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0104904174804687,0.0104904174804687,0.0068505605061848,0.0100612640380859,0.0115235646565755,0.0286102294921875,0.496,1.392,6.096,5.728,0.0,11.24,12.784,0.0,113.256,0.0050067901611328,0.0050067901611328,801.842737197876,800.6844997406006,-799.9704480171204,-799.2796659469604,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061917660841301,0.0083446502685546,0.0050067901611328,0.0050067901611328,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.496,1.36,8.88,9.04,0.0,0.0,0.0,0.0,113.256,0.0081062316894531,0.0081062316894531,800.0295162200928,799.7706413269043,-801.0134696960449,-800.0041007995605,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062985206717875,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.496,1.36,6.576,6.864,0.0,0.0,0.0,0.0,113.256,0.00762939453125,0.00762939453125,801.4061450958252,800.3215312957764,-800.5588054656982,-799.9738693237305,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0064289569854736,0.0085830688476562,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.496,1.36,6.448,7.008,0.0,0.0,0.0,0.0,112.0,0.0104904174804687,0.0104904174804687,800.6794929504395,800.2323150634766,-800.1721700032552,-799.9913692474365,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061726570129394,0.0081062316894531,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0067472457885742,0.0091552734374999,0.0105142593383789,0.0268459320068359,0.496,1.36,6.096,5.728,0.0,8.464,7.488,0.0,112.0,0.0069141387939453,0.0069141387939453,805.0027847290039,802.0080089569092,-800.5247116088867,-800.0058889389038,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063210577514041,0.0085830688476562,0.005801518758138,0.0071048736572265,0.0078678131103515,0.0078678131103515,0.0060796737670898,0.0081777572631835,0.0108718872070312,0.0282049179077148,0.496,1.36,9.856,10.176,0.0,8.464,7.488,0.0,117.192,0.011444091796875,0.011444091796875,801.4461994171143,790.4884417851766,-798.2996304829916,-790.4812097549438,30.328,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061762332916259,0.0083446502685546,0.0,0.0,0.0152587890625,0.0152587890625,0.0062227249145507,0.0085830688476562,0.0110626220703125,0.0292778015136718,0.496,1.424,6.448,6.224,0.0,15.472,16.528,0.0,112.0,0.0107288360595703,0.0107288360595703,800.15869140625,800.0627040863037,-791.8196678161621,-778.6623954772949,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063210577514041,0.0090599060058593,0.0054836273193359,0.0054836273193359,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.496,1.36,5.6,6.512,0.0,0.0,0.0,0.0,113.256,0.005960464477539,0.005960464477539,800.7042407989502,800.1606464385986,-800.979471206665,-800.0316143035889,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063010624476841,0.0083446502685546,0.0047087669372558,0.006413459777832,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0,0.496,1.36,6.096,5.728,0.0,0.0,0.0,0.0,123.64,0.0083446502685546,0.0083446502685546,807.6099395751953,803.1982421875,-800.2156019210815,-799.9030351638794,71.36,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063803658556582,0.0085830688476562,0.0054836273193359,0.0054836273193359,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.496,1.424,8.88,10.176,0.0,0.0,0.0,0.0,113.256,0.0116825103759765,0.0116825103759765,801.7064094543457,800.8533000946045,-801.8385171890259,-800.0187873840332,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0070460791726714,0.0095367431640625,0.0040531158447265,0.0050067901611328,0.0116825103759765,0.0116825103759765,0.006270408630371,0.0086545944213867,0.0127315521240234,0.0310420989990234,0.496,1.36,6.576,5.728,0.0,8.464,7.488,0.0,143.152,0.0071525573730468,0.0071525573730468,801.3402462005615,800.1068115234375,-800.2572655677795,-800.0055551528931,9261.744,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0073969067625738,0.0100135803222656,0.0040790860912626,0.0047683715820312,0.0126361846923828,0.0126361846923828,0.0060081481933593,0.0086069107055664,0.0108242034912109,0.0288724899291992,0.496,1.424,6.448,7.008,0.0,8.464,7.488,0.0,117.192,0.0102519989013671,0.0102519989013671,800.6378650665283,799.97239112854,-800.5063136418661,-799.4760274887085,10068.136,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0070885046204524,0.0092983245849609,0.0040718037696561,0.0047683715820312,0.0090599060058593,0.0090599060058593,0.0063180923461914,0.0086069107055664,0.0109195709228515,0.0279188156127929,0.496,1.424,6.096,5.728,0.0,15.472,16.528,0.0,117.192,0.0147819519042968,0.0147819519042968,817.6083564758301,807.823896408081,-800.4781603813171,-799.97239112854,9905.984,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0073542049275108,0.0100135803222656,0.0040656346886135,0.0047683715820312,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.496,1.424,8.88,9.04,0.0,0.0,0.0,0.0,117.192,0.0100135803222656,0.0100135803222656,799.9672412872314,794.6106910705566,-805.9801578521729,-799.9653816223145,10956.336,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0068291579142655,0.0090599060058593,0.0041476611433358,0.0050067901611328,0.017404556274414,0.017404556274414,0.0,0.0,0.0,0.0,0.496,1.424,6.576,6.864,0.0,0.0,0.0,0.0,118.448,0.009775161743164,0.009775161743164,800.5378723144531,799.9798774719238,-796.3850975036621,-788.2258892059326,6849.584,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.007043970693456,0.0100135803222656,0.0040828582026828,0.0047683715820312,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.496,1.424,6.448,7.008,0.0,0.0,0.0,0.0,118.448,0.0100135803222656,0.0100135803222656,800.9221076965332,800.2992153167725,-800.521731376648,-799.9933958053589,8583.84,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0070422442991342,0.0092983245849609,0.0042454169614471,0.0052452087402343,0.0109672546386718,0.0109672546386718,0.0063896179199218,0.0089168548583984,0.0117301940917968,0.0298500061035156,0.496,1.424,6.096,5.728,0.0,8.464,7.488,0.0,117.888,0.0090599060058593,0.0090599060058593,804.5765399932861,801.5852451324463,-800.4493713378906,-799.923038482666,1986.24,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0075605971303152,0.0102519989013671,0.0040697440122946,0.0047683715820312,0.0147819519042968,0.0147819519042968,0.0064108106825086,0.0086784362792968,0.0113790685480291,0.0302791595458984,0.496,1.424,8.88,9.04,0.0,7.936,8.016,0.0,117.192,0.00762939453125,0.00762939453125,800.9630680084229,800.3939628601074,-800.4030227661133,-799.9979496002197,7666.024,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0070742706754314,0.009775161743164,0.0041658109654494,0.0050067901611328,0.0119209289550781,0.0119209289550781,0.0062227249145507,0.0085830688476562,0.0112056732177734,0.0286579132080078,0.496,1.424,6.576,6.864,0.0,15.472,16.528,0.0,117.192,0.0073909759521484,0.0073909759521484,800.9353637695312,800.2959251403809,-800.5853176116943,-799.967098236084,8860.928,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0070458027853894,0.009775161743164,0.0041368557036056,0.0047683715820312,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.496,1.424,6.448,7.008,0.0,0.0,0.0,0.0,117.192,0.0095367431640625,0.0095367431640625,805.8270931243896,802.0978927612305,-800.675630569458,-800.0205755233765,6885.392,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0071276479692601,0.0095367431640625,0.0040786124491488,0.0047683715820312,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.496,1.424,6.096,5.728,0.0,0.0,0.0,0.0,117.192,0.0109672546386718,0.0109672546386718,800.0345230102539,788.1435871124268,-802.4417161941528,-800.2147674560547,12266.72,0
