time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061459011501736,0.0082969665527343,0.0100135803222656,0.0100135803222656,0.0071525573730468,0.0058809916178385,0.0042126728938176,0.0119209289550781,0.0119209289550781,0.0071525573730468,0.0050067901611328,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.36,0.848,0.848,4.368,4.672,0.0088214874267578,0.0088214874267578,140.68,1149.856,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064610248774438,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0071525573730468,0.0058809916178385,0.00407043685261,0.011444091796875,0.011444091796875,0.0071525573730468,0.0047683715820312,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.848,0.848,4.368,4.672,0.0088214874267578,0.0088214874267578,114.648,1982.24,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063459671551908,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0071525573730468,0.0058809916178385,0.0040908980239284,0.0088214874267578,0.0088214874267578,0.0071525573730468,0.0047683715820312,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.848,0.848,4.368,4.672,0.0088214874267578,0.0088214874267578,114.968,1465.768,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0083446502685546,0.0107288360595703,0.0107288360595703,0.0071525573730468,0.0058809916178385,0.0043049664564535,0.0112056732177734,0.0112056732177734,0.0071525573730468,0.0052452087402343,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.848,0.848,4.368,4.672,0.0088214874267578,0.0088214874267578,112.0,580.888,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062897653862981,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0071525573730468,0.0058809916178385,0.0048081080118815,0.0138282775878906,0.0138282775878906,0.0071525573730468,0.0064373016357421,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.392,0.848,0.848,4.368,4.672,0.0088214874267578,0.0088214874267578,122.384,263.12,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063747462659779,0.0087976455688476,0.00762939453125,0.00762939453125,0.011444091796875,0.0058809916178385,0.0042567092381166,0.0085830688476562,0.0085830688476562,0.011444091796875,0.0050067901611328,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.848,0.848,4.368,4.672,0.0045299530029296,0.0045299530029296,116.288,1430.696,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065435277353418,0.0085830688476562,0.0126361846923828,0.0126361846923828,0.0,0.0058809916178385,0.0040137249490489,0.0083446502685546,0.0083446502685546,0.0,0.0047683715820312,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,118.448,3789.872,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058743033078637,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0,0.0058809916178385,0.0047683715820312,0.00762939453125,0.00762939453125,0.0,0.0061988830566406,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,117.888,53.528,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059962272644042,0.0078916549682617,0.00762939453125,0.00762939453125,0.0,0.0058809916178385,0.0060796737670898,0.0126361846923828,0.0126361846923828,0.0,0.0067472457885742,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,112.0,6.384,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070805596833181,0.0095367431640625,0.0085830688476562,0.0085830688476562,0.0,0.0058809916178385,0.0038246124715512,0.0126361846923828,0.0126361846923828,0.0,0.0042915344238281,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,120.688,42014.44,0
