time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064847538772138,0.0092983245849609,0.0083446502685546,0.0083446502685546,0.0085830688476562,0.0038854208196704,0.0045299530029296,0.0097274780273437,0.0062670026506696,0.0073909759521484,0.0073909759521484,0.0085830688476562,0.0093800680977957,0.0192165374755859,0.496,1.36,1.696,1.696,25.152,27.344,0.0102519989013671,0.0106334686279296,143.152,7489.44,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064847538772138,0.0092983245849609,0.0064373016357421,0.0064373016357421,0.0085830688476562,0.0038854208196704,0.0045299530029296,0.0097274780273437,0.0062670026506696,0.0088214874267578,0.0088214874267578,0.0085830688476562,0.0093800680977957,0.0192165374755859,0.496,1.36,1.696,1.696,25.152,27.344,0.0102519989013671,0.0106334686279296,143.152,7489.44,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064847538772138,0.0092983245849609,0.011444091796875,0.011444091796875,0.0085830688476562,0.0038854208196704,0.0045299530029296,0.0097274780273437,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,0.0102519989013671,0.0106334686279296,143.152,7489.44,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062226062983422,0.0083446502685546,0.0121593475341796,0.0121593475341796,0.0085830688476562,0.0038746276188417,0.0047206878662109,0.0097274780273437,0.006866455078125,0.0102519989013671,0.0102519989013671,0.0090599060058593,0.0125408172607421,0.0238895416259765,0.496,1.424,1.696,1.696,4.52,3.504,0.0102519989013671,0.0106334686279296,117.192,2079.416,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006311010606218,0.0085830688476562,0.00762939453125,0.00762939453125,0.0085830688476562,0.0038883716763344,0.0045299530029296,0.0097274780273437,0.0061988830566406,0.0164508819580078,0.0164508819580078,0.0079631805419921,0.0119209289550781,0.0227928161621093,0.496,1.392,1.696,1.696,3.744,4.232,0.0102519989013671,0.0106334686279296,118.448,2523.224,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060138417713677,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.0085830688476562,0.0050067901611328,0.0050067901611328,0.0097274780273437,0.005960464477539,0.0104904174804687,0.0104904174804687,0.0076770782470703,0.0112771987915039,0.0266075134277343,0.496,1.424,1.696,1.696,8.264,7.736,0.0102519989013671,0.0106334686279296,113.256,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063574372841219,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0085830688476562,0.0038378851074827,0.0042915344238281,0.0097274780273437,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,0.0102519989013671,0.0106334686279296,121.048,9090.544,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006133644141961,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0040182253209556,0.0045299530029296,0.0097274780273437,0.0065326690673828,0.0138282775878906,0.0138282775878906,0.0078201293945312,0.011301040649414,0.0209808349609375,0.496,1.424,1.696,1.696,3.744,4.232,0.0102519989013671,0.0106334686279296,117.192,430.712,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060677528381347,0.0081062316894531,0.00762939453125,0.00762939453125,0.0085830688476562,0.0045299530029296,0.0052928924560546,0.0097274780273437,0.0058650970458984,0.0085830688476562,0.0085830688476562,0.0073432922363281,0.0105857849121093,0.0199794769287109,0.496,1.392,1.696,1.696,3.744,4.232,0.0102519989013671,0.0106334686279296,112.0,13.488,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059699537742197,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0085830688476562,0.0045299530029296,0.0051021575927734,0.0097274780273437,0.0057750278049045,0.0090599060058593,0.0090599060058593,0.0067710876464843,0.0106421383944424,0.0278949737548828,0.496,1.424,1.696,1.696,8.016,7.936,0.0102519989013671,0.0106334686279296,117.192,21.168,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059485435485839,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0085830688476562,0.0,0.0,0.0097274780273437,0.0065326690673828,0.013589859008789,0.013589859008789,0.0094175338745117,0.0120878219604492,0.028538703918457,0.496,1.36,1.696,1.696,8.264,7.736,0.0102519989013671,0.0106334686279296,112.0,0.0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060482404718351,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0042915344238281,0.0042915344238281,0.0,0.0059843063354492,0.0085830688476562,0.0085830688476562,0.0079154968261718,0.0113248825073242,0.0259637832641601,0.496,1.36,0.0,0.0,8.264,7.736,0.0,0.0,113.256,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062570049988096,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060778945239622,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,1.192,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060662990663109,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0,0.0058280097113715,0.0088691711425781,0.0,0.0059127807617187,0.0102519989013671,0.0102519989013671,0.0073909759521484,0.01068115234375,0.0207901000976562,0.496,1.424,0.0,0.0,3.744,4.232,0.0,0.0,134.248,47.864,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061118602752685,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0064611434936523,0.0078678131103515,0.0078678131103515,0.0086069107055664,0.010991096496582,0.0282049179077148,0.496,1.36,0.0,0.0,7.488,8.464,0.0,0.0,112.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061297416687011,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0060876210530598,0.0104904174804687,0.0104904174804687,0.008249282836914,0.0109036763509114,0.0279903411865234,0.496,1.36,0.0,0.0,12.008,11.968,0.0,0.0,112.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060415033049184,0.0080585479736328,0.0069141387939453,0.0069141387939453,0.0,0.0040129859848777,0.0045299530029296,0.0,0.0059366226196289,0.0073909759521484,0.0073909759521484,0.0083684921264648,0.0109195709228515,0.0243902206420898,0.496,1.424,0.0,0.0,8.264,7.736,0.0,0.0,124.984,1099.96,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059498941957069,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0039822346455342,0.0047683715820312,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,118.584,1540.688,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062484552364538,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0,0.0039045927954501,0.0045299530029296,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.496,1.392,0.0,0.0,0.0,0.0,0.0,0.0,115.52,641.512,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061372026282163,0.0085830688476562,0.009775161743164,0.009775161743164,0.0,0.003896018331365,0.0045299530029296,0.0,0.0065803527832031,0.0054836273193359,0.0054836273193359,0.0081539154052734,0.0116825103759765,0.0217437744140625,0.496,1.424,0.0,0.0,3.744,4.232,0.0,0.0,113.256,1407.368,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062555369764271,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0041961669921875,0.0052452087402343,0.0,0.006270408630371,0.0112056732177734,0.0112056732177734,0.0083684921264648,0.0118255615234375,0.0286340713500976,0.496,1.424,0.0,0.0,7.488,8.464,0.0,0.0,116.976,787.456,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006233281757108,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0,0.0039612481353479,0.00457763671875,0.0,0.0061194101969401,0.0107288360595703,0.0107288360595703,0.0083446502685546,0.0106175740559895,0.0252723693847656,0.496,1.424,0.0,0.0,12.008,11.968,0.0,0.0,117.192,1159.112,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072355887190026,0.0100135803222656,0.0092983245849609,0.0092983245849609,0.0,0.0038457475914627,0.0045299530029296,0.0,0.0065326690673828,0.0145435333251953,0.0145435333251953,0.0086069107055664,0.0103712081909179,0.026702880859375,0.496,1.424,0.0,0.0,8.264,7.736,0.0,0.0,117.192,54458.256,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073091307682777,0.0100135803222656,0.0126361846923828,0.0126361846923828,0.0,0.0038626451571562,0.0045299530029296,0.0,0.0,0.0157356262207031,0.0157356262207031,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,117.192,20451.576,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073591081222685,0.009775161743164,0.0100135803222656,0.0100135803222656,0.0,0.003839963604361,0.0042915344238281,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,118.448,52205.808,0
