time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066595170104387,0.0094175338745117,0.0083446502685546,0.0083446502685546,0.0061988830566406,0.0077247619628906,0.0063351222446986,0.0042550882716087,0.0140666961669921,0.0052452087402343,0.0140666961669921,0.009012222290039,0.0091416495186941,0.0189781188964843,0.496,1.36,1.696,1.696,27.344,25.152,0.005960464477539,0.0071048736572265,129.456,1288.168,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061845779418945,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0061988830566406,0.0077247619628906,0.0063351222446986,0.0040531158447265,0.011444091796875,0.0048160552978515,0.011444091796875,0.009012222290039,0.0091416495186941,0.0189781188964843,0.496,1.424,1.696,1.696,27.344,25.152,0.005960464477539,0.0071048736572265,112.0,37.824,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063550472259521,0.0085830688476562,0.00762939453125,0.00762939453125,0.0061988830566406,0.0077247619628906,0.0,0.0,0.0088214874267578,0.0,0.0088214874267578,0.0,0.0,0.0,0.496,1.392,1.696,1.696,0.0,0.0,0.005960464477539,0.0071048736572265,112.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063020791580427,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0077247619628906,0.0069141387939453,0.0047683715820312,0.0109672546386718,0.0047683715820312,0.0109672546386718,0.0094175338745117,0.0119447708129882,0.0298738479614257,0.496,1.36,1.696,1.696,7.736,8.264,0.005960464477539,0.0071048736572265,113.256,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061705560967473,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0061988830566406,0.0077247619628906,0.0057697296142578,0.0066757202148437,0.0112056732177734,0.0080108642578125,0.0112056732177734,0.008392333984375,0.0111579895019531,0.0273704528808593,0.496,1.36,1.696,1.696,7.736,8.264,0.005960464477539,0.0071048736572265,116.304,3.952,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063069348264797,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0061988830566406,0.0077247619628906,0.0,0.0061392784118652,0.013589859008789,0.0080108642578125,0.013589859008789,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,0.005960464477539,0.0071048736572265,123.64,22.8,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062446876112463,0.0087738037109375,0.0073909759521484,0.0073909759521484,0.0061988830566406,0.0077247619628906,0.0,0.0048705509730747,0.0071525573730468,0.005960464477539,0.0071525573730468,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,0.005960464477539,0.0071048736572265,122.872,169.072,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061416625976562,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0077247619628906,0.0063896179199218,0.0047683715820312,0.0112056732177734,0.0047683715820312,0.0112056732177734,0.0080108642578125,0.0121116638183593,0.0234603881835937,0.496,1.424,1.696,1.696,4.232,3.744,0.005960464477539,0.0071048736572265,112.0,2.056,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061368942260742,0.0081300735473632,0.0061988830566406,0.0061988830566406,0.0061988830566406,0.0077247619628906,0.006270408630371,0.0,0.0152587890625,0.0,0.0152587890625,0.0086069107055664,0.0123500823974609,0.0304222106933593,0.496,1.392,1.696,1.696,8.464,7.488,0.005960464477539,0.0071048736572265,112.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061523914337158,0.0081300735473632,0.0088214874267578,0.0088214874267578,0.0061988830566406,0.0077247619628906,0.0061353047688802,0.0,0.0090599060058593,0.0,0.0090599060058593,0.0087261199951171,0.0110785166422526,0.0274658203125,0.496,1.36,1.696,1.696,11.968,12.008,0.005960464477539,0.0071048736572265,112.0,0.0,0
