time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063447118962852,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0077486038208007,0.0040088275637789,0.0069141387939453,0.0069141387939453,0.0047683715820312,0.0101327896118164,0.0064513262580422,0.0088214874267578,0.0096980263205135,0.020909309387207,0.496,1.36,1.696,1.696,26.816,24.624,0.0063180923461914,0.007176399230957,134.416,3340.728,0
1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065428700613145,0.0088214874267578,0.0102519989013671,0.0102519989013671,0.0077486038208007,0.0041807540739425,0.0095367431640625,0.0095367431640625,0.0052452087402343,0.0101327896118164,0.0078678131103515,0.0078678131103515,0.0090599060058593,0.0090599060058593,0.496,1.424,1.696,1.696,0.528,0.528,0.0063180923461914,0.007176399230957,117.192,859.656,0
2,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065025405504217,0.0088214874267578,0.0123977661132812,0.0123977661132812,0.0077486038208007,0.0040705861716434,0.0071525573730468,0.0071525573730468,0.0050067901611328,0.0101327896118164,0.0074386596679687,0.0111103057861328,0.0124454498291015,0.0238418579101562,0.496,1.424,1.696,1.696,3.504,4.52,0.0063180923461914,0.007176399230957,117.192,2223.2,0
3,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062543566864315,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0077486038208007,0.0045941426203801,0.005960464477539,0.005960464477539,0.0052452087402343,0.0101327896118164,0.0066995620727539,0.0095367431640625,0.0121593475341796,0.0292539596557617,0.496,1.424,1.696,1.696,7.736,8.264,0.0063180923461914,0.007176399230957,116.016,183.136,0
4,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061717363867429,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0077486038208007,0.0050067901611328,0.0090599060058593,0.0090599060058593,0.0056266784667968,0.0101327896118164,0.0,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,0.0063180923461914,0.007176399230957,118.448,47.448,0
5,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064432030857199,0.0090360641479492,0.00762939453125,0.00762939453125,0.0077486038208007,0.0040008908226376,0.0102519989013671,0.0102519989013671,0.0047683715820312,0.0101327896118164,0.0,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,0.0063180923461914,0.007176399230957,116.368,1077.336,0
6,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063957859627643,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0077486038208007,0.0039746489705918,0.0083446502685546,0.0083446502685546,0.0047683715820312,0.0101327896118164,0.0071048736572265,0.0101089477539062,0.0107765197753906,0.0206470489501953,0.496,1.424,1.696,1.696,4.232,3.744,0.0063180923461914,0.007176399230957,117.192,2522.344,0
7,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061213970184326,0.0083446502685546,0.00762939453125,0.00762939453125,0.0077486038208007,0.004157685396964,0.0066757202148437,0.0066757202148437,0.0048637390136718,0.0101327896118164,0.0061273574829101,0.0083446502685546,0.0108957290649414,0.0274896621704101,0.496,1.424,1.696,1.696,8.464,7.488,0.0063180923461914,0.007176399230957,112.0,582.184,0
8,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061103613069742,0.0080823898315429,0.0066757202148437,0.0066757202148437,0.0077486038208007,0.0044131765560227,0.0066757202148437,0.0066757202148437,0.0055313110351562,0.0101327896118164,0.0063737233479817,0.0090599060058593,0.0119527180989583,0.0295162200927734,0.496,1.392,1.696,1.696,11.968,12.008,0.0063180923461914,0.007176399230957,118.32,479.624,0
9,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061810906253643,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0077486038208007,0.0043630599975585,0.0107288360595703,0.0107288360595703,0.0057220458984375,0.0101327896118164,0.0068426132202148,0.0086069107055664,0.0109672546386718,0.0267744064331054,0.496,1.424,1.696,1.696,7.736,8.264,0.0063180923461914,0.007176399230957,117.192,98.16,0
