time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060525270971921,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0095367431640625,0.0079154968261718,0.01068115234375,0.0109672546386718,0.0109672546386718,0.0084638595581054,0.0091314315795898,0.0108242034912109,0.0123977661132812,0.0233173370361328,0.496,1.36,1.696,1.696,3.504,4.52,118.96,0.0102519989013671,0.0108242034912109,6.384,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060796737670898,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0095367431640625,0.0079154968261718,0.01068115234375,0.0112056732177734,0.0112056732177734,0.0051856040954589,0.007939338684082,0.0108242034912109,0.0123977661132812,0.0233173370361328,0.496,1.424,1.696,1.696,3.504,4.52,132.768,0.0102519989013671,0.0108242034912109,63.584,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065482488953241,0.0090599060058593,0.0104904174804687,0.0104904174804687,0.0095367431640625,0.0062942504882812,0.01068115234375,0.00762939453125,0.00762939453125,0.003992096852448,0.0047683715820312,0.0079631805419921,0.0113964080810546,0.0211238861083984,0.496,1.424,1.696,1.696,4.232,3.744,122.384,0.0102519989013671,0.0108242034912109,6000.64,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006152851746814,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0095367431640625,0.0059127807617187,0.01068115234375,0.0104904174804687,0.0104904174804687,0.0044703483581542,0.0050306320190429,0.0081539154052734,0.0107526779174804,0.0245571136474609,0.496,1.424,1.696,1.696,7.736,8.264,118.448,0.0102519989013671,0.0108242034912109,10.576,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060832146370765,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0095367431640625,0.0,0.01068115234375,0.0052452087402343,0.0052452087402343,0.0039518520396242,0.0047683715820312,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,118.448,0.0102519989013671,0.0108242034912109,2106.352,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061068204369875,0.0078678131103515,0.00762939453125,0.00762939453125,0.0095367431640625,0.0062942504882812,0.01068115234375,0.009775161743164,0.009775161743164,0.0071525573730468,0.0073432922363281,0.008392333984375,0.0104427337646484,0.0196456909179687,0.496,1.424,1.696,1.696,4.232,3.744,116.544,0.0102519989013671,0.0108242034912109,4.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062451433779588,0.0083446502685546,0.013589859008789,0.013589859008789,0.0095367431640625,0.0069618225097656,0.01068115234375,0.0143051147460937,0.0143051147460937,0.0050586202870244,0.0063896179199218,0.0101089477539062,0.0110626220703125,0.0214576721191406,0.496,1.392,1.696,1.696,4.232,3.744,117.192,0.0102519989013671,0.0108242034912109,180.936,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059783458709716,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0095367431640625,0.0060240427652994,0.01068115234375,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0080585479736328,0.0111897786458333,0.0291347503662109,0.496,1.424,1.696,1.696,11.968,12.008,112.0,0.0102519989013671,0.0108242034912109,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059521198272705,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0095367431640625,0.006103515625,0.01068115234375,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0077724456787109,0.01068115234375,0.019693374633789,0.496,1.36,1.696,1.696,4.232,3.744,112.0,0.0102519989013671,0.0108242034912109,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061752772567295,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0095367431640625,0.006103515625,0.01068115234375,0.005960464477539,0.005960464477539,0.0063180923461914,0.006413459777832,0.0081300735473632,0.0107288360595703,0.0247478485107421,0.496,1.36,1.696,1.696,7.736,8.264,119.776,0.0102519989013671,0.0108242034912109,7.344,0
