time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061870801566851,0.0083208084106445,0.00762939453125,0.00762939453125,0.0121593475341796,0.0121593475341796,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,122.384,25.152,27.344,0.0042120615641276,0.0051021575927734,309.368,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056706222833371,0.0073909759521484,0.0083446502685546,0.0083446502685546,0.009775161743164,0.009775161743164,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.424,1.696,1.696,0.0,130.032,25.152,27.344,0.0046888987223307,0.0056266784667968,6.504,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060707775514517,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0116825103759765,0.0116825103759765,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,113.256,25.152,27.344,0.0045299530029296,0.0045299530029296,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059699537742197,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.011444091796875,0.011444091796875,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,113.256,25.152,27.344,0.0045299530029296,0.0045299530029296,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060517989580904,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.00762939453125,0.00762939453125,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,113.256,25.152,27.344,0.0083446502685546,0.0083446502685546,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061194101969401,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0109672546386718,0.0109672546386718,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,117.192,25.152,27.344,0.0058412551879882,0.0072717666625976,18.224,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006397759042135,0.0088214874267578,0.0090599060058593,0.0090599060058593,0.009775161743164,0.009775161743164,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.424,1.696,1.696,0.0,136.968,25.152,27.344,0.0039360938815895,0.0045299530029296,2408.96,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070315688403684,0.0095367431640625,0.0131130218505859,0.0131130218505859,0.0107288360595703,0.0107288360595703,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.424,1.696,1.696,0.0,117.192,25.152,27.344,0.0038357563199305,0.0045299530029296,21766.72,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059986114501953,0.00762939453125,0.0081062316894531,0.0081062316894531,0.00762939453125,0.00762939453125,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.424,1.696,1.696,0.0,112.0,25.152,27.344,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058979091077747,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0063146863664899,0.0091075897216796,0.0122785568237304,0.0118017196655273,0.0129461288452148,0.0134229660034179,0.0094005039760044,0.0189781188964843,0.496,1.36,1.696,1.696,0.0,118.448,25.152,27.344,0.0049591064453125,0.0065803527832031,38.344,0
