time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070699831334556,0.0095367431640625,0.0104904174804687,0.0104904174804687,0.0071525573730468,0.0062056950160435,0.00762939453125,0.0077247619628906,0.0102996826171875,0.008249282836914,0.0085830688476562,0.0085830688476562,0.0096457345145089,0.0205039978027343,0.496,1.36,1.696,1.696,27.344,25.152,140.688,0.0039841755326971,0.0047683715820312,10271.216,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075819480478467,0.009775161743164,0.009775161743164,0.009775161743164,0.0071525573730468,0.0062056950160435,0.00762939453125,0.0077247619628906,0.0102996826171875,0.008249282836914,0.0147819519042968,0.0147819519042968,0.0096457345145089,0.0205039978027343,0.496,1.424,1.696,1.696,27.344,25.152,117.192,0.0039498327536092,0.0047683715820312,18386.184,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067018157807155,0.0090599060058593,0.0100135803222656,0.0100135803222656,0.0071525573730468,0.0,0.00762939453125,0.0077247619628906,0.0102996826171875,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,117.192,0.0039624270572457,0.0047683715820312,7573.568,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006218947986565,0.0087976455688476,0.0102519989013671,0.0102519989013671,0.0071525573730468,0.0066757202148437,0.00762939453125,0.0077247619628906,0.0102996826171875,0.0086784362792968,0.0069141387939453,0.0069141387939453,0.0134944915771484,0.0245571136474609,0.496,1.424,1.696,1.696,3.504,4.52,117.632,0.0046491622924804,0.004744529724121,5.28,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059887914374323,0.0081062316894531,0.0109672546386718,0.0109672546386718,0.0071525573730468,0.0066280364990234,0.00762939453125,0.0077247619628906,0.0102996826171875,0.0084400177001953,0.0073909759521484,0.0073909759521484,0.0123977661132812,0.0240325927734375,0.496,1.424,1.696,1.696,4.232,3.744,116.032,0.0048041343688964,0.0066995620727539,140.256,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062558188367245,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0071525573730468,0.0059366226196289,0.00762939453125,0.0077247619628906,0.0102996826171875,0.0081539154052734,0.013589859008789,0.013589859008789,0.0104665756225585,0.0251054763793945,0.496,1.424,1.696,1.696,7.736,8.264,113.256,0.006258487701416,0.0066041946411132,8.656,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006208325376605,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0,0.00762939453125,0.0077247619628906,0.0102996826171875,0.0,0.013589859008789,0.013589859008789,0.0,0.0,0.496,1.392,1.696,1.696,0.0,0.0,119.824,0.0066757202148437,0.0080585479736328,16.168,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065314769744873,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0071525573730468,0.0058650970458984,0.00762939453125,0.0077247619628906,0.0102996826171875,0.0074386596679687,0.0095367431640625,0.0095367431640625,0.0103473663330078,0.01983642578125,0.496,1.424,1.696,1.696,4.232,3.744,112.0,0.0042025722674469,0.0054836273193359,747.672,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062413734964805,0.0085830688476562,0.0128746032714843,0.0128746032714843,0.0071525573730468,0.0064849853515625,0.00762939453125,0.0077247619628906,0.0102996826171875,0.0086307525634765,0.009775161743164,0.009775161743164,0.0114917755126953,0.0224113464355468,0.496,1.392,1.696,1.696,4.232,3.744,122.384,0.0040144533724398,0.0047683715820312,1254.728,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065144021712725,0.0090599060058593,0.0081062316894531,0.0081062316894531,0.0071525573730468,0.005960464477539,0.00762939453125,0.0077247619628906,0.0102996826171875,0.0079631805419921,0.0083446502685546,0.0083446502685546,0.0103414058685302,0.0252723693847656,0.496,1.424,1.696,1.696,11.44,12.536,117.192,0.00388120175073,0.0045299530029296,7993.704,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066187844347597,0.0090599060058593,0.009775161743164,0.009775161743164,0.0,0.0064373016357421,0.0,0.0,0.0,0.0084877014160156,0.0088214874267578,0.0088214874267578,0.0112533569335937,0.0218868255615234,0.496,1.424,0.0,0.0,4.232,3.744,113.256,0.0039541496420806,0.0045299530029296,1722.584,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060850114964727,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0056982040405273,0.0,0.0,0.0,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.010848045349121,0.0276088714599609,0.496,1.392,0.0,0.0,7.736,8.264,113.256,0.0040531158447265,0.0040531158447265,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061882075978748,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0083446502685546,0.0083446502685546,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061591466267903,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0,0.0060081481933593,0.0,0.0,0.0,0.0072002410888671,0.0123977661132812,0.0123977661132812,0.0107765197753906,0.0206947326660156,0.496,1.36,0.0,0.0,4.232,3.744,132.768,0.0040553234241626,0.0048398971557617,1236.912,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062095585154063,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0058174133300781,0.0,0.0,0.0,0.0072479248046875,0.0081062316894531,0.0081062316894531,0.0108242034912109,0.0205039978027343,0.496,1.424,0.0,0.0,4.232,3.744,117.192,0.0040030773775077,0.0050067901611328,894.504,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062522603504693,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0,0.0059127807617187,0.0,0.0,0.0,0.0080585479736328,0.0088214874267578,0.0088214874267578,0.0105539957682291,0.0250816345214843,0.496,1.424,0.0,0.0,11.968,12.008,115.4,0.004029132910734,0.0048160552978515,1777.448,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067207943740768,0.0090599060058593,0.0088214874267578,0.0088214874267578,0.0,0.0060558319091796,0.0,0.0,0.0,0.00762939453125,0.0102519989013671,0.0102519989013671,0.0120162963867187,0.022125244140625,0.496,1.424,0.0,0.0,4.232,3.744,117.192,0.0039276511951543,0.0047683715820312,7470.488,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065506094753152,0.0092983245849609,0.0078678131103515,0.0078678131103515,0.0,0.0055789947509765,0.0,0.0,0.0,0.0074625015258789,0.0119209289550781,0.0119209289550781,0.0105619430541992,0.0253200531005859,0.496,1.424,0.0,0.0,7.736,8.264,118.448,0.0040340059586153,0.0050067901611328,2788.864,0
