time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069963121877133,0.009775161743164,0.0064373016357421,0.0064373016357421,0.0121593475341796,0.0121593475341796,0.0061580113002232,0.0147819519042968,0.0141859054565429,0.0153541564941406,0.0152349472045898,0.0084877014160156,0.009291512625558,0.019073486328125,0.496,1.36,1.696,1.696,143.152,27.344,25.152,0.0038962655512083,0.0045299530029296,16410.856,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069963121877133,0.009775161743164,0.00762939453125,0.00762939453125,0.0138282775878906,0.0138282775878906,0.0061580113002232,0.0147819519042968,0.0141859054565429,0.0153541564941406,0.0152349472045898,0.0084877014160156,0.009291512625558,0.019073486328125,0.496,1.36,1.696,1.696,143.152,27.344,25.152,0.0038962655512083,0.0045299530029296,16410.856,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064764449845499,0.0088214874267578,0.013589859008789,0.013589859008789,0.0073909759521484,0.0073909759521484,0.0061580113002232,0.0147819519042968,0.0141859054565429,0.0153541564941406,0.0152349472045898,0.0084877014160156,0.009291512625558,0.019073486328125,0.496,1.424,1.696,1.696,114.392,27.344,25.152,0.0039451409384842,0.0047683715820312,7557.696,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007514336808997,0.0100135803222656,0.0081062316894531,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0,0.0147819519042968,0.0141859054565429,0.0153541564941406,0.0152349472045898,0.0,0.0,0.0,0.496,1.424,1.696,1.696,117.192,0.0,0.0,0.0038764953613281,0.0045299530029296,26422.88,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061847195766939,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.00762939453125,0.00762939453125,0.0063101450602213,0.0147819519042968,0.0141859054565429,0.0153541564941406,0.0152349472045898,0.0086307525634765,0.0120004018147786,0.029754638671875,0.496,1.424,1.696,1.696,115.648,11.24,12.784,0.004113559991541,0.0052452087402343,706.264,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061493108768274,0.008559226989746,0.0095367431640625,0.0095367431640625,0.0064373016357421,0.0064373016357421,0.0,0.0147819519042968,0.0141859054565429,0.0153541564941406,0.0152349472045898,0.0,0.0,0.0,0.496,1.424,1.696,1.696,118.448,0.0,0.0,0.0047513416835239,0.0061273574829101,97.424,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060423096614097,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0071525573730468,0.0071525573730468,0.0,0.0147819519042968,0.0141859054565429,0.0153541564941406,0.0152349472045898,0.0,0.0,0.0,0.496,1.424,1.696,1.696,113.256,0.0,0.0,0.0050067901611328,0.0050067901611328,1.192,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059664249420166,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0102519989013671,0.0102519989013671,0.0,0.0147819519042968,0.0141859054565429,0.0153541564941406,0.0152349472045898,0.0,0.0,0.0,0.496,1.36,1.696,1.696,112.0,0.0,0.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060915946960449,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0140666961669921,0.0140666961669921,0.0068426132202148,0.0147819519042968,0.0141859054565429,0.0153541564941406,0.0152349472045898,0.0093698501586914,0.0108957290649414,0.0286340713500976,0.496,1.36,1.696,1.696,112.0,8.464,7.488,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058484077453613,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0088214874267578,0.0088214874267578,0.006103515625,0.0147819519042968,0.0141859054565429,0.0153541564941406,0.0152349472045898,0.0088453292846679,0.0110149383544921,0.0277996063232421,0.496,1.36,1.696,1.696,112.0,8.464,7.488,0.0,0.0,0.0,0
