time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,a1_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060430847772277,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0064304896763392,0.0088214874267578,0.0092029571533203,0.0088214874267578,0.0131130218505859,0.0133514404296875,0.0093732561383928,0.0150203704833984,0.0148773193359375,0.0198841094970703,0.496,1.36,1.696,1.696,27.344,25.152,118.96,0.0077486038208007,0.0078439712524414,6.384,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060090971230274,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0064304896763392,0.0095367431640625,0.0092029571533203,0.0095367431640625,0.0131130218505859,0.0133514404296875,0.0093732561383928,0.0150203704833984,0.0148773193359375,0.0198841094970703,0.496,1.424,1.696,1.696,27.344,25.152,117.192,0.0063180923461914,0.0081300735473632,15.872,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068183038748946,0.0090599060058593,0.0088214874267578,0.0088214874267578,0.0064304896763392,0.0138282775878906,0.0092029571533203,0.0138282775878906,0.0131130218505859,0.0133514404296875,0.0093732561383928,0.0150203704833984,0.0148773193359375,0.0198841094970703,0.496,1.424,1.696,1.696,27.344,25.152,137.4,0.0040245217245978,0.0047683715820312,6019.456,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00600531549737,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0074386596679687,0.0073909759521484,0.0101566314697265,0.0073909759521484,0.0131130218505859,0.0133514404296875,0.0122547149658203,0.0150203704833984,0.0148773193359375,0.02288818359375,0.496,1.424,1.696,1.696,3.504,4.52,118.448,0.0045001506805419,0.0049829483032226,39.472,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061162627569519,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0065803527832031,0.0088214874267578,0.0086307525634765,0.0088214874267578,0.0131130218505859,0.0133514404296875,0.0111579895019531,0.0150203704833984,0.0148773193359375,0.0201225280761718,0.496,1.424,1.696,1.696,4.232,3.744,118.448,0.0039198065316805,0.0047683715820312,2106.352,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061585535457478,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0064849853515625,0.0064373016357421,0.0089168548583984,0.0064373016357421,0.0131130218505859,0.0133514404296875,0.0111579895019531,0.0150203704833984,0.0148773193359375,0.0210285186767578,0.496,1.424,1.696,1.696,4.232,3.744,113.256,0.0066757202148437,0.0066757202148437,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061563926168007,0.0083208084106445,0.0102519989013671,0.0102519989013671,0.0060796737670898,0.0119209289550781,0.008392333984375,0.0119209289550781,0.0131130218505859,0.0133514404296875,0.010538101196289,0.0150203704833984,0.0148773193359375,0.0249385833740234,0.496,1.392,1.696,1.696,7.736,8.264,120.48,0.0049074490865071,0.0061988830566406,183.936,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060260295867919,0.0078916549682617,0.009775161743164,0.009775161743164,0.0064373016357421,0.009775161743164,0.0078678131103515,0.009775161743164,0.0131130218505859,0.0133514404296875,0.011444091796875,0.0150203704833984,0.0148773193359375,0.0214099884033203,0.496,1.424,1.696,1.696,4.232,3.744,112.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005960464477539,0.0076532363891601,0.0064373016357421,0.0064373016357421,0.0064849853515625,0.0088214874267578,0.0087261199951171,0.0088214874267578,0.0131130218505859,0.0133514404296875,0.0106334686279296,0.0150203704833984,0.0148773193359375,0.0196456909179687,0.496,1.36,1.696,1.696,4.232,3.744,112.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061327868168896,0.0083208084106445,0.0064373016357421,0.0064373016357421,0.0057935714721679,0.0107288360595703,0.0081539154052734,0.0107288360595703,0.0131130218505859,0.0133514404296875,0.0108242034912109,0.0150203704833984,0.0148773193359375,0.0249862670898437,0.496,1.36,1.696,1.696,7.736,8.264,119.776,0.0064373016357421,0.0077724456787109,7.344,0
