time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060802668481323,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.005960464477539,0.0104904174804687,0.0071048736572265,0.0104904174804687,0.0061852591378348,0.0077486038208007,0.0103235244750976,0.0090599060058593,0.010122571672712,0.0219345092773437,0.496,1.36,0.0,1.696,1.696,27.344,25.152,117.192,0.0049008263481987,0.0072956085205078,92.968,0
1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063438041537415,0.0085115432739257,0.0078678131103515,0.0078678131103515,0.005960464477539,0.0109672546386718,0.0071048736572265,0.0109672546386718,0.0062882900238037,0.0077486038208007,0.0103235244750976,0.0070571899414062,0.0123182932535807,0.0281095504760742,0.496,1.424,0.0,1.696,1.696,6.68,9.32,134.552,0.0047002519880022,0.0059366226196289,334.304,0
2,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00640646142153,0.0083446502685546,0.00762939453125,0.00762939453125,0.005960464477539,0.0102519989013671,0.0071048736572265,0.0102519989013671,0.0065326690673828,0.0077486038208007,0.0103235244750976,0.0085353851318359,0.0112056732177734,0.0211715698242187,0.496,1.424,0.0,1.696,1.696,4.232,3.744,117.192,0.0042155548766419,0.0052452087402343,881.624,0
3,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061237812042236,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.005960464477539,0.0085830688476562,0.0071048736572265,0.0085830688476562,0.0064849853515625,0.0077486038208007,0.0103235244750976,0.0088453292846679,0.0108957290649414,0.0247955322265625,0.496,1.392,0.0,1.696,1.696,7.736,8.264,112.0,0.0,0.0,0.0,0
4,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061401592686845,0.0083446502685546,0.0140666961669921,0.0140666961669921,0.005960464477539,0.0073909759521484,0.0071048736572265,0.0073909759521484,0.0,0.0077486038208007,0.0103235244750976,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,121.336,0.0051657358805338,0.0071525573730468,57.752,0
5,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064219578658,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.005960464477539,0.0116825103759765,0.0071048736572265,0.0116825103759765,0.0069141387939453,0.0077486038208007,0.0103235244750976,0.0094890594482421,0.0111103057861328,0.0205516815185546,0.496,1.424,0.0,1.696,1.696,4.232,3.744,115.584,0.0040480646036439,0.004887580871582,2271.312,0
6,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063938460326547,0.0087261199951171,0.0083446502685546,0.0083446502685546,0.005960464477539,0.0078678131103515,0.0071048736572265,0.0078678131103515,0.0060081481933593,0.0077486038208007,0.0103235244750976,0.0073432922363281,0.0107765197753906,0.0208377838134765,0.496,1.424,0.0,1.696,1.696,4.232,3.744,121.912,0.0041501194823021,0.0052452087402343,1825.024,0
7,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065457820892333,0.0090599060058593,0.0083446502685546,0.0083446502685546,0.005960464477539,0.0100135803222656,0.0071048736572265,0.0100135803222656,0.0065485636393229,0.0077486038208007,0.0103235244750976,0.0087261199951171,0.011301040649414,0.0265121459960937,0.496,1.424,0.0,1.696,1.696,11.968,12.008,112.0,0.0040620362677541,0.0047683715820312,2815.12,0
8,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067148635636514,0.0090599060058593,0.0073909759521484,0.0073909759521484,0.005960464477539,0.0078678131103515,0.0071048736572265,0.0078678131103515,0.0061988830566406,0.0077486038208007,0.0103235244750976,0.0072002410888671,0.0103712081909179,0.0183582305908203,0.496,1.424,0.0,1.696,1.696,3.704,4.272,114.52,0.004430611928304,0.0051736831665039,162.096,0
9,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006335973739624,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.005960464477539,0.0066757202148437,0.0071048736572265,0.0066757202148437,0.0063419342041015,0.0077486038208007,0.0103235244750976,0.0084161758422851,0.0106573104858398,0.0246763229370117,0.496,1.392,0.0,1.696,1.696,7.736,8.264,113.832,0.0078678131103515,0.0078678131103515,2.104,0
10,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061561812215776,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.005960464477539,0.0109672546386718,0.0071048736572265,0.0109672546386718,0.0,0.0077486038208007,0.0103235244750976,0.0,0.0,0.0,0.496,1.424,0.0,1.696,1.696,0.0,0.0,117.192,0.0052452087402343,0.0052452087402343,6.92,0
11,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061941851536041,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.009775161743164,0.0,0.009775161743164,0.006866455078125,0.0,0.0,0.008392333984375,0.0130176544189453,0.0260353088378906,0.496,1.424,0.0,0.0,0.0,4.232,3.744,123.64,0.0042748032954701,0.0051021575927734,501.768,0
12,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070730845133463,0.0095367431640625,0.0088214874267578,0.0088214874267578,0.0,0.0152587890625,0.0,0.0152587890625,0.0063896179199218,0.0,0.0,0.0081062316894531,0.0113964080810546,0.0219345092773437,0.496,1.424,0.0,0.0,0.0,4.232,3.744,113.256,0.0040739774703979,0.0047683715820312,7350.624,0
13,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059616506396241,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0100135803222656,0.0,0.0100135803222656,0.0062783559163411,0.0,0.0,0.009012222290039,0.0110626220703125,0.0267505645751953,0.496,1.424,0.0,0.0,0.0,11.968,12.008,113.256,0.0061988830566406,0.0061988830566406,1.192,0
14,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059008598327636,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0,0.00762939453125,0.0,0.00762939453125,0.0062465667724609,0.0,0.0,0.0077724456787109,0.0110149383544921,0.0202178955078125,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
15,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063351222446986,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0,0.0078678131103515,0.0,0.0078678131103515,0.0060558319091796,0.0,0.0,0.0088214874267578,0.0110626220703125,0.026869773864746,0.496,1.36,0.0,0.0,0.0,7.736,8.264,127.576,0.0044107437133789,0.0052690505981445,182.272,0
16,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067943364233519,0.0090599060058593,0.0081062316894531,0.0081062316894531,0.0,0.0085830688476562,0.0,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,117.192,0.0040450224276142,0.0047683715820312,6540.872,0
17,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062570049988096,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0,0.0090599060058593,0.0,0.0090599060058593,0.0059127807617187,0.0,0.0,0.0077247619628906,0.0121116638183593,0.0240802764892578,0.496,1.36,0.0,0.0,0.0,4.232,3.744,117.192,0.0084638595581054,0.008559226989746,7.28,0
18,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060589159306009,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0,0.0133514404296875,0.0,0.0133514404296875,0.006103515625,0.0,0.0,0.007486343383789,0.0109195709228515,0.0204086303710937,0.496,1.424,0.0,0.0,0.0,4.232,3.744,113.256,0.0064373016357421,0.0064373016357421,1.192,0
19,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062581911608947,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0,0.0123977661132812,0.0,0.0123977661132812,0.0066121419270833,0.0,0.0,0.0084877014160156,0.0109672546386718,0.0254154205322265,0.496,1.36,0.0,0.0,0.0,11.968,12.008,113.256,0.0047683715820312,0.0047683715820312,1.192,0
20,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006219047812087,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0,0.0112056732177734,0.0,0.0112056732177734,0.0,0.0,0.0,0.0,0.0271797180175781,0.0271797180175781,0.496,1.36,0.0,0.0,0.0,0.0,0.592,113.256,0.0057220458984375,0.0057220458984375,1.192,0
21,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061666965484619,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0102519989013671,0.0,0.0102519989013671,0.0060200691223144,0.0,0.0,0.0066041946411132,0.0074386596679687,0.0097274780273437,0.496,1.36,0.0,0.0,0.0,3.704,3.68,112.0,0.0,0.0,0.0,0
22,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059103965759277,0.00762939453125,0.005960464477539,0.005960464477539,0.0,0.0116825103759765,0.0,0.0116825103759765,0.0061273574829101,0.0,0.0,0.0086307525634765,0.0108957290649414,0.0243902206420898,0.496,1.36,0.0,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,0
23,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060498714447021,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0,0.0085830688476562,0.0,0.0085830688476562,0.0062942504882812,0.0,0.0,0.0080108642578125,0.0118255615234375,0.0225543975830078,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
24,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006190538406372,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0,0.0071525573730468,0.0,0.0071525573730468,0.0065803527832031,0.0,0.0,0.0085353851318359,0.0105857849121093,0.0196456909179687,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
25,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064764621753047,0.0085830688476562,0.0116825103759765,0.0116825103759765,0.0,0.0100135803222656,0.0,0.0100135803222656,0.0063180923461914,0.0,0.0,0.009322166442871,0.0109672546386718,0.0268936157226562,0.496,1.36,0.0,0.0,0.0,7.736,8.264,144.408,0.0040471718912309,0.0047683715820312,3455.128,0
26,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065907393351639,0.0092983245849609,0.0078678131103515,0.0078678131103515,0.0,0.0116825103759765,0.0,0.0116825103759765,0.0063896179199218,0.0,0.0,0.0081062316894531,0.0117301940917968,0.0217914581298828,0.496,1.424,0.0,0.0,0.0,4.232,3.744,118.144,0.0041507068693329,0.0050067901611328,1923.288,0
27,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059497890187733,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0143051147460937,0.0,0.0143051147460937,0.0064849853515625,0.0,0.0,0.0079154968261718,0.0117778778076171,0.0225067138671875,0.496,1.424,0.0,0.0,0.0,4.232,3.744,113.256,0.0045299530029296,0.0045299530029296,1.192,0
28,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059497890187733,0.0081062316894531,0.006866455078125,0.0057220458984375,0.0,0.011444091796875,0.0,0.011444091796875,0.0064373016357421,0.0,0.0,0.0081539154052734,0.0107288360595703,0.0255346298217773,1.344,2.208,0.0,0.0,0.0,7.736,8.264,113.256,0.0045299530029296,0.0045299530029296,1.192,0
29,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059497890187733,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0,0.0085830688476562,0.0,0.0085830688476562,0.0062465667724609,0.0,0.0,0.008249282836914,0.0110149383544921,0.0208377838134765,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0045299530029296,0.0045299530029296,1.192,0
30,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062285371087676,0.0085830688476562,0.009775161743164,0.009775161743164,0.0,0.0092983245849609,0.0,0.0092983245849609,0.0069618225097656,0.0,0.0,0.0089645385742187,0.0112533569335937,0.0208854675292968,0.496,1.36,0.0,0.0,0.0,4.232,3.744,117.192,0.0065565109252929,0.0083684921264648,13.408,0
31,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060951709747314,0.0081300735473632,0.0069141387939453,0.0069141387939453,0.0,0.0081062316894531,0.0,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
32,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059972355021766,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0,0.0073909759521484,0.0,0.0073909759521484,0.0063737233479817,0.0,0.0,0.0085830688476562,0.0112533569335937,0.0268459320068359,0.496,1.36,0.0,0.0,0.0,11.968,12.008,113.256,0.0050067901611328,0.0050067901611328,1.192,0
33,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060150279334528,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0,0.0140666961669921,0.0,0.0140666961669921,0.0052928924560546,0.0,0.0,0.0059127807617187,0.0118732452392578,0.0210285186767578,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0090599060058593,0.0090599060058593,1.192,0
34,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060423096614097,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0140666961669921,0.0,0.0140666961669921,0.0062465667724609,0.0,0.0,0.0084161758422851,0.0110626220703125,0.0265836715698242,0.496,1.36,0.0,0.0,0.0,7.736,8.264,113.256,0.0052452087402343,0.0052452087402343,1.192,0
35,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062716007232666,0.0086069107055664,0.0073909759521484,0.0073909759521484,0.0,0.0123977661132812,0.0,0.0123977661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0041723251342773,0.0050306320190429,963.056,0
36,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074754640894028,0.009775161743164,0.0078678131103515,0.0078678131103515,0.0,0.0154972076416015,0.0,0.0154972076416015,0.0065326690673828,0.0,0.0,0.0082015991210937,0.0117778778076171,0.020456314086914,0.496,1.424,0.0,0.0,0.0,4.232,3.744,143.152,0.0039739558703004,0.0047683715820312,7415.52,0
37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065243244171142,0.0081300735473632,0.0116825103759765,0.0116825103759765,0.0,0.0123977661132812,0.0,0.0123977661132812,0.0062465667724609,0.0,0.0,0.0080585479736328,0.0122547149658203,0.0238895416259765,0.496,1.392,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
38,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064218815286361,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0,0.0133514404296875,0.0,0.0133514404296875,0.0065485636393229,0.0,0.0,0.0088691711425781,0.0108718872070312,0.0272274017333984,0.496,1.36,0.0,0.0,0.0,11.968,12.008,121.824,0.0044206778208414,0.0063419342041015,245.76,0
39,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061051762519191,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0092983245849609,0.0,0.0092983245849609,0.0057697296142578,0.0,0.0,0.0073909759521484,0.0114917755126953,0.0220775604248046,0.496,1.424,0.0,0.0,0.0,4.232,3.744,113.256,0.0040531158447265,0.0040531158447265,1.192,0
40,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061217825211102,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0069141387939453,0.0,0.0069141387939453,0.0061273574829101,0.0,0.0,0.008392333984375,0.010991096496582,0.0274658203125,0.496,1.36,0.0,0.0,0.0,7.736,8.264,113.256,0.0047683715820312,0.0047683715820312,1.192,0
41,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060731498756218,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0090599060058593,0.0095367431640625,0.0111579895019531,0.0095367431640625,0.0,0.0078678131103515,0.0107288360595703,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,113.256,0.0088214874267578,0.0088214874267578,1.192,0
42,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060629844665527,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0131130218505859,0.0,0.0131130218505859,0.0072479248046875,0.0,0.0,0.0089168548583984,0.0125885009765625,0.0239372253417968,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
43,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060808658599853,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0102519989013671,0.0,0.0102519989013671,0.0060558319091796,0.0,0.0,0.0077724456787109,0.0112533569335937,0.0211238861083984,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
44,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060236454010009,0.0078916549682617,0.0085830688476562,0.0085830688476562,0.0,0.0092983245849609,0.0,0.0092983245849609,0.0063101450602213,0.0,0.0,0.0088691711425781,0.0111897786458333,0.0284194946289062,0.496,1.36,0.0,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,0
45,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060956869552384,0.0081062316894531,0.011444091796875,0.011444091796875,0.0,0.0126361846923828,0.0,0.0126361846923828,0.0058650970458984,0.0,0.0,0.0073909759521484,0.011444091796875,0.0218868255615234,0.496,1.36,0.0,0.0,0.0,4.232,3.744,117.192,0.0054836273193359,0.0077247619628906,29.176,0
46,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064303574052829,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.017404556274414,0.0,0.017404556274414,0.0065088272094726,0.0,0.0,0.0083684921264648,0.0108718872070312,0.0252962112426757,0.496,1.424,0.0,0.0,0.0,7.736,8.264,139.216,0.0040202305234711,0.0047683715820312,4547.808,0
47,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0,0.0081062316894531,0.0,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,118.448,0.0047551261054144,0.0077724456787109,164.96,0
48,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064701869569975,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0,0.0109672546386718,0.0,0.0109672546386718,0.0067710876464843,0.0,0.0,0.009012222290039,0.012063980102539,0.0214576721191406,0.496,1.424,0.0,0.0,0.0,4.232,3.744,123.64,0.0040913940569676,0.0050067901611328,2055.536,0
49,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062716007232666,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0107288360595703,0.0,0.0107288360595703,0.0059127807617187,0.0,0.0,0.0074386596679687,0.0110149383544921,0.0207424163818359,0.496,1.424,0.0,0.0,0.0,4.232,3.744,112.0,0.0043842527601454,0.0056982040405273,159.232,0
50,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066497538349416,0.0094890594482421,0.0090599060058593,0.0090599060058593,0.0,0.00762939453125,0.0,0.00762939453125,0.0060876210530598,0.0,0.0,0.0087261199951171,0.0106970469156901,0.0259876251220703,0.496,1.424,0.0,0.0,0.0,11.968,12.008,122.384,0.0040153510697925,0.0047683715820312,5330.704,0
51,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063518979656162,0.0088214874267578,0.0061988830566406,0.0061988830566406,0.0,0.0073909759521484,0.0,0.0073909759521484,0.0061511993408203,0.0,0.0,0.0079154968261718,0.011444091796875,0.0214099884033203,0.496,1.424,0.0,0.0,0.0,4.232,3.744,114.264,0.0043098743145282,0.0052452087402343,377.368,0
52,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062024593353271,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0,0.0066757202148437,0.0,0.0066757202148437,0.006103515625,0.0,0.0,0.0083446502685546,0.0115633010864257,0.0267505645751953,0.496,1.424,0.0,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,0
53,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061906210266717,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0,0.0147819519042968,0.0,0.0147819519042968,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,118.448,0.0045526595342726,0.0064373016357421,175.8,0
54,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062700527817455,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0,0.0090599060058593,0.0,0.0090599060058593,0.0062465667724609,0.0,0.0,0.0080585479736328,0.0125408172607421,0.0232219696044921,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0045299530029296,0.0045299530029296,1.192,0
55,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063327732931804,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0081062316894531,0.0,0.0081062316894531,0.0067710876464843,0.0,0.0,0.0090599060058593,0.0114917755126953,0.0211715698242187,0.496,1.424,0.0,0.0,0.0,4.232,3.744,123.64,0.0043777709311627,0.0055789947509765,425.992,0
56,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062060356140136,0.0083446502685546,0.005960464477539,0.005960464477539,0.0,0.0116825103759765,0.0,0.0116825103759765,0.0060558319091796,0.0,0.0,0.0084877014160156,0.0107606252034505,0.025177001953125,0.496,1.36,0.0,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,0
57,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060868263244628,0.0078916549682617,0.00762939453125,0.00762939453125,0.0,0.0064373016357421,0.0,0.0064373016357421,0.0060558319091796,0.0,0.0,0.0075817108154296,0.0113487243652343,0.0213623046875,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
58,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061930394640155,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0,0.0073909759521484,0.0,0.0073909759521484,0.0061511993408203,0.0,0.0,0.0084400177001953,0.0108957290649414,0.0255584716796874,0.496,1.424,0.0,0.0,0.0,7.736,8.264,132.768,0.0040428902171804,0.0047683715820312,4067.096,0
