time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,e2_du_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066350146037776,0.0092983245849609,0.0056028366088867,0.0076889991760253,0.0088214874267578,0.0066995620727539,0.0039953821977692,0.0047683715820312,0.0063419342041015,0.0083684921264648,0.0159740447998046,0.0185966491699218,0.0226497650146484,0.0247001647949218,1.696,1.696,5.6,5.76,29.672,30.848,141.92,0.0220298767089843,0.0108540058135986,2497.128,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066685676574707,0.0095367431640625,0.0073909759521484,0.0061988830566406,0.0069618225097656,0.0100612640380859,0.0039732881954738,0.0047683715820312,0.006866455078125,0.0092029571533203,0.0159740447998046,0.0185966491699218,0.0226497650146484,0.0247001647949218,1.696,1.696,1.344,1.28,3.744,4.232,112.0,0.0234603881835937,0.0125408172607421,4897.072,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0060975551605224,0.0081300735473632,0.0079870223999023,0.0064373016357421,0.0076770782470703,0.0127553939819335,0.0,0.0,0.006866455078125,0.0083446502685546,0.0159740447998046,0.0185966491699218,0.0226497650146484,0.0247001647949218,1.696,1.696,5.6,5.76,3.744,4.232,112.0,0.0239849090576171,0.0122547149658203,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0064408601219974,0.0085830688476562,0.0071525573730468,0.007033348083496,0.0078201293945312,0.0093936920166015,0.005960464477539,0.005960464477539,0.0062227249145507,0.0082969665527343,0.0159740447998046,0.0185966491699218,0.0226497650146484,0.0247001647949218,1.696,1.696,5.6,5.76,8.264,7.736,113.256,0.0294208526611328,0.0115633010864257,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006882112417648,0.0090599060058593,0.0061988830566406,0.0070929527282714,0.0083208084106445,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0067710876464843,0.009918212890625,0.0159740447998046,0.0185966491699218,0.0226497650146484,0.0247001647949218,1.696,1.696,5.6,5.76,3.744,4.232,113.256,0.0207424163818359,0.0108718872070312,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0069885719113233,0.0090599060058593,0.006258487701416,0.0063776969909667,0.0084161758422851,0.0080823898315429,0.0041961669921875,0.0050067901611328,0.005960464477539,0.0075817108154296,0.0159740447998046,0.0185966491699218,0.0226497650146484,0.0247001647949218,1.696,1.696,5.6,5.76,3.744,4.232,134.024,0.0218868255615234,0.0111579895019531,1127.112,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068521499633789,0.0088453292846679,0.0075499216715494,0.0063180923461914,0.0080108642578125,0.0082969665527343,0.0042915344238281,0.0053167343139648,0.0061273574829101,0.0086069107055664,0.0159740447998046,0.0185966491699218,0.0226497650146484,0.0247001647949218,1.696,1.696,5.104,5.76,8.264,7.736,116.632,0.0275611877441406,0.0112533569335937,39.36,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0069177150726318,0.0092983245849609,0.0074505805969238,0.0076889991760253,0.0082969665527343,0.0111579895019531,0.0,0.0,0.0060558319091796,0.0078201293945312,0.0159740447998046,0.0185966491699218,0.0226497650146484,0.0247001647949218,1.696,1.696,5.6,5.76,3.744,4.232,112.0,0.0229835510253906,0.0115871429443359,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066423416137695,0.0083446502685546,0.0060399373372395,0.0067949295043945,0.0068902969360351,0.006866455078125,0.0,0.0,0.0066280364990234,0.0081539154052734,0.0159740447998046,0.0185966491699218,0.0226497650146484,0.0247001647949218,1.696,1.696,4.752,4.48,3.744,4.232,112.0,0.0237941741943359,0.0117301940917968,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067734718322753,0.0083446502685546,0.006258487701416,0.0078082084655761,0.0092267990112304,0.0076770782470703,0.0,0.0,0.0067710876464843,0.0088214874267578,0.0159740447998046,0.0185966491699218,0.0226497650146484,0.0247001647949218,1.696,1.696,5.6,5.76,8.264,7.736,112.0,0.030064582824707,0.0121593475341796,0.0,0
