time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_c_packet_loss_dl_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062779624863426,0.0085830688476562,0.0126361846923828,0.0126361846923828,0.0061988830566406,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0062670026506696,0.0078678131103515,0.496,1.36,8.88,10.24,120.92,33.33333333333333,20.0,25.152,27.344,-37.7293586730957,-208.0026268959045,209.4869017601013,442.6273822784424,0.0215053558349609,0.0097547258649553,18.568,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0064396390727922,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0054041544596354,0.013589859008789,0.013589859008789,0.0057220458984375,0.0062670026506696,0.0078678131103515,0.496,1.424,6.576,5.76,130.608,25.0,20.0,25.152,27.344,-81.0218334197998,-266.9738133748372,250.18548965454104,449.92866516113287,0.0215053558349609,0.0097547258649553,35.408,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061297416687011,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0164508819580078,0.0164508819580078,0.0,0.0062670026506696,0.0078678131103515,0.496,1.392,6.448,7.04,112.0,33.33333333333333,20.0,25.152,27.344,-106.10585212707517,-268.5050368309021,340.34478664398193,562.0685815811157,0.0215053558349609,0.0097547258649553,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061440467834472,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.096,5.76,112.0,25.0,40.0,25.152,27.344,-82.82432556152344,-267.33167966206867,266.67579015096027,490.01970291137695,0.0215053558349609,0.0097547258649553,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063562393188476,0.0083446502685546,0.0107288360595703,0.0107288360595703,0.0,0.0162124633789062,0.0162124633789062,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,8.88,9.072,112.0,20.0,20.0,25.152,27.344,-107.79397487640378,-322.7285146713257,210.1852297782898,449.5301961898804,0.0215053558349609,0.0097547258649553,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0059688091278076,0.0076532363891601,0.00762939453125,0.00762939453125,0.0,0.0154972076416015,0.0154972076416015,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.576,6.928,112.0,20.0,20.0,25.152,27.344,-37.88895606994629,-210.01338958740237,251.23471021652225,449.5476722717286,0.0215053558349609,0.0097547258649553,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061834629495345,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0047683715820312,0.0119209289550781,0.0119209289550781,0.0047683715820312,0.0062670026506696,0.0078678131103515,0.496,1.36,6.448,7.04,113.256,33.33333333333333,20.0,25.152,27.344,-109.32512283325192,-268.2386636734009,338.5835289955139,554.0130615234375,0.0215053558349609,0.0097547258649553,1.192,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060629729487469,0.0082015991210937,0.0071525573730468,0.0071525573730468,0.0053133283342633,0.0092983245849609,0.0092983245849609,0.0067710876464843,0.0062670026506696,0.0078678131103515,0.496,1.36,6.096,5.76,140.472,25.0,40.0,25.152,27.344,-86.66629791259766,-266.6617234547933,266.6759490966797,483.5495948791504,0.0215053558349609,0.0097547258649553,31.352,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060363788509843,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0052452087402343,0.0143051147460937,0.0143051147460937,0.0052452087402343,0.0062670026506696,0.0078678131103515,0.496,1.424,8.88,9.072,113.256,20.0,20.0,25.152,27.344,-111.2904071807861,-321.72518968582153,211.08734607696533,447.9842901229859,0.0215053558349609,0.0097547258649553,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0059092044830322,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.576,6.928,112.0,20.0,20.0,25.152,27.344,-42.58778095245361,-210.99865436553955,252.3409128189087,449.5853185653687,0.0215053558349609,0.0097547258649553,0.0,0
