time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060574681151146,0.0081062316894531,0.0071922938028971,0.0084241231282552,0.0104904174804687,0.010848045349121,0.0109672546386718,0.0109672546386718,0.0042664377312911,0.0053405761718749,0.0062125069754464,0.0104904174804687,0.0104904174804687,0.0087261199951171,0.496,1.36,9.856,10.24,132.768,25.152,27.344,0.0229358673095703,0.0103405543736049,210.264,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061245247869208,0.0083446502685546,0.0071922938028971,0.0084241231282552,0.0104904174804687,0.010848045349121,0.0092983245849609,0.0092983245849609,0.0044822692871093,0.0061988830566406,0.0062125069754464,0.0121593475341796,0.0121593475341796,0.0087261199951171,0.496,1.424,9.856,10.24,122.384,25.152,27.344,0.0229358673095703,0.0103405543736049,236.704,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064948509479391,0.0090599060058593,0.0071922938028971,0.0084241231282552,0.0104904174804687,0.010848045349121,0.0069141387939453,0.0069141387939453,0.0039193496452306,0.0045299530029296,0.0062125069754464,0.0128746032714843,0.0128746032714843,0.0087261199951171,0.496,1.392,9.856,10.24,123.64,25.152,27.344,0.0229358673095703,0.0103405543736049,3439.56,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006377993531488,0.0088214874267578,0.0071922938028971,0.0084241231282552,0.0104904174804687,0.010848045349121,0.0078678131103515,0.0078678131103515,0.0039897066481569,0.0047683715820312,0.0062125069754464,0.0088214874267578,0.0088214874267578,0.0087261199951171,0.496,1.424,9.856,10.24,113.256,25.152,27.344,0.0229358673095703,0.0103405543736049,1046.128,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060517989580904,0.0081062316894531,0.0071922938028971,0.0084241231282552,0.0104904174804687,0.010848045349121,0.005960464477539,0.005960464477539,0.0045299530029296,0.0045299530029296,0.0062125069754464,0.0069141387939453,0.0069141387939453,0.0087261199951171,0.496,1.392,9.856,10.24,113.256,25.152,27.344,0.0229358673095703,0.0103405543736049,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063097476959228,0.0083446502685546,0.0071922938028971,0.0084241231282552,0.0104904174804687,0.010848045349121,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0062125069754464,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.496,1.36,9.856,10.24,112.0,25.152,27.344,0.0229358673095703,0.0103405543736049,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061821937561035,0.0083446502685546,0.0071922938028971,0.0084241231282552,0.0104904174804687,0.010848045349121,0.00762939453125,0.00762939453125,0.0,0.0,0.0062125069754464,0.0123977661132812,0.0123977661132812,0.0087261199951171,0.496,1.36,9.856,10.24,112.0,25.152,27.344,0.0229358673095703,0.0103405543736049,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059902667999267,0.0081062316894531,0.0071922938028971,0.0084241231282552,0.0104904174804687,0.010848045349121,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0062125069754464,0.0183582305908203,0.0183582305908203,0.0087261199951171,0.496,1.36,9.856,10.24,112.0,25.152,27.344,0.0229358673095703,0.0103405543736049,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058114528656005,0.00762939453125,0.0071922938028971,0.0084241231282552,0.0104904174804687,0.010848045349121,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0062125069754464,0.0095367431640625,0.0095367431640625,0.0087261199951171,0.496,1.36,9.856,10.24,112.0,25.152,27.344,0.0229358673095703,0.0103405543736049,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060407241972366,0.0078678131103515,0.0071922938028971,0.0084241231282552,0.0104904174804687,0.010848045349121,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0089168548583984,0.0062125069754464,0.0083446502685546,0.0083446502685546,0.0087261199951171,0.496,1.36,9.856,10.24,118.448,25.152,27.344,0.0229358673095703,0.0103405543736049,6.16,0
