time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0061595324173714,0.0073115030924479,0.0064373016357421,0.0064373016357421,0.0080585479736328,0.0133514404296875,0.0133514404296875,0.0051750856287339,0.0069141387939453,0.0083446502685546,0.0066348484584263,0.0085830688476562,0.0092983245849609,0.496,1.36,5.104,5.76,141.504,25.152,27.344,0.0218391418457031,0.0105040413992745,137.4,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0061595324173714,0.0073115030924479,0.0095367431640625,0.0095367431640625,0.0080585479736328,0.0095367431640625,0.0095367431640625,0.0051750856287339,0.0069141387939453,0.0083446502685546,0.0066348484584263,0.0085830688476562,0.0092983245849609,0.496,1.36,5.104,5.76,141.504,25.152,27.344,0.0218391418457031,0.0105040413992745,137.4,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0060653686523437,0.0073115030924479,0.011444091796875,0.011444091796875,0.0080585479736328,0.013589859008789,0.013589859008789,0.0,0.0,0.0083446502685546,0.0066348484584263,0.0085830688476562,0.0092983245849609,0.496,1.424,5.104,5.76,112.0,25.152,27.344,0.0218391418457031,0.0105040413992745,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.005824225289481,0.0073115030924479,0.0064373016357421,0.0064373016357421,0.0080585479736328,0.00762939453125,0.00762939453125,0.0055631001790364,0.006103515625,0.0083446502685546,0.0066348484584263,0.0085830688476562,0.0092983245849609,0.496,1.36,5.104,5.76,123.64,25.152,27.344,0.0218391418457031,0.0105040413992745,19.576,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008559226989746,0.0061009189870097,0.0073115030924479,0.0073909759521484,0.0073909759521484,0.0080585479736328,0.0073909759521484,0.0073909759521484,0.0047570183163597,0.005960464477539,0.0083446502685546,0.0066348484584263,0.0085830688476562,0.0092983245849609,0.496,1.424,5.104,5.76,115.856,25.152,27.344,0.0218391418457031,0.0105040413992745,133.624,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060666905771387,0.0073115030924479,0.0083446502685546,0.0083446502685546,0.0080585479736328,0.0088214874267578,0.0088214874267578,0.0050862630208333,0.006723403930664,0.0083446502685546,0.0066348484584263,0.0085830688476562,0.0092983245849609,0.496,1.424,5.104,5.76,118.448,25.152,27.344,0.0218391418457031,0.0105040413992745,70.984,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074148178100585,0.0057446956634521,0.0073115030924479,0.0064373016357421,0.0064373016357421,0.0080585479736328,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0083446502685546,0.0066348484584263,0.0085830688476562,0.0092983245849609,0.496,1.424,5.104,5.76,112.0,25.152,27.344,0.0218391418457031,0.0105040413992745,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0059769885374767,0.0073115030924479,0.0061988830566406,0.0061988830566406,0.0080585479736328,0.0133514404296875,0.0133514404296875,0.0069141387939453,0.007486343383789,0.0083446502685546,0.0066348484584263,0.0085830688476562,0.0092983245849609,0.496,1.36,5.104,5.76,122.384,25.152,27.344,0.0218391418457031,0.0105040413992745,13.776,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0058027049202231,0.0073115030924479,0.00762939453125,0.00762939453125,0.0080585479736328,0.0133514404296875,0.0133514404296875,0.0072717666625976,0.0086069107055664,0.0083446502685546,0.0066348484584263,0.0085830688476562,0.0092983245849609,0.496,1.424,5.104,5.76,117.192,25.152,27.344,0.0218391418457031,0.0105040413992745,39.328,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0059878826141357,0.0073115030924479,0.0078678131103515,0.0078678131103515,0.0080585479736328,0.0145435333251953,0.0145435333251953,0.0,0.0,0.0083446502685546,0.0066348484584263,0.0085830688476562,0.0092983245849609,0.496,1.424,5.104,5.76,112.0,25.152,27.344,0.0218391418457031,0.0105040413992745,0.0,0
