time_seconds,a1_retransmissions_dl_count,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061977200391815,0.0087261199951171,0.0066757202148437,0.0066757202148437,0.0073909759521484,0.0041083856062455,0.0047683715820312,0.0121593475341796,0.0121593475341796,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0060762677873883,0.008249282836914,0.496,1.36,0.848,0.848,140.112,0.0,25.152,27.344,0.0223636627197265,0.0101157597133091,1901.568,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006665044756078,0.0088214874267578,0.0090599060058593,0.0090599060058593,0.0073909759521484,0.0040515438540951,0.0047683715820312,0.011444091796875,0.011444091796875,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0060762677873883,0.008249282836914,0.496,1.424,0.848,0.848,117.192,0.0,25.152,27.344,0.0223636627197265,0.0101157597133091,7912.096,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069507277838074,0.0090599060058593,0.0090599060058593,0.0090599060058593,0.0073909759521484,0.0040753460152721,0.0047683715820312,0.0154972076416015,0.0154972076416015,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0060762677873883,0.008249282836914,0.496,1.424,0.848,0.848,118.448,0.0,25.152,27.344,0.0223636627197265,0.0101157597133091,7492.512,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070309875035049,0.0097513198852539,0.009775161743164,0.009775161743164,0.0073909759521484,0.0041088108637802,0.0047683715820312,0.0126361846923828,0.0126361846923828,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0060762677873883,0.008249282836914,0.496,1.424,0.848,0.848,118.448,0.0,25.152,27.344,0.0223636627197265,0.0101157597133091,7005.032,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065081190354753,0.0092744827270507,0.0100135803222656,0.0100135803222656,0.0073909759521484,0.0042563434896433,0.0050067901611328,0.00762939453125,0.00762939453125,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0060762677873883,0.008249282836914,0.496,1.424,0.848,0.848,118.448,0.0,25.152,27.344,0.0223636627197265,0.0101157597133091,2287.944,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064100199077852,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0073909759521484,0.0046177914268092,0.0054836273193359,0.009775161743164,0.009775161743164,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0060762677873883,0.008249282836914,0.496,1.424,0.848,0.848,114.392,0.0,25.152,27.344,0.0223636627197265,0.0101157597133091,261.76,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062549114227294,0.0083684921264648,0.0090599060058593,0.0090599060058593,0.0073909759521484,0.0049134959345278,0.0054836273193359,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0060762677873883,0.008249282836914,0.496,1.424,0.848,0.848,112.0,0.0,25.152,27.344,0.0223636627197265,0.0101157597133091,94.408,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060594081878662,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0073909759521484,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0060762677873883,0.008249282836914,0.496,1.392,0.848,0.848,112.0,0.0,25.152,27.344,0.0223636627197265,0.0101157597133091,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066193453784059,0.0092506408691406,0.00762939453125,0.00762939453125,0.0073909759521484,0.0043831373515881,0.0050306320190429,0.0112056732177734,0.0112056732177734,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0060762677873883,0.008249282836914,0.496,1.424,0.848,0.848,124.776,0.0,25.152,27.344,0.0223636627197265,0.0101157597133091,1508.096,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063815520177433,0.0085830688476562,0.00762939453125,0.00762939453125,0.0073909759521484,0.0043547514713171,0.0052213668823242,0.0078678131103515,0.0078678131103515,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0060762677873883,0.008249282836914,0.496,1.424,0.848,0.848,113.256,0.0,25.152,27.344,0.0223636627197265,0.0101157597133091,1027.232,0
