time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068076605935698,0.0095367431640625,0.0063776969909667,0.0060200691223144,0.0081062316894531,0.0078439712524414,0.0063146863664899,0.0150203704833984,0.003872837145973,0.0150203704833984,0.0045299530029296,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.36,5.6,5.728,143.152,25.152,27.344,0.00762939453125,0.00762939453125,36243.936,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074336777872114,0.0100135803222656,0.0063776969909667,0.0060200691223144,0.0081062316894531,0.0078439712524414,0.0063146863664899,0.013589859008789,0.0038762956067077,0.013589859008789,0.0045299530029296,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.424,5.6,5.728,117.192,25.152,27.344,0.0150203704833984,0.0150203704833984,19748.384,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067005063047503,0.0090599060058593,0.0063776969909667,0.0060200691223144,0.0081062316894531,0.0078439712524414,0.0063146863664899,0.017404556274414,0.005960464477539,0.017404556274414,0.005960464477539,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.424,5.6,5.728,118.448,25.152,27.344,0.0104904174804687,0.0104904174804687,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066993260147547,0.0092983245849609,0.0063776969909667,0.0060200691223144,0.0081062316894531,0.0078439712524414,0.0063146863664899,0.0181198120117187,0.0038911027517932,0.0181198120117187,0.0045299530029296,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.424,5.6,5.728,118.448,25.152,27.344,0.0100135803222656,0.0100135803222656,9787.032,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062605634850649,0.0083446502685546,0.0063776969909667,0.0060200691223144,0.0081062316894531,0.0078439712524414,0.0063146863664899,0.0090599060058593,0.0050067901611328,0.0090599060058593,0.0054836273193359,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.424,5.6,5.728,113.256,25.152,27.344,0.0088214874267578,0.0088214874267578,56.744,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059020519256591,0.00762939453125,0.0063776969909667,0.0060200691223144,0.0081062316894531,0.0078439712524414,0.0063146863664899,0.0128746032714843,0.0,0.0128746032714843,0.0,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.392,5.6,5.728,112.0,25.152,27.344,0.0083446502685546,0.0083446502685546,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059497356414794,0.0078678131103515,0.0063776969909667,0.0060200691223144,0.0081062316894531,0.0078439712524414,0.0063146863664899,0.0119209289550781,0.0,0.0119209289550781,0.0,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.36,5.6,5.728,112.0,25.152,27.344,0.0069141387939453,0.0069141387939453,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060048757814893,0.0083446502685546,0.0063776969909667,0.0060200691223144,0.0081062316894531,0.0078439712524414,0.0063146863664899,0.0090599060058593,0.0046849250793457,0.0090599060058593,0.0063419342041015,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.36,5.6,5.728,131.056,25.152,27.344,0.0083446502685546,0.0083446502685546,175.472,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064669556878692,0.0085830688476562,0.0063776969909667,0.0060200691223144,0.0081062316894531,0.0078439712524414,0.0063146863664899,0.0154972076416015,0.0041870221699753,0.0154972076416015,0.0050067901611328,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.424,5.6,5.728,117.192,25.152,27.344,0.0083446502685546,0.0083446502685546,1330.56,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062272100165338,0.0078678131103515,0.0063776969909667,0.0060200691223144,0.0081062316894531,0.0078439712524414,0.0063146863664899,0.0073909759521484,0.0043511390686035,0.0073909759521484,0.0052452087402343,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.424,5.6,5.728,116.096,25.152,27.344,0.00762939453125,0.00762939453125,683.552,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063782871359645,0.0088214874267578,0.0063776969909667,0.0060200691223144,0.0081062316894531,0.0078439712524414,0.0063146863664899,0.0150203704833984,0.0044013677018412,0.0150203704833984,0.0052452087402343,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.424,5.6,5.728,118.448,25.152,27.344,0.0083446502685546,0.0083446502685546,691.768,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065435277353418,0.0088214874267578,0.0086307525634765,0.0066757202148437,0.0108718872070312,0.0088214874267578,0.0063146863664899,0.0109672546386718,0.0042843096184008,0.0109672546386718,0.0052452087402343,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.424,8.88,9.04,118.448,25.152,27.344,0.0078678131103515,0.0078678131103515,840.232,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060340065268141,0.0081062316894531,0.0074386596679687,0.0057220458984375,0.0092506408691406,0.0066757202148437,0.0063146863664899,0.0131130218505859,0.005960464477539,0.0131130218505859,0.0061511993408203,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.424,6.576,6.864,115.288,25.152,27.344,0.0090599060058593,0.0090599060058593,11.76,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060636605789412,0.0081062316894531,0.0087817509969075,0.008392333984375,0.0127553939819335,0.0115394592285156,0.0063146863664899,0.0109672546386718,0.005960464477539,0.0109672546386718,0.005960464477539,0.0087261199951171,0.0101770673479352,0.02288818359375,0.496,1.424,6.448,7.008,116.392,25.152,27.344,0.0085830688476562,0.0085830688476562,4.104,0
