time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_ul_kbps,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006287272383527,0.0083446502685546,0.0068187713623046,0.0075101852416992,0.008702278137207,0.0104904174804687,0.0040716337926179,0.0049591064453124,0.0067847115652901,0.0092983245849609,0.0092983245849609,0.0100612640380859,0.0105244772774832,0.0238418579101562,1.36,0.496,6.448,7.008,138.864,25.152,27.344,0.0083446502685546,0.0083446502685546,949.352,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0065001682262515,0.0090599060058593,0.0066280364990234,0.0078082084655761,0.0095844268798828,0.0091552734375,0.0041869318061195,0.005197525024414,0.0067847115652901,0.0088214874267578,0.0088214874267578,0.0100612640380859,0.0105244772774832,0.0238418579101562,1.424,0.496,6.096,5.728,117.192,25.152,27.344,0.0102519989013671,0.0102519989013671,2118.296,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0063388501826803,0.0083446502685546,0.0055789947509765,0.0077486038208007,0.0090599060058593,0.0064849853515625,0.004685286319617,0.0058412551879882,0.0067847115652901,0.0107288360595703,0.0107288360595703,0.0100612640380859,0.0105244772774832,0.0238418579101562,1.424,0.496,8.88,10.176,114.968,25.152,27.344,0.0095367431640625,0.0095367431640625,385.712,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006464583363699,0.0085830688476562,0.0072956085205078,0.0076889991760253,0.0080347061157226,0.0112533569335937,0.0041589444997359,0.0050067901611328,0.0067847115652901,0.0083446502685546,0.0083446502685546,0.0100612640380859,0.0105244772774832,0.0238418579101562,1.424,0.496,6.576,5.728,113.256,25.152,27.344,0.0090599060058593,0.0090599060058593,1725.392,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0061824403960129,0.0083446502685546,0.0064373016357421,0.007947285970052,0.0106096267700195,0.0083446502685546,0.0047914443477507,0.0057220458984375,0.0067847115652901,0.013589859008789,0.013589859008789,0.0100612640380859,0.0105244772774832,0.0238418579101562,1.392,0.496,6.448,7.008,123.64,25.152,27.344,0.0102519989013671,0.0102519989013671,221.864,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0064396622157332,0.0087976455688476,0.006723403930664,0.0060796737670898,0.0066757202148437,0.0080108642578125,0.0044354852640403,0.0052452087402343,0.0067847115652901,0.0095367431640625,0.0095367431640625,0.0100612640380859,0.0105244772774832,0.0238418579101562,1.424,0.496,6.096,5.728,116.288,25.152,27.344,0.0085830688476562,0.0085830688476562,812.872,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068038257200326,0.0090599060058593,0.0061988830566406,0.0066359837849934,0.00762939453125,0.0085830688476562,0.0041679562074351,0.0050067901611328,0.0067847115652901,0.0081062316894531,0.0081062316894531,0.0100612640380859,0.0105244772774832,0.0238418579101562,1.424,0.496,9.856,10.176,117.192,25.152,27.344,0.0081062316894531,0.0081062316894531,4448.952,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062297232708527,0.0083446502685546,0.0058650970458984,0.0081062316894531,0.009012222290039,0.007486343383789,0.0048637390136718,0.005650520324707,0.0067847115652901,0.0154972076416015,0.0154972076416015,0.0100612640380859,0.0105244772774832,0.0238418579101562,1.424,0.496,6.448,6.224,116.632,25.152,27.344,0.0085830688476562,0.0085830688476562,52.336,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062799453735351,0.0083684921264648,0.0064969062805175,0.0073432922363281,0.0086784362792968,0.0081777572631835,0.0051259994506835,0.0054121017456054,0.0067847115652901,0.026702880859375,0.026702880859375,0.0100612640380859,0.0105244772774832,0.0238418579101562,1.424,0.496,5.6,6.512,112.0,25.152,27.344,0.00762939453125,0.00762939453125,6.384,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068031915343633,0.0090599060058593,0.0070095062255859,0.0068545341491699,0.0082015991210937,0.0104427337646484,0.0038665770079847,0.0045299530029296,0.0067847115652901,0.013589859008789,0.013589859008789,0.0100612640380859,0.0105244772774832,0.0238418579101562,1.424,0.496,6.096,5.728,120.688,25.152,27.344,0.009775161743164,0.009775161743164,31113.664,0
