time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061352276107639,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0057765415736607,0.0040951100262728,0.0107288360595703,0.0107288360595703,0.0050067901611328,0.0078678131103515,0.0089406967163085,0.0103712081909179,0.0096116747174944,0.0202178955078125,0.496,1.36,1.696,1.696,27.344,25.152,143.152,0.0090599060058593,0.0098228454589843,1906.176,0
1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061352276107639,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0071048736572265,0.0040951100262728,0.0073909759521484,0.0073909759521484,0.0050067901611328,0.0095844268798828,0.0089406967163085,0.0103712081909179,0.0130653381347656,0.024271011352539,0.496,1.36,1.696,1.696,3.504,4.52,143.152,0.0090599060058593,0.0098228454589843,1906.176,0
2,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069153308868408,0.0092983245849609,0.0081062316894531,0.0081062316894531,0.0059127807617187,0.0038671711264135,0.0102519989013671,0.0102519989013671,0.0045299530029296,0.0077247619628906,0.0089406967163085,0.0103712081909179,0.012063980102539,0.0226020812988281,0.496,1.424,1.696,1.696,4.232,3.744,116.632,0.0090599060058593,0.0098228454589843,12335.592,0
3,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075760172374212,0.0102519989013671,0.0078678131103515,0.0078678131103515,0.0064373016357421,0.0038680100421767,0.0152587890625,0.0152587890625,0.0045299530029296,0.0084877014160156,0.0089406967163085,0.0103712081909179,0.0113964080810546,0.0222206115722656,0.496,1.424,1.696,1.696,4.232,3.744,117.192,0.0090599060058593,0.0098228454589843,28141.104,0
4,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073732716022151,0.009775161743164,0.0088214874267578,0.0088214874267578,0.006103515625,0.0038583699121379,0.011444091796875,0.011444091796875,0.0045299530029296,0.0081777572631835,0.0089406967163085,0.0103712081909179,0.0107288360595703,0.0264644622802734,0.496,1.424,1.696,1.696,7.736,8.264,118.448,0.0090599060058593,0.0098228454589843,34782.216,0
5,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072398988327177,0.0095367431640625,0.0138282775878906,0.0138282775878906,0.0064969062805175,0.0038696864438453,0.0131130218505859,0.0131130218505859,0.0045299530029296,0.0078439712524414,0.0089406967163085,0.0103712081909179,0.01068909962972,0.0191926956176757,0.496,1.424,1.696,1.696,3.704,4.272,118.448,0.0090599060058593,0.0098228454589843,47977.392,0
6,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074830385718015,0.009775161743164,0.011444091796875,0.011444091796875,0.0060081481933593,0.0038769571997689,0.0107288360595703,0.0107288360595703,0.0045299530029296,0.00762939453125,0.0089406967163085,0.0103712081909179,0.0104904174804687,0.0191211700439453,0.496,1.424,1.696,1.696,4.232,3.744,118.448,0.0090599060058593,0.0098228454589843,46397.208,0
7,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075855065341019,0.0100135803222656,0.0159740447998046,0.0159740447998046,0.0063657760620117,0.003907263791322,0.0119209289550781,0.0119209289550781,0.0047683715820312,0.0085830688476562,0.0089406967163085,0.0103712081909179,0.0107049942016601,0.0258207321166992,0.496,1.424,1.696,1.696,7.736,8.264,117.192,0.0090599060058593,0.0098228454589843,7891.84,0
8,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007241519529428,0.009775161743164,0.0085830688476562,0.0085830688476562,0.006723403930664,0.0,0.0152587890625,0.0152587890625,0.0,0.0096797943115234,0.0089406967163085,0.0103712081909179,0.0121593475341796,0.0233650207519531,0.496,1.424,1.696,1.696,4.232,3.744,117.192,0.0090599060058593,0.0098228454589843,0.0,0
9,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070019147882414,0.0095367431640625,0.009775161743164,0.009775161743164,0.0058650970458984,0.0038577879790458,0.0123977661132812,0.0123977661132812,0.004434585571289,0.0075340270996093,0.0089406967163085,0.0103712081909179,0.0113964080810546,0.0218391418457031,0.496,1.424,1.696,1.696,4.232,3.744,117.192,0.0090599060058593,0.0098228454589843,32775.752,0
