time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070044137899158,0.009775161743164,0.0066757202148437,0.0066757202148437,0.0065803527832031,0.0171661376953125,0.0171661376953125,0.003851212593199,0.0045299530029296,0.0089645385742187,0.0129938125610351,0.0167131423950195,0.0112533569335937,0.0201702117919921,0.496,1.36,1.696,1.696,3.504,4.52,143.152,0.0143051147460937,0.0177383422851562,31006.32,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074348639492964,0.0100135803222656,0.0104904174804687,0.0104904174804687,0.0065803527832031,0.0107288360595703,0.0107288360595703,0.0038643272555604,0.0045299530029296,0.0089645385742187,0.0129938125610351,0.0167131423950195,0.0112533569335937,0.0201702117919921,0.496,1.424,1.696,1.696,3.504,4.52,117.192,0.0143051147460937,0.0177383422851562,40988.664,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077112397151206,0.0100135803222656,0.0088214874267578,0.0088214874267578,0.0066757202148437,0.0107288360595703,0.0107288360595703,0.0038475515809929,0.0045299530029296,0.009012222290039,0.0129938125610351,0.0167131423950195,0.0113487243652343,0.0210285186767578,0.496,1.424,1.696,1.696,4.232,3.744,117.192,0.0143051147460937,0.0177383422851562,38997.16,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072564228926554,0.0097513198852539,0.011444091796875,0.011444091796875,0.0066280364990234,0.0121593475341796,0.0121593475341796,0.0039416474181336,0.0047683715820312,0.0093460083007812,0.0129938125610351,0.0167131423950195,0.0104904174804687,0.0248193740844726,0.496,1.424,1.696,1.696,7.736,8.264,118.448,0.0143051147460937,0.0177383422851562,2593.448,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066367706449905,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0083446502685546,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0129938125610351,0.0167131423950195,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,118.448,0.0143051147460937,0.0177383422851562,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060636605789412,0.0083446502685546,0.0119209289550781,0.0119209289550781,0.0062465667724609,0.0083446502685546,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0129938125610351,0.0167131423950195,0.0105857849121093,0.0203609466552734,0.496,1.424,1.696,1.696,4.232,3.744,113.256,0.0143051147460937,0.0177383422851562,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006197702766645,0.0085830688476562,0.00762939453125,0.00762939453125,0.0063896179199218,0.0150203704833984,0.0150203704833984,0.0071525573730468,0.0083446502685546,0.0085353851318359,0.0129938125610351,0.0167131423950195,0.0111579895019531,0.0219345092773437,0.496,1.36,1.696,1.696,4.232,3.744,122.384,0.0143051147460937,0.0177383422851562,20.136,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060856342315673,0.0081300735473632,0.0083446502685546,0.0083446502685546,0.0061670939127604,0.0081062316894531,0.0081062316894531,0.0050067901611328,0.005197525024414,0.008249282836914,0.0129938125610351,0.0167131423950195,0.0104904174804687,0.0243663787841796,0.496,1.36,1.696,1.696,11.968,12.008,112.0,0.0143051147460937,0.0177383422851562,6.448,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005875825881958,0.0078916549682617,0.009775161743164,0.009775161743164,0.0066757202148437,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0093460083007812,0.0129938125610351,0.0167131423950195,0.0110149383544921,0.0207901000976562,0.496,1.424,1.696,1.696,4.232,3.744,112.0,0.0143051147460937,0.0177383422851562,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059223175048828,0.0078678131103515,0.0092983245849609,0.0092983245849609,0.0057697296142578,0.009775161743164,0.009775161743164,0.0,0.0,0.0078916549682617,0.0129938125610351,0.0167131423950195,0.0106334686279296,0.0256299972534179,0.496,1.36,1.696,1.696,7.736,8.264,112.0,0.0143051147460937,0.0177383422851562,0.0,0
