time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063310755361424,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.007033348083496,0.0078916549682617,0.0073909759521484,0.0073909759521484,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.36,0.848,0.848,119.152,25.152,27.344,0.0095367431640625,0.0095367431640625,6.576,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063872918850038,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0054306454128689,0.007486343383789,0.0107288360595703,0.0107288360595703,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,130.984,25.152,27.344,0.0095367431640625,0.0095367431640625,54.896,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061953421866539,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0049816934685958,0.0057697296142578,0.011444091796875,0.011444091796875,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,116.352,25.152,27.344,0.0095367431640625,0.0095367431640625,45.72,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006095017537032,0.0081062316894531,0.0112056732177734,0.0112056732177734,0.0046399923471304,0.0050067901611328,0.0092983245849609,0.0092983245849609,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,116.48,25.152,27.344,0.0095367431640625,0.0095367431640625,32.84,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061906210266717,0.0083208084106445,0.0069141387939453,0.0069141387939453,0.00502382005964,0.0059843063354492,0.0090599060058593,0.0090599060058593,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,116.48,25.152,27.344,0.0095367431640625,0.0095367431640625,32.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062000692187257,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0064373016357421,0.0087499618530273,0.0081062316894531,0.0081062316894531,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,117.192,25.152,27.344,0.0095367431640625,0.0095367431640625,12.704,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061502504111522,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0056028366088867,0.007033348083496,0.0131130218505859,0.0131130218505859,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,115.608,25.152,27.344,0.0095367431640625,0.0095367431640625,13.776,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060844421386718,0.0083446502685546,0.00762939453125,0.00762939453125,0.0052452087402343,0.0058174133300781,0.0081062316894531,0.0081062316894531,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,112.0,25.152,27.344,0.0095367431640625,0.0095367431640625,4.784,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062779624863426,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0061307634626116,0.0073432922363281,0.0128746032714843,0.0128746032714843,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.392,0.848,0.848,118.992,25.152,27.344,0.0095367431640625,0.0095367431640625,25.4,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061410488468585,0.0083208084106445,0.00762939453125,0.00762939453125,0.0046094258626302,0.0051498413085937,0.0069141387939453,0.0069141387939453,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,117.136,25.152,27.344,0.0095367431640625,0.0095367431640625,27.624,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061115415969697,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0052981906467013,0.0064373016357421,0.0128746032714843,0.0128746032714843,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,117.136,25.152,27.344,0.0095367431640625,0.0095367431640625,31.08,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058778441778504,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0053246815999348,0.0064373016357421,0.0126361846923828,0.0126361846923828,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,117.136,25.152,27.344,0.0095367431640625,0.0095367431640625,37.736,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060956869552384,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0052303075790405,0.0065565109252929,0.0083446502685546,0.0083446502685546,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,115.88,25.152,27.344,0.0095367431640625,0.0095367431640625,64.768,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060784816741943,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0052452087402343,0.0054836273193359,0.0164508819580078,0.0164508819580078,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.424,0.848,0.848,112.0,25.152,27.344,0.0095367431640625,0.0095367431640625,13.6,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061063624140041,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0061988830566406,0.0104904174804687,0.0104904174804687,0.0061239515032087,0.0100135803222656,0.0100135803222656,0.008249282836914,0.0095435551234654,0.0202655792236328,0.496,1.392,0.848,0.848,115.88,25.152,27.344,0.0095367431640625,0.0095367431640625,3.592,0
