time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065379929774015,0.0092983245849609,0.0085830688476562,0.0085830688476562,0.0039253303472944,0.0045299530029296,0.0107288360595703,0.006096703665597,0.0107288360595703,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.009427751813616,0.0203132629394531,0.496,1.36,0.848,0.848,143.152,25.152,27.344,0.0121593475341796,0.0121593475341796,3177.632,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062143802642822,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0039777185162927,0.0048637390136718,0.0109672546386718,0.006096703665597,0.0109672546386718,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.009427751813616,0.0203132629394531,0.496,1.424,0.848,0.848,112.0,25.152,27.344,0.0121593475341796,0.0121593475341796,1305.672,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059545040130615,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0100135803222656,0.006096703665597,0.0100135803222656,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.009427751813616,0.0203132629394531,0.496,1.392,0.848,0.848,112.0,25.152,27.344,0.0121593475341796,0.0121593475341796,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060506127960053,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0147819519042968,0.006096703665597,0.0147819519042968,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.009427751813616,0.0203132629394531,0.496,1.36,0.848,0.848,113.256,25.152,27.344,0.0121593475341796,0.0121593475341796,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059877462054959,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0042915344238281,0.0042915344238281,0.0104904174804687,0.006096703665597,0.0104904174804687,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.009427751813616,0.0203132629394531,0.496,1.36,0.848,0.848,113.256,25.152,27.344,0.0121593475341796,0.0121593475341796,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061632981940881,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0083446502685546,0.006096703665597,0.0083446502685546,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.009427751813616,0.0203132629394531,0.496,1.36,0.848,0.848,113.256,25.152,27.344,0.0121593475341796,0.0121593475341796,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060856342315673,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0128746032714843,0.006096703665597,0.0128746032714843,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.009427751813616,0.0203132629394531,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0121593475341796,0.0121593475341796,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058786192936683,0.0078678131103515,0.00762939453125,0.00762939453125,0.0085830688476562,0.0085830688476562,0.0116825103759765,0.006096703665597,0.0116825103759765,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.009427751813616,0.0203132629394531,0.496,1.36,0.848,0.848,117.192,25.152,27.344,0.0121593475341796,0.0121593475341796,4.968,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058472156524658,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0088214874267578,0.006096703665597,0.0088214874267578,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.009427751813616,0.0203132629394531,0.496,1.424,0.848,0.848,112.0,25.152,27.344,0.0121593475341796,0.0121593475341796,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062954425811767,0.0088214874267578,0.0090599060058593,0.0090599060058593,0.0,0.0,0.009775161743164,0.006096703665597,0.009775161743164,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.009427751813616,0.0203132629394531,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0121593475341796,0.0121593475341796,0.0,0
