time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065171602860237,0.0088214874267578,0.0102519989013671,0.0102519989013671,0.0078678131103515,0.0123977661132812,0.0123977661132812,0.0089406967163085,0.009775161743164,0.0062193189348493,0.0124692916870117,0.0083446502685546,0.0096048627580915,0.0199317932128906,0.496,1.36,1.696,1.696,27.344,25.152,0.0,134.416,0.0039955031289539,0.0047683715820312,4069.912,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065171602860237,0.0088214874267578,0.0095367431640625,0.0095367431640625,0.0078678131103515,0.0152587890625,0.0152587890625,0.0089406967163085,0.009775161743164,0.0,0.0124692916870117,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,0.0,134.416,0.0039955031289539,0.0047683715820312,4069.912,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063210577514041,0.0085830688476562,0.009775161743164,0.009775161743164,0.0078678131103515,0.0112056732177734,0.0112056732177734,0.0089406967163085,0.009775161743164,0.0,0.0124692916870117,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,0.0,114.84,0.0043813284341391,0.0052452087402343,472.472,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063400363447654,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0078678131103515,0.0116825103759765,0.0116825103759765,0.0089406967163085,0.009775161743164,0.0064373016357421,0.0124692916870117,0.0086307525634765,0.0124931335449218,0.0240802764892578,0.496,1.424,1.696,1.696,3.504,4.52,0.0,117.192,0.0040967865745619,0.0050067901611328,2028.992,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062272100165338,0.0085830688476562,0.0102519989013671,0.0102519989013671,0.0078678131103515,0.013589859008789,0.013589859008789,0.0089406967163085,0.009775161743164,0.0063419342041015,0.0124692916870117,0.0087738037109375,0.0112295150756835,0.0250577926635742,0.496,1.424,1.696,1.696,7.736,8.264,0.0,116.016,0.0053909089830186,0.0065088272094726,49.12,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006152851746814,0.0083208084106445,0.0109672546386718,0.0109672546386718,0.0078678131103515,0.0112056732177734,0.0112056732177734,0.0089406967163085,0.009775161743164,0.0,0.0124692916870117,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,0.0,118.448,0.0054836273193359,0.0064373016357421,35.648,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061504911668229,0.008559226989746,0.0109672546386718,0.0109672546386718,0.0078678131103515,0.00762939453125,0.00762939453125,0.0089406967163085,0.009775161743164,0.0,0.0124692916870117,0.0,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,0.0,116.368,0.0040806256807767,0.0050067901611328,1075.36,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065915027068028,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0078678131103515,0.009775161743164,0.009775161743164,0.0089406967163085,0.009775161743164,0.0057220458984375,0.0124692916870117,0.0073909759521484,0.0101089477539062,0.0192642211914062,0.496,1.424,1.696,1.696,4.232,3.744,0.0,117.192,0.0040309182528791,0.0050067901611328,3060.512,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059258937835693,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0089406967163085,0.009775161743164,0.0058650970458984,0.0124692916870117,0.0083446502685546,0.0117301940917968,0.0291109085083007,0.496,1.424,1.696,1.696,8.464,7.488,0.0,112.0,0.0047087669372558,0.0063896179199218,44.016,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062307508865205,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0078678131103515,0.0104904174804687,0.0104904174804687,0.0089406967163085,0.009775161743164,0.0061988830566406,0.0124692916870117,0.0084877014160156,0.0107606252034505,0.026702880859375,0.496,1.392,1.696,1.696,11.968,12.008,0.0,118.32,0.0042088177739357,0.0052928924560546,479.624,0
