time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_packet_loss_dl_percentage,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065854452188732,0.0089406967163085,0.0071525573730468,0.0071525573730468,0.0092983245849609,0.0092983245849609,0.0076770782470703,0.0106096267700195,0.0101327896118164,0.0108957290649414,0.0106096267700195,0.0095367431640625,0.0123023986816406,0.0229358673095703,0.496,1.36,1.696,0.0,1.696,3.504,4.52,143.152,0.0040711778582948,0.0047683715820312,3102.352,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064883066054007,0.0090599060058593,0.009775161743164,0.009775161743164,0.0133514404296875,0.0133514404296875,0.0076770782470703,0.0106096267700195,0.0101327896118164,0.0108957290649414,0.0106096267700195,0.0095367431640625,0.0123023986816406,0.0229358673095703,0.496,1.424,1.696,0.0,1.696,3.504,4.52,117.192,0.0040132832007604,0.0047683715820312,3995.992,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062214201362571,0.0083446502685546,0.0162124633789062,0.0162124633789062,0.0143051147460937,0.0143051147460937,0.0076770782470703,0.0106096267700195,0.0101327896118164,0.0108957290649414,0.0106096267700195,0.0095367431640625,0.0123023986816406,0.0229358673095703,0.496,1.424,1.696,0.0,1.696,3.504,4.52,117.192,0.0044788633074079,0.0061750411987304,374.448,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061170378727699,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0066757202148437,0.0066757202148437,0.0063180923461914,0.0106096267700195,0.0101327896118164,0.0108957290649414,0.0106096267700195,0.0088453292846679,0.0110626220703125,0.025486946105957,0.496,1.424,1.696,0.0,1.696,7.736,8.264,113.256,0.0061988830566406,0.0061988830566406,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058631991865623,0.00762939453125,0.0123977661132812,0.0123977661132812,0.0128746032714843,0.0128746032714843,0.0,0.0106096267700195,0.0101327896118164,0.0108957290649414,0.0106096267700195,0.0,0.0,0.0,0.496,1.392,1.696,0.0,1.696,0.0,0.0,113.256,0.0047683715820312,0.0047683715820312,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0052452087402343,0.0052452087402343,0.0,0.0106096267700195,0.0101327896118164,0.0108957290649414,0.0106096267700195,0.0,0.0,0.0,0.496,1.36,1.696,0.0,1.696,0.0,0.0,113.256,0.0071525573730468,0.0071525573730468,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006117820739746,0.0081300735473632,0.0064373016357421,0.0064373016357421,0.0121593475341796,0.0121593475341796,0.0061988830566406,0.0106096267700195,0.0101327896118164,0.0108957290649414,0.0106096267700195,0.0079154968261718,0.0112533569335937,0.0217914581298828,0.496,1.36,1.696,0.0,1.696,4.232,3.744,112.0,0.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060737133026123,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.011444091796875,0.011444091796875,0.007033348083496,0.0106096267700195,0.0101327896118164,0.0108957290649414,0.0106096267700195,0.0107288360595703,0.0114202499389648,0.0247478485107421,0.496,1.36,1.696,0.0,1.696,8.464,7.488,112.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058722496032714,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0047683715820312,0.0047683715820312,0.0064032418387276,0.0106096267700195,0.0101327896118164,0.0108957290649414,0.0106096267700195,0.0085830688476562,0.0103712081909179,0.0246763229370117,0.496,1.36,1.696,0.0,1.696,11.44,12.536,112.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060546398162841,0.0081300735473632,0.0064373016357421,0.0064373016357421,0.0112056732177734,0.0112056732177734,0.0062227249145507,0.0106096267700195,0.0101327896118164,0.0108957290649414,0.0106096267700195,0.0092029571533203,0.0109195709228515,0.0278949737548828,0.496,1.36,1.696,0.0,1.696,7.736,8.264,112.0,0.0,0.0,0.0,0
