time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062747974300858,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0052452087402343,0.0052452087402343,0.0092983245849609,0.0064373016357421,0.0064373016357421,0.0092983245849609,0.0064849853515625,0.0080108642578125,0.0115871429443359,0.0222206115722656,0.496,1.36,0.848,0.848,0.0,4.232,3.744,117.192,0.0083446502685546,0.0083446502685546,6.072,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006143058218607,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0052452087402343,0.0052452087402343,0.0092983245849609,0.0104904174804687,0.0104904174804687,0.0092983245849609,0.0063419342041015,0.008559226989746,0.0107049942016601,0.0279903411865234,0.496,1.36,0.848,0.848,0.0,8.464,7.488,133.64,0.0057750278049045,0.0074386596679687,46.712,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060784816741943,0.0079154968261718,0.0064373016357421,0.0064373016357421,0.0052452087402343,0.0052452087402343,0.0092983245849609,0.0061988830566406,0.0061988830566406,0.0092983245849609,0.0059127807617187,0.0080108642578125,0.01068115234375,0.0266075134277343,0.496,1.36,0.848,0.848,0.0,11.968,12.008,112.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059972355021766,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0052452087402343,0.0052452087402343,0.0092983245849609,0.0083446502685546,0.0083446502685546,0.0092983245849609,0.0058889389038085,0.0081062316894531,0.0102758407592773,0.0240087509155273,0.496,1.36,0.848,0.848,0.0,7.736,8.264,113.256,0.0047683715820312,0.0047683715820312,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061692290045135,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0052452087402343,0.0052452087402343,0.0092983245849609,0.011444091796875,0.011444091796875,0.0092983245849609,0.0,0.0,0.0,0.0,0.496,1.36,0.848,0.848,0.0,0.0,0.0,113.256,0.0057220458984375,0.0057220458984375,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060672190651964,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0052452087402343,0.0052452087402343,0.0092983245849609,0.0102519989013671,0.0102519989013671,0.0092983245849609,0.0,0.0,0.0,0.0,0.496,1.36,0.848,0.848,0.0,0.0,0.0,113.256,0.0107288360595703,0.0107288360595703,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005965232849121,0.0078678131103515,0.0102519989013671,0.0102519989013671,0.0052452087402343,0.0052452087402343,0.0092983245849609,0.011444091796875,0.011444091796875,0.0092983245849609,0.0057220458984375,0.0072479248046875,0.0109672546386718,0.0215053558349609,0.496,1.36,0.848,0.848,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059975003733218,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0052452087402343,0.0052452087402343,0.0092983245849609,0.0121593475341796,0.0121593475341796,0.0092983245849609,0.0060081481933593,0.0081062316894531,0.01068115234375,0.0270605087280273,0.496,1.36,0.848,0.848,0.0,8.464,7.488,139.216,0.0071922938028971,0.010848045349121,30.16,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058889389038085,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0052452087402343,0.0052452087402343,0.0092983245849609,0.0159740447998046,0.0159740447998046,0.0092983245849609,0.0063896179199218,0.0085830688476562,0.011603037516276,0.028085708618164,0.496,1.36,0.848,0.848,0.0,11.968,12.008,112.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061023235321044,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0052452087402343,0.0052452087402343,0.0092983245849609,0.0107288360595703,0.0107288360595703,0.0092983245849609,0.0058650970458984,0.0077247619628906,0.010085105895996,0.0236272811889648,0.496,1.36,0.848,0.848,0.0,7.736,8.264,112.0,0.0,0.0,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059913046917512,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0057220458984375,0.011444091796875,0.011444091796875,0.0057220458984375,0.0,0.0,0.0,0.0,0.496,1.36,0.848,0.848,0.0,0.0,0.0,113.256,0.0090599060058593,0.0090599060058593,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061241548452804,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.00762939453125,0.00762939453125,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060126556092826,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0058174133300781,0.0073909759521484,0.0106334686279296,0.0205039978027343,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0066757202148437,0.0066757202148437,1.192,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059735774993896,0.0076532363891601,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0060796737670898,0.008392333984375,0.0108957290649414,0.0268936157226562,0.496,1.36,0.0,0.0,0.0,8.464,7.488,112.0,0.0,0.0,0.0,0
