time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063814767977086,0.0085830688476562,0.00762939453125,0.00762939453125,0.0042915344238281,0.0042915344238281,0.0088214874267578,0.0088214874267578,0.0066484723772321,0.0104904174804687,0.0104904174804687,0.0099658966064453,0.0097138541085379,0.021219253540039,0.496,1.36,0.848,0.848,0.0,128.672,25.152,27.344,0.005824225289481,0.0080585479736328,33.936,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063814767977086,0.0085830688476562,0.0104904174804687,0.0104904174804687,0.0042915344238281,0.0042915344238281,0.0121593475341796,0.0121593475341796,0.0066484723772321,0.0104904174804687,0.0104904174804687,0.0099658966064453,0.0097138541085379,0.021219253540039,0.496,1.36,0.848,0.848,0.0,128.672,25.152,27.344,0.005824225289481,0.0080585479736328,33.936,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062747974300858,0.0083446502685546,0.00762939453125,0.00762939453125,0.0042915344238281,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.0066484723772321,0.0104904174804687,0.0104904174804687,0.0099658966064453,0.0097138541085379,0.021219253540039,0.496,1.424,0.848,0.848,0.0,114.968,25.152,27.344,0.0054135042078354,0.0067710876464843,40.888,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061268853669119,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0090599060058593,0.0090599060058593,0.0066484723772321,0.0104904174804687,0.0104904174804687,0.0099658966064453,0.0097138541085379,0.021219253540039,0.496,1.424,0.848,0.848,0.0,116.48,25.152,27.344,0.0048436616596422,0.0053882598876953,54.168,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063074697362314,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0042915344238281,0.0042915344238281,0.0145435333251953,0.0145435333251953,0.0066484723772321,0.0104904174804687,0.0104904174804687,0.0099658966064453,0.0097138541085379,0.021219253540039,0.496,1.424,0.848,0.848,0.0,115.84,25.152,27.344,0.0051657358805338,0.0063419342041015,25.68,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062626187164004,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0042915344238281,0.0042915344238281,0.0095367431640625,0.0095367431640625,0.0066484723772321,0.0104904174804687,0.0104904174804687,0.0099658966064453,0.0097138541085379,0.021219253540039,0.496,1.424,0.848,0.848,0.0,115.648,25.152,27.344,0.0056425730387369,0.0070571899414062,33.528,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063388501826803,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0042915344238281,0.0042915344238281,0.0088214874267578,0.0088214874267578,0.0066484723772321,0.0104904174804687,0.0104904174804687,0.0099658966064453,0.0097138541085379,0.021219253540039,0.496,1.424,0.848,0.848,0.0,115.64,25.152,27.344,0.0052452087402343,0.0066280364990234,40.792,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063222439134891,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0042915344238281,0.0042915344238281,0.0116825103759765,0.0116825103759765,0.0066484723772321,0.0104904174804687,0.0104904174804687,0.0099658966064453,0.0097138541085379,0.021219253540039,0.496,1.424,0.848,0.848,0.0,114.808,25.152,27.344,0.0045994917551676,0.0050067901611328,62.192,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006204813867066,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0042915344238281,0.0042915344238281,0.0147819519042968,0.0147819519042968,0.0066484723772321,0.0104904174804687,0.0104904174804687,0.0099658966064453,0.0097138541085379,0.021219253540039,0.496,1.424,0.848,0.848,0.0,115.064,25.152,27.344,0.0049008263481987,0.005960464477539,47.824,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0078678131103515,0.00762939453125,0.00762939453125,0.0042915344238281,0.0042915344238281,0.0116825103759765,0.0116825103759765,0.0066484723772321,0.0104904174804687,0.0104904174804687,0.0099658966064453,0.0097138541085379,0.021219253540039,0.496,1.424,0.848,0.848,0.0,114.552,25.152,27.344,0.0051950153551603,0.005960464477539,48.392,0
