time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062507131825322,0.0082015991210937,0.0109672546386718,0.0109672546386718,0.0039127137925889,0.006375994001116,0.0073909759521484,0.0073909759521484,0.0045299530029296,0.011444091796875,0.0089645385742187,0.0129938125610351,0.012969970703125,0.0130891799926757,0.0090599060058593,0.0164508819580078,0.496,1.36,0.0,1.696,1.696,25.152,144.408,27.344,0.0,6868.08,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0071549179530379,0.009775161743164,0.0085830688476562,0.0085830688476562,0.0038835955881464,0.006375994001116,0.0107288360595703,0.0107288360595703,0.0045299530029296,0.011444091796875,0.0089645385742187,0.0129938125610351,0.012969970703125,0.0130891799926757,0.0090599060058593,0.0164508819580078,0.496,1.36,0.0,1.696,1.696,25.152,118.448,27.344,0.0,30267.52,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006152851746814,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0055858067103794,0.006375994001116,0.0092983245849609,0.0092983245849609,0.0073909759521484,0.011444091796875,0.0089645385742187,0.0129938125610351,0.012969970703125,0.0130891799926757,0.0090599060058593,0.0164508819580078,0.496,1.36,0.0,1.696,1.696,25.152,118.448,27.344,0.0,42.568,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006183385848999,0.0081300735473632,0.0061988830566406,0.0061988830566406,0.0039831797281901,0.006375994001116,0.0061988830566406,0.0061988830566406,0.0047683715820312,0.011444091796875,0.0089645385742187,0.0129938125610351,0.012969970703125,0.0130891799926757,0.0090599060058593,0.0164508819580078,0.496,1.36,0.0,1.696,1.696,25.152,112.0,27.344,0.0,819.144,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059974193572998,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.006375994001116,0.0095367431640625,0.0095367431640625,0.0,0.011444091796875,0.0089645385742187,0.0129938125610351,0.012969970703125,0.0130891799926757,0.0090599060058593,0.0164508819580078,0.496,1.36,0.0,1.696,1.696,25.152,112.0,27.344,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060973781170231,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0056955549452039,0.006375994001116,0.00762939453125,0.00762939453125,0.0077724456787109,0.011444091796875,0.0089645385742187,0.0129938125610351,0.012969970703125,0.0130891799926757,0.0090599060058593,0.0164508819580078,0.496,1.36,0.0,1.696,1.696,25.152,117.216,27.344,0.0,29.032,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062298774719238,0.0083684921264648,0.0073909759521484,0.0073909759521484,0.0,0.006375994001116,0.0119209289550781,0.0119209289550781,0.0,0.011444091796875,0.0089645385742187,0.0129938125610351,0.012969970703125,0.0130891799926757,0.0090599060058593,0.0164508819580078,0.496,1.36,0.0,1.696,1.696,25.152,112.0,27.344,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061170378727699,0.0081062316894531,0.009775161743164,0.009775161743164,0.0078678131103515,0.006375994001116,0.0073909759521484,0.0073909759521484,0.0078678131103515,0.011444091796875,0.0089645385742187,0.0129938125610351,0.012969970703125,0.0130891799926757,0.0090599060058593,0.0164508819580078,0.496,1.36,0.0,1.696,1.696,25.152,113.256,27.344,0.0,1.192,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060790806860473,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.00762939453125,0.006375994001116,0.00762939453125,0.00762939453125,0.00762939453125,0.011444091796875,0.0089645385742187,0.0129938125610351,0.012969970703125,0.0130891799926757,0.0090599060058593,0.0164508819580078,0.496,1.36,0.0,1.696,1.696,25.152,113.256,27.344,0.0,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062439572158737,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0047683715820312,0.006375994001116,0.0095367431640625,0.0095367431640625,0.0047683715820312,0.011444091796875,0.0089645385742187,0.0129938125610351,0.012969970703125,0.0130891799926757,0.0090599060058593,0.0164508819580078,0.496,1.36,0.0,1.696,1.696,25.152,113.256,27.344,0.0,1.192,0
