time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00666420240909,0.0092983245849609,0.0092983245849609,0.0092983245849609,0.0040802228666399,0.0077486038208007,0.0047683715820312,0.0077486038208007,0.0078439712524414,0.0064373016357421,0.0171661376953125,0.0171661376953125,0.0082254409790039,0.0085353851318359,0.0096661703927176,0.0191211700439453,0.496,1.36,0.0,1.696,1.696,25.152,27.344,135.672,0.0,4042.952,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065211022254264,0.0088214874267578,0.0066757202148437,0.0066757202148437,0.0047418806287977,0.0077486038208007,0.0054836273193359,0.0077486038208007,0.0078439712524414,0.0064373016357421,0.0119209289550781,0.0119209289550781,0.0082254409790039,0.0085353851318359,0.0096661703927176,0.0191211700439453,0.496,1.36,0.0,1.696,1.696,25.152,27.344,116.096,0.0,216.32,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006636576866036,0.0090599060058593,0.0090599060058593,0.0090599060058593,0.004080583422964,0.0077486038208007,0.0048637390136718,0.0077486038208007,0.0078439712524414,0.0064373016357421,0.0083446502685546,0.0083446502685546,0.0082254409790039,0.0085353851318359,0.0096661703927176,0.0191211700439453,0.496,1.36,0.0,1.696,1.696,25.152,27.344,117.192,0.0,2177.912,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063329193722549,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0048036928530092,0.0077486038208007,0.0060558319091796,0.0077486038208007,0.0078439712524414,0.0064373016357421,0.0088214874267578,0.0088214874267578,0.0082254409790039,0.0085353851318359,0.0096661703927176,0.0191211700439453,0.496,1.36,0.0,1.696,1.696,25.152,27.344,114.536,0.0,179.832,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060601020926859,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.005440278486772,0.0077486038208007,0.0064373016357421,0.0077486038208007,0.0078439712524414,0.0064373016357421,0.0133514404296875,0.0133514404296875,0.0082254409790039,0.0085353851318359,0.0096661703927176,0.0191211700439453,0.496,1.36,0.0,1.696,1.696,25.152,27.344,117.192,0.0,39.128,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061810906253643,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0040716337926179,0.0077486038208007,0.0050067901611328,0.0077486038208007,0.0078439712524414,0.0064373016357421,0.0107288360595703,0.0107288360595703,0.0082254409790039,0.0085353851318359,0.0096661703927176,0.0191211700439453,0.496,1.36,0.0,1.696,1.696,25.152,27.344,115.112,0.0,1074.168,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066839822448126,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.004067195682075,0.0077486038208007,0.0050067901611328,0.0077486038208007,0.0078439712524414,0.0,0.0069141387939453,0.0069141387939453,0.0082254409790039,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,118.448,0.0,2669.12,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062985206717875,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0041609718686058,0.0077486038208007,0.0052213668823242,0.0077486038208007,0.0078439712524414,0.0,0.0126361846923828,0.0126361846923828,0.0082254409790039,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,113.256,0.0,437.792,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061988830566406,0.0082969665527343,0.0071525573730468,0.0071525573730468,0.0043201446533203,0.0077486038208007,0.0060081481933593,0.0077486038208007,0.0078439712524414,0.0057697296142578,0.0123977661132812,0.0123977661132812,0.0082254409790039,0.0065326690673828,0.0133514404296875,0.0226974487304687,0.496,1.36,0.0,1.696,1.696,4.52,3.504,119.576,0.0,480.816,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063791796935731,0.0090599060058593,0.0095367431640625,0.0095367431640625,0.003937885965422,0.0077486038208007,0.0047683715820312,0.0077486038208007,0.0078439712524414,0.0,0.0138282775878906,0.0138282775878906,0.0082254409790039,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,117.192,0.0,7711.256,0
