time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060019285782523,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0045299530029296,0.005960464477539,0.005960464477539,0.0045299530029296,0.0126361846923828,0.0047683715820312,0.0126361846923828,0.0054359436035156,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.36,0.0,0.848,0.848,127.8,25.152,27.344,0.0,20.24,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060749526071076,0.0081062316894531,0.0102519989013671,0.0102519989013671,0.0045299530029296,0.005960464477539,0.005960464477539,0.0045299530029296,0.0073909759521484,0.0055789947509765,0.0073909759521484,0.0073432922363281,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.848,0.848,115.6,25.152,27.344,0.0,40.736,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065001682262515,0.0092983245849609,0.0073909759521484,0.0073909759521484,0.0045299530029296,0.005960464477539,0.005960464477539,0.0045299530029296,0.0102519989013671,0.0050783157348632,0.0102519989013671,0.0062465667724609,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.848,0.848,114.328,25.152,27.344,0.0,41.632,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062664942954903,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.005960464477539,0.005960464477539,0.0045299530029296,0.0109672546386718,0.0054836273193359,0.0109672546386718,0.0066280364990234,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.848,0.848,114.328,25.152,27.344,0.0,20.664,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061333179473876,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0045299530029296,0.005960464477539,0.005960464477539,0.0045299530029296,0.0109672546386718,0.0050862630208333,0.0109672546386718,0.0054836273193359,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.848,0.848,112.0,25.152,27.344,0.0,6.216,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059367412358374,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0045299530029296,0.005960464477539,0.005960464477539,0.0045299530029296,0.0100135803222656,0.0064373016357421,0.0100135803222656,0.0064373016357421,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.36,0.0,0.848,0.848,114.392,25.152,27.344,0.0,2.104,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062118662465917,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0102519989013671,0.0042915344238281,0.0042915344238281,0.0102519989013671,0.009775161743164,0.0062465667724609,0.009775161743164,0.0073909759521484,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.848,0.848,115.68,25.152,27.344,0.0,22.896,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063128072052753,0.0090599060058593,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0100135803222656,0.0051379203796386,0.0100135803222656,0.0056743621826171,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,119.448,25.152,27.344,0.0,57.216,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006392227476509,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0073909759521484,0.0064969062805175,0.0073909759521484,0.0074148178100585,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,113.256,25.152,27.344,0.0,8.752,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065376262853641,0.0090360641479492,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.0121593475341796,0.0042596333463427,0.0121593475341796,0.0052213668823242,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.392,0.0,0.0,0.0,121.44,25.152,27.344,0.0,1252.112,0
