time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063562628083628,0.0085353851318359,0.0119209289550781,0.0119209289550781,0.0078678131103515,0.0052085289588341,0.0078678131103515,0.0061638215008903,0.0082969665527343,0.0085115432739257,0.0144243240356445,0.0093684476964613,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0182867050170898,0.496,1.36,0.0,1.696,1.696,24.624,26.816,123.64,0.0,138.072,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063128587676257,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0088214874267578,0.0045174046566611,0.0088214874267578,0.0061638215008903,0.0057697296142578,0.0085115432739257,0.0144243240356445,0.0093684476964613,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0182867050170898,0.496,1.424,0.0,1.696,1.696,24.624,26.816,131.288,0.0,180.184,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062724251059157,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0066757202148437,0.0078678131103515,0.0066757202148437,0.0061638215008903,0.0078678131103515,0.0085115432739257,0.0144243240356445,0.0093684476964613,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0182867050170898,0.496,1.36,0.0,1.696,1.696,24.624,26.816,113.256,0.0,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060725212097167,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0073909759521484,0.0,0.0073909759521484,0.0061638215008903,0.0,0.0085115432739257,0.0144243240356445,0.0093684476964613,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0182867050170898,0.496,1.36,0.0,1.696,1.696,24.624,26.816,112.0,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006183385848999,0.0086069107055664,0.0073909759521484,0.0073909759521484,0.0104904174804687,0.0,0.0104904174804687,0.0119209289550781,0.0,0.0119209289550781,0.0144243240356445,0.013589859008789,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.013589859008789,0.496,1.36,0.0,1.696,1.696,0.528,0.528,112.0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062358379364013,0.0083446502685546,0.011444091796875,0.011444091796875,0.0061988830566406,0.0065565109252929,0.0061988830566406,0.0,0.0083684921264648,0.0,0.0144243240356445,0.0,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,112.0,0.0,18.224,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062547078946741,0.008249282836914,0.0092983245849609,0.0092983245849609,0.0083446502685546,0.0043287873268127,0.0083446502685546,0.0,0.0055789947509765,0.0,0.0144243240356445,0.0,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0,0.496,1.424,0.0,1.696,1.696,0.0,0.0,136.968,0.0,675.088,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0077025725109742,0.0100135803222656,0.0090599060058593,0.0090599060058593,0.0138282775878906,0.0039027858023859,0.0138282775878906,0.0,0.0045299530029296,0.0,0.0144243240356445,0.0,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0,0.496,1.424,0.0,1.696,1.696,0.0,0.0,123.08,0.0,23501.784,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062581911608947,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0102519989013671,0.0057220458984375,0.0102519989013671,0.0071525573730468,0.0057220458984375,0.0097274780273437,0.0144243240356445,0.0124454498291015,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0232219696044921,0.496,1.424,0.0,1.696,1.696,4.52,3.504,113.256,0.0,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062498880262991,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0109672546386718,0.0061988830566406,0.0109672546386718,0.0,0.0061988830566406,0.0,0.0144243240356445,0.0,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,113.256,0.0,1.192,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062224888565516,0.0085830688476562,0.013589859008789,0.013589859008789,0.0085830688476562,0.0040018669912748,0.0085830688476562,0.0,0.0047683715820312,0.0,0.0144243240356445,0.0,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0,0.496,1.424,0.0,1.696,1.696,0.0,0.0,122.384,0.0,3598.376,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061714649200439,0.0085830688476562,0.00762939453125,0.00762939453125,0.0069141387939453,0.0,0.0069141387939453,0.0,0.0,0.0,0.0144243240356445,0.0,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0,0.496,1.392,0.0,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0
