time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061194101969401,0.0081062316894531,0.0107288360595703,0.0062670026506696,0.0107288360595703,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0133514404296875,0.0133514404296875,0.0189781188964843,0,0.496,1.36,1.696,1.696,114.424,25.152,27.344,0.0,2.136,0.0090599060058593,0.0090599060058593,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062349365978706,0.0084877014160156,0.0052863153918036,0.0062670026506696,0.0065326690673828,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0162124633789062,0.0162124633789062,0.0189781188964843,0,0.496,1.36,1.696,1.696,124.12,25.152,27.344,0.0,82.472,0.0066757202148437,0.0066757202148437,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061764575467251,0.008559226989746,0.0050067901611328,0.0062670026506696,0.0062227249145507,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0090599060058593,0.0090599060058593,0.0189781188964843,0,0.496,1.36,1.696,1.696,115.664,25.152,27.344,0.0,17.312,0.0078678131103515,0.0078678131103515,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062403987296185,0.0085830688476562,0.0050067901611328,0.0062670026506696,0.0050067901611328,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0092983245849609,0.0092983245849609,0.0189781188964843,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0.0078678131103515,0.0078678131103515,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059841877192407,0.0081062316894531,0.0069141387939453,0.0062670026506696,0.0069141387939453,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0116825103759765,0.0116825103759765,0.0189781188964843,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0.0066757202148437,0.0066757202148437,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.005953311920166,0.0078678131103515,0.0,0.0062670026506696,0.0,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.00762939453125,0.00762939453125,0.0189781188964843,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0.00762939453125,0.00762939453125,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059996078263467,0.0081062316894531,0.0081062316894531,0.0062670026506696,0.0081062316894531,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0073909759521484,0.0073909759521484,0.0189781188964843,0,0.496,1.36,1.696,1.696,114.888,25.152,27.344,0.0,2.6,0.0069141387939453,0.0069141387939453,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059711933135986,0.0081062316894531,0.0,0.0062670026506696,0.0,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0078678131103515,0.0078678131103515,0.0189781188964843,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0.0071525573730468,0.0071525573730468,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061726570129394,0.0081062316894531,0.0,0.0062670026506696,0.0,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.009775161743164,0.009775161743164,0.0189781188964843,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0.00762939453125,0.00762939453125,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060891160870542,0.0083446502685546,0.0069141387939453,0.0062670026506696,0.008249282836914,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0071525573730468,0.0071525573730468,0.0189781188964843,0,0.496,1.36,1.696,1.696,115.92,25.152,27.344,0.0,3.568,0.0078678131103515,0.0078678131103515,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0058802047578415,0.0078439712524414,0.0057220458984375,0.0062670026506696,0.0066757202148437,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0104904174804687,0.0104904174804687,0.0189781188964843,0,0.496,1.36,1.696,1.696,117.808,25.152,27.344,0.0,5.456,0.00762939453125,0.00762939453125,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0058964117249446,0.00762939453125,0.0050067901611328,0.0062670026506696,0.0050067901611328,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0092983245849609,0.0092983245849609,0.0189781188964843,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0.0069141387939453,0.0069141387939453,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062150862610455,0.0088214874267578,0.005960464477539,0.0062670026506696,0.0081777572631835,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0088214874267578,0.0088214874267578,0.0189781188964843,0,0.496,1.36,1.696,1.696,132.912,25.152,27.344,0.0,36.624,0.0071525573730468,0.0071525573730468,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060257033922185,0.0078678131103515,0.0054836273193359,0.0062670026506696,0.006866455078125,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0088214874267578,0.0088214874267578,0.0189781188964843,0,0.496,1.36,1.696,1.696,114.328,25.152,27.344,0.0,33.704,0.00762939453125,0.00762939453125,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0058996677398681,0.0081300735473632,0.0,0.0062670026506696,0.0,0.0094175338745117,0.0106096267700195,0.0119924545288085,0.0088214874267578,0.0092370169503348,0.0156641006469726,0.0138282775878906,0.0138282775878906,0.0189781188964843,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0.0064373016357421,0.0064373016357421,0
