time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059819221496582,0.0078678131103515,0.0065565109252929,0.0083684921264648,0.0064986092703683,0.0157356262207031,0.0165700912475585,0.0199317932128906,0.0087738037109375,0.0204801559448242,0.0097955976213727,0.0095367431640625,0.0095367431640625,0.0202178955078125,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,13.408,0.0092983245849609,0.0092983245849609,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006541973207055,0.0081062316894531,0.0048626300900481,0.0067710876464843,0.0064986092703683,0.0157356262207031,0.0165700912475585,0.0199317932128906,0.0087738037109375,0.0204801559448242,0.0097955976213727,0.013589859008789,0.013589859008789,0.0202178955078125,0,0.496,1.36,1.696,1.696,138.4,25.152,27.344,0.0,234.168,0.0073909759521484,0.0073909759521484,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068643199863718,0.0090599060058593,0.0041791138181925,0.0045299530029296,0.0064986092703683,0.0157356262207031,0.0165700912475585,0.0199317932128906,0.0087738037109375,0.0204801559448242,0.0097955976213727,0.0078678131103515,0.0078678131103515,0.0202178955078125,0,0.496,1.424,1.696,1.696,117.192,25.152,27.344,0.0,2810.456,0.0109672546386718,0.0109672546386718,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061443196007268,0.0078678131103515,0.0048117204145951,0.0061988830566406,0.0064986092703683,0.0157356262207031,0.0165700912475585,0.0199317932128906,0.0087738037109375,0.0204801559448242,0.0097955976213727,0.0092983245849609,0.0092983245849609,0.0202178955078125,0,0.496,1.424,1.696,1.696,115.16,25.152,27.344,0.0,70.504,0.0083446502685546,0.0083446502685546,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005960464477539,0.0081062316894531,0.0047683715820312,0.0047683715820312,0.0064986092703683,0.0157356262207031,0.0165700912475585,0.0199317932128906,0.0087738037109375,0.0204801559448242,0.0097955976213727,0.0073909759521484,0.0073909759521484,0.0202178955078125,0,0.496,1.424,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0.0081062316894531,0.0081062316894531,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060648467410263,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0064986092703683,0.0157356262207031,0.0165700912475585,0.0199317932128906,0.0087738037109375,0.0204801559448242,0.0097955976213727,0.0145435333251953,0.0145435333251953,0.0202178955078125,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0.0090599060058593,0.0090599060058593,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058400864694632,0.0078678131103515,0.0054041544596354,0.0077486038208007,0.0064986092703683,0.0157356262207031,0.0165700912475585,0.0199317932128906,0.0087738037109375,0.0204801559448242,0.0097955976213727,0.0112056732177734,0.0112056732177734,0.0202178955078125,0,0.496,1.36,1.696,1.696,126.032,25.152,27.344,0.0,25.776,0.0066757202148437,0.0066757202148437,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059199333190917,0.0078678131103515,0.0,0.0,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0112056732177734,0.0112056732177734,0.0202178955078125,0,0.496,1.424,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0073909759521484,0.0073909759521484,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059151649475097,0.0078678131103515,0.0,0.0,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0171661376953125,0.0171661376953125,0.0202178955078125,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0073909759521484,0.0073909759521484,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058519840240478,0.0078678131103515,0.0,0.0,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0119209289550781,0.0119209289550781,0.0202178955078125,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0069141387939453,0.0069141387939453,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059413909912109,0.0081062316894531,0.0,0.0,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0092983245849609,0.0092983245849609,0.0202178955078125,0,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0064373016357421,0.0064373016357421,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061507295505166,0.0083446502685546,0.0053644180297851,0.0080585479736328,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0126361846923828,0.0126361846923828,0.0202178955078125,0,0.496,1.36,0.0,0.0,123.64,25.152,27.344,0.0,70.496,0.0078678131103515,0.0078678131103515,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006286109366068,0.0083446502685546,0.0046383250843394,0.0055789947509765,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0092983245849609,0.0092983245849609,0.0202178955078125,0,0.496,1.424,0.0,0.0,132.136,25.152,27.344,0.0,323.68,0.0071525573730468,0.0071525573730468,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060324621672677,0.0078678131103515,0.0044788633074079,0.005340576171875,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0128746032714843,0.0128746032714843,0.0202178955078125,0,0.496,1.424,0.0,0.0,118.448,25.152,27.344,0.0,124.16,0.0071525573730468,0.0071525573730468,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060176849365234,0.0081062316894531,0.0,0.0,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0123977661132812,0.0123977661132812,0.0202178955078125,0,0.496,1.424,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0083446502685546,0.0083446502685546,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061190128326416,0.0078678131103515,0.0,0.0,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.009775161743164,0.009775161743164,0.0202178955078125,0,0.496,1.392,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0066757202148437,0.0066757202148437,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061413337444436,0.0080585479736328,0.006096703665597,0.0076770782470703,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0088214874267578,0.0088214874267578,0.0202178955078125,0,0.496,1.36,0.0,0.0,127.576,25.152,27.344,0.0,66.952,0.0073909759521484,0.0073909759521484,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061146655485997,0.0085830688476562,0.0040605664253234,0.0050067901611328,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0083446502685546,0.0083446502685546,0.0202178955078125,0,0.496,1.424,0.0,0.0,117.192,25.152,27.344,0.0,1379.424,0.00762939453125,0.00762939453125,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006321633216178,0.0085830688476562,0.003917463894548,0.0045299530029296,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0085830688476562,0.0085830688476562,0.0202178955078125,0,0.496,1.424,0.0,0.0,118.448,25.152,27.344,0.0,3230.448,0.0073909759521484,0.0073909759521484,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0073508460922996,0.009775161743164,0.0038615339352917,0.0045299530029296,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0092983245849609,0.0092983245849609,0.0202178955078125,0,0.496,1.424,0.0,0.0,118.448,25.152,27.344,0.0,32514.248,0.0078678131103515,0.0078678131103515,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0074917997293804,0.0100135803222656,0.0038625515511759,0.0045299530029296,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.019073486328125,0.019073486328125,0.0202178955078125,0,0.496,1.424,0.0,0.0,117.888,25.152,27.344,0.0,28313.824,0.0121593475341796,0.0121593475341796,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0074989167018909,0.009775161743164,0.0038723681719248,0.0045299530029296,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0162124633789062,0.0162124633789062,0.0202178955078125,0,0.496,1.424,0.0,0.0,117.192,25.152,27.344,0.0,47719.528,0.0126361846923828,0.0126361846923828,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0074929858914655,0.0100135803222656,0.0038585776842436,0.0042915344238281,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.0102519989013671,0.0102519989013671,0.0202178955078125,0,0.496,1.424,0.0,0.0,117.192,25.152,27.344,0.0,55533.528,0.0095367431640625,0.0095367431640625,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0074787519464445,0.0100135803222656,0.0039073905632341,0.0045299530029296,0.0064986092703683,0.0,0.0,0.0,0.0087738037109375,0.0,0.0097955976213727,0.013589859008789,0.013589859008789,0.0202178955078125,0,0.496,1.424,0.0,0.0,117.192,25.152,27.344,0.0,18077.72,0.0104904174804687,0.0104904174804687,0
