time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064384590074853,0.0090599060058593,0.0047683715820312,0.0047683715820312,0.0043085643223353,0.0052452087402343,0.0064986092703683,0.0207424163818359,0.0207424163818359,0.009012222290039,0.0095367431640625,0.0085830688476562,0.0085830688476562,0.0202655792236328,0.0,0.496,0.848,1.36,0.848,143.152,25.152,27.344,0.0,1440.288,0.0150203704833984,0.0150203704833984,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0067245960235595,0.0088453292846679,0.0047683715820312,0.0047683715820312,0.0041718916459517,0.0052452087402343,0.0064986092703683,0.0207424163818359,0.0207424163818359,0.009012222290039,0.0095367431640625,0.0133514404296875,0.0133514404296875,0.0202655792236328,0.0,0.496,0.848,1.424,0.848,112.0,25.152,27.344,0.0,2822.616,0.0092983245849609,0.0092983245849609,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061416625976562,0.0085830688476562,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0064986092703683,0.0207424163818359,0.0207424163818359,0.009012222290039,0.0095367431640625,0.0078678131103515,0.0078678131103515,0.0202655792236328,0.0,0.496,0.848,1.392,0.848,112.0,25.152,27.344,0.0,0.0,0.0057220458984375,0.0057220458984375,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063139407788936,0.0085830688476562,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0064986092703683,0.0,0.0,0.009012222290039,0.0095367431640625,0.0121593475341796,0.0121593475341796,0.0202655792236328,0.0,0.496,0.0,1.36,0.0,113.256,25.152,27.344,0.0,1.192,0.00762939453125,0.00762939453125,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062985206717875,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0083446502685546,0.0083446502685546,0.0064986092703683,0.0042915344238281,0.0042915344238281,0.009012222290039,0.0095367431640625,0.0100135803222656,0.0100135803222656,0.0202655792236328,0.0,0.496,0.848,1.36,0.848,113.256,25.152,27.344,0.0,1.192,0.0064373016357421,0.0064373016357421,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061094760894775,0.0083446502685546,0.0,0.0,0.0,0.0,0.0064986092703683,0.0,0.0,0.009012222290039,0.0095367431640625,0.0157356262207031,0.0157356262207031,0.0202655792236328,0.0,0.496,0.0,1.36,0.0,112.0,25.152,27.344,0.0,0.0,0.0073909759521484,0.0073909759521484,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062567516438011,0.008702278137207,0.0,0.0,0.0039165218671162,0.0045299530029296,0.0064986092703683,0.0,0.0,0.009012222290039,0.0095367431640625,0.0109672546386718,0.0109672546386718,0.0202655792236328,0.0,0.496,0.0,1.424,0.0,139.216,25.152,27.344,0.0,3167.824,0.00762939453125,0.00762939453125,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059807300567626,0.00762939453125,0.0,0.0,0.0,0.0,0.0064986092703683,0.0,0.0,0.009012222290039,0.0095367431640625,0.009775161743164,0.009775161743164,0.0202655792236328,0.0,0.496,0.0,1.36,0.0,112.0,25.152,27.344,0.0,0.0,0.0081062316894531,0.0081062316894531,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062546326746394,0.0083446502685546,0.0,0.0,0.0053644180297851,0.0066041946411132,0.0064986092703683,0.0,0.0,0.009012222290039,0.0095367431640625,0.0073909759521484,0.0073909759521484,0.0202655792236328,0.0,0.496,0.0,1.36,0.0,117.192,25.152,27.344,0.0,17.408,0.0064373016357421,0.0064373016357421,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062552578930784,0.0083446502685546,0.0,0.0,0.0045941426203801,0.0065565109252929,0.0064986092703683,0.0,0.0,0.009012222290039,0.0095367431640625,0.0071525573730468,0.0071525573730468,0.0202655792236328,0.0,0.496,0.0,1.424,0.0,127.576,25.152,27.344,0.0,242.784,0.0066757202148437,0.0066757202148437,0
