time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061375423542504,0.0081062316894531,0.0077486038208007,0.0055111371553861,0.0105142593383789,0.0062601906912667,0.0078678131103515,0.0118017196655273,0.0122785568237304,0.0080108642578125,0.0091893332345145,0.0133514404296875,0.0133514404296875,0.0185012817382812,0,0.496,1.36,1.696,1.696,126.544,25.152,27.344,0.0,76.128,0.0078678131103515,0.0078678131103515,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062236691465472,0.0083446502685546,0.0077486038208007,0.0057021776835123,0.0105142593383789,0.0062601906912667,0.0080108642578125,0.0118017196655273,0.0122785568237304,0.0080108642578125,0.0091893332345145,0.0107288360595703,0.0107288360595703,0.0185012817382812,0,0.496,1.424,1.696,1.696,115.664,25.152,27.344,0.0,25.792,0.009775161743164,0.009775161743164,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005930810425412,0.00762939453125,0.0077486038208007,0.0045299530029296,0.0105142593383789,0.0062601906912667,0.0045299530029296,0.0118017196655273,0.0122785568237304,0.0080108642578125,0.0091893332345145,0.0085830688476562,0.0085830688476562,0.0185012817382812,0,0.496,1.424,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0.0078678131103515,0.0078678131103515,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061288994936207,0.0081062316894531,0.0077486038208007,0.0064373016357421,0.0105142593383789,0.0062601906912667,0.0064373016357421,0.0118017196655273,0.0122785568237304,0.0080108642578125,0.0091893332345145,0.0095367431640625,0.0095367431640625,0.0185012817382812,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,1.192,0.0102519989013671,0.0102519989013671,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061297416687011,0.0081300735473632,0.0077486038208007,0.0,0.0105142593383789,0.0062601906912667,0.0,0.0118017196655273,0.0122785568237304,0.0080108642578125,0.0091893332345145,0.0071525573730468,0.0071525573730468,0.0185012817382812,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0.0064373016357421,0.0064373016357421,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061011314392089,0.0083446502685546,0.0077486038208007,0.0,0.0105142593383789,0.0062601906912667,0.0,0.0118017196655273,0.0122785568237304,0.0080108642578125,0.0091893332345145,0.0081062316894531,0.0081062316894531,0.0185012817382812,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0.005960464477539,0.005960464477539,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061194101969401,0.0085830688476562,0.0077486038208007,0.0071525573730468,0.0105142593383789,0.0062601906912667,0.0071525573730468,0.0118017196655273,0.0122785568237304,0.0080108642578125,0.0091893332345145,0.0109672546386718,0.0109672546386718,0.0185012817382812,0,0.496,1.36,1.696,1.696,114.888,25.152,27.344,0.0,2.6,0.0071525573730468,0.0071525573730468,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063061714172363,0.0085830688476562,0.0077486038208007,0.0,0.0105142593383789,0.0062601906912667,0.0,0.0118017196655273,0.0122785568237304,0.0080108642578125,0.0091893332345145,0.0095367431640625,0.0095367431640625,0.0185012817382812,0,0.496,1.424,1.696,1.696,112.0,25.152,27.344,0.0,0.0,0.0078678131103515,0.0078678131103515,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063121908962136,0.0088214874267578,0.0,0.0078678131103515,0.0,0.0062601906912667,0.0080585479736328,0.0,0.0,0.0080108642578125,0.0091893332345145,0.009775161743164,0.009775161743164,0.0185012817382812,0,0.496,1.36,0.0,0.0,115.92,25.152,27.344,0.0,3.568,0.0073909759521484,0.0073909759521484,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060265607172899,0.0081062316894531,0.0,0.0067949295043945,0.0,0.0062601906912667,0.0068902969360351,0.0,0.0,0.0080108642578125,0.0091893332345145,0.0119209289550781,0.0119209289550781,0.0185012817382812,0,0.496,1.36,0.0,0.0,117.808,25.152,27.344,0.0,5.456,0.0064373016357421,0.0064373016357421,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006348339479361,0.0088214874267578,0.0,0.0047683715820312,0.0,0.0062601906912667,0.0047683715820312,0.0,0.0,0.0080108642578125,0.0091893332345145,0.0081062316894531,0.0081062316894531,0.0185012817382812,0,0.496,1.424,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0066757202148437,0.0066757202148437,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064164689443643,0.0083446502685546,0.0,0.0053346157073974,0.0,0.0062601906912667,0.0068902969360351,0.0,0.0,0.0080108642578125,0.0091893332345145,0.0107288360595703,0.0107288360595703,0.0185012817382812,0,0.496,1.36,0.0,0.0,132.912,25.152,27.344,0.0,36.624,0.0069141387939453,0.0069141387939453,0
