time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0069924598730704,0.0095367431640625,0.0116825103759765,0.0116825103759765,0.0164508819580078,0.0164508819580078,0.0039081826260851,0.0064373016357421,0.0045299530029296,0.0096797943115234,0.0095435551234654,0.0188827514648437,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,144.408,0.0,39600.04,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065329051253819,0.0090599060058593,0.0090599060058593,0.0090599060058593,0.0085830688476562,0.0085830688476562,0.0039726854806923,0.0064373016357421,0.0047683715820312,0.0096797943115234,0.0095435551234654,0.0188827514648437,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,118.448,0.0,3741.808,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060260295867919,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.009775161743164,0.009775161743164,0.0,0.0064373016357421,0.0,0.0096797943115234,0.0095435551234654,0.0188827514648437,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,112.0,0.0,0.0,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005960464477539,0.0078678131103515,0.00762939453125,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060558319091796,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061087347381743,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0102519989013671,0.0102519989013671,0.0090599060058593,0.0,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,116.552,0.0,4.264,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060233310680484,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.009775161743164,0.009775161743164,0.0100135803222656,0.0,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,113.256,0.0,1.192,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060672190651964,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0104904174804687,0.0104904174804687,0.0054836273193359,0.0,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,113.256,0.0,1.192,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059474166946031,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0090599060058593,0.0090599060058593,0.0081062316894531,0.0082969665527343,0.0081062316894531,0.0108718872070312,0.0125885009765625,0.0239372253417968,0.0,0.0,0.496,1.36,1.696,1.696,4.52,3.504,113.256,0.0,1.192,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061380863189697,0.0081300735473632,0.0071525573730468,0.0071525573730468,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060927867889404,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006115436553955,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059700012207031,0.0081539154052734,0.0081062316894531,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0,0.0064849853515625,0.0,0.008392333984375,0.0113487243652343,0.0210285186767578,0.0,0.0,0.496,1.36,1.696,1.696,3.744,4.232,112.0,0.0,0.0,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006163474356774,0.0087976455688476,0.0092983245849609,0.0092983245849609,0.0131130218505859,0.0131130218505859,0.0063776969909667,0.0062465667724609,0.0087499618530273,0.0079154968261718,0.0118255615234375,0.0214576721191406,0.0,0.0,0.496,1.36,1.696,1.696,3.744,4.232,118.448,0.0,26.192,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061122932244296,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.013589859008789,0.013589859008789,0.0063578287760416,0.005960464477539,0.0073432922363281,0.0083446502685546,0.0097036361694335,0.0233650207519531,0.0,0.0,0.496,1.36,1.696,1.696,8.264,7.736,115.472,0.0,5.784,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060399373372395,0.0078678131103515,0.0119209289550781,0.0119209289550781,0.0109672546386718,0.0109672546386718,0.0061194101969401,0.0,0.0066280364990234,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,120.88,0.0,5.848,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062370300292968,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061202049255371,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060367584228515,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0,0.0072956085205078,0.0,0.0096321105957031,0.01068115234375,0.0194072723388671,0.0,0.0,0.496,1.36,1.696,1.696,3.744,4.232,112.0,0.0,0.0,0.0165700912475585,0.0199079513549804,0.0159740447998046,0.0182628631591796,0
