time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_ul_kbps,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061205619775154,0.0084400177001953,0.0066757202148437,0.0066757202148437,0.0090599060058593,0.0090599060058593,0.0068306922912597,0.005048864028033,0.0070095062255859,0.0102519989013671,0.0103294849395751,0.0208616256713867,0.0234365463256835,0.0218629837036132,0.0,0.0,1.36,0.496,1.696,1.696,29.672,30.848,136.84,0.0,0.021219253540039,117.464,0.0223636627197265,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061835392866984,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0104904174804687,0.0104904174804687,0.0068306922912597,0.0048279762268066,0.0054836273193359,0.0102519989013671,0.0103294849395751,0.0208616256713867,0.0234365463256835,0.0218629837036132,0.0,0.0,1.36,0.496,1.696,1.696,29.672,30.848,118.448,0.0,0.021219253540039,68.768,0.0223636627197265,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.00597469842256,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0131130218505859,0.0131130218505859,0.0068306922912597,0.0058412551879882,0.0065088272094726,0.0102519989013671,0.0103294849395751,0.0208616256713867,0.0234365463256835,0.0218629837036132,0.0,0.0,1.36,0.496,1.696,1.696,29.672,30.848,115.992,0.0,0.021219253540039,6.128,0.0223636627197265,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059986114501953,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0208616256713867,0.0234365463256835,0.0,0.0,0.0,1.36,0.496,1.696,1.696,0.0,0.0,112.0,0.0,0.021219253540039,0.0,0.0223636627197265,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060117244720458,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0208616256713867,0.0234365463256835,0.0,0.0,0.0,1.36,0.496,1.696,1.696,0.0,0.0,112.0,0.0,0.021219253540039,0.0,0.0223636627197265,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061504911668229,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.005960464477539,0.005960464477539,0.0,0.006723403930664,0.0088214874267578,0.0,0.0,0.0208616256713867,0.0234365463256835,0.0,0.0,0.0,1.36,0.496,1.696,1.696,0.0,0.0,117.904,0.0,0.021219253540039,12.216,0.0223636627197265,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063222439134891,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0121593475341796,0.0121593475341796,0.0061988830566406,0.0038923001756855,0.0042915344238281,0.0077724456787109,0.0122547149658203,0.0208616256713867,0.0234365463256835,0.02288818359375,0.0,0.0,1.36,0.496,1.696,1.696,3.744,4.232,117.192,0.0,0.021219253540039,2874.424,0.0223636627197265,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061134793865146,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0112056732177734,0.0112056732177734,0.0064849853515625,0.0045299530029296,0.0045299530029296,0.0086307525634765,0.0104427337646484,0.0208616256713867,0.0234365463256835,0.0192165374755859,0.0,0.0,1.36,0.496,1.696,1.696,3.744,4.232,113.256,0.0,0.021219253540039,1.192,0.0223636627197265,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006050166517201,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0162124633789062,0.0162124633789062,0.0059843063354492,0.0057220458984375,0.006103515625,0.0081300735473632,0.0105619430541992,0.0208616256713867,0.0234365463256835,0.0244855880737304,0.0,0.0,1.36,0.496,1.696,1.696,8.264,7.736,116.544,0.0,0.021219253540039,4.192,0.0223636627197265,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005930810425412,0.0078678131103515,0.00762939453125,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0208616256713867,0.0234365463256835,0.0,0.0,0.0,1.36,0.496,1.696,1.696,0.0,0.0,113.256,0.0,0.021219253540039,1.192,0.0223636627197265,0
