time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006343554524542,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0044026158072731,0.0054836273193359,0.0102519989013671,0.0102519989013671,0.0065122331891741,0.0088691711425781,0.0092165810721261,0.0185012817382812,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,133.368,0.0,0.0123977661132812,664.768,0.0135421752929687,0.0137805938720703,0.013589859008789,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062366523364982,0.0083208084106445,0.0066757202148437,0.0066757202148437,0.0043937138148716,0.0052452087402343,0.0092983245849609,0.0092983245849609,0.0065122331891741,0.0088691711425781,0.0092165810721261,0.0185012817382812,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,118.448,0.0,0.0123977661132812,389.232,0.0135421752929687,0.0137805938720703,0.013589859008789,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064361154736571,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0046179844782902,0.0060081481933593,0.0088214874267578,0.0088214874267578,0.0065122331891741,0.0088691711425781,0.0092165810721261,0.0185012817382812,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,114.392,0.0,0.0123977661132812,478.504,0.0135421752929687,0.0137805938720703,0.013589859008789,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060873838206428,0.0081062316894531,0.00762939453125,0.00762939453125,0.0044958932059151,0.0054121017456054,0.011444091796875,0.011444091796875,0.0065122331891741,0.0088691711425781,0.0092165810721261,0.0185012817382812,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,117.192,0.0,0.0123977661132812,76.0,0.0135421752929687,0.0137805938720703,0.013589859008789,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060719637135368,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0055631001790364,0.0058650970458984,0.0138282775878906,0.0138282775878906,0.0065122331891741,0.0088691711425781,0.0092165810721261,0.0185012817382812,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,117.192,0.0,0.0123977661132812,27.816,0.0135421752929687,0.0137805938720703,0.013589859008789,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061822767874494,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0042739461679927,0.0054597854614257,0.0126361846923828,0.0126361846923828,0.0065122331891741,0.0088691711425781,0.0092165810721261,0.0185012817382812,0.0,0.0,0.496,1.36,1.696,1.696,25.152,27.344,117.192,0.0,0.0123977661132812,904.384,0.0135421752929687,0.0137805938720703,0.013589859008789,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060292618784738,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0054836273193359,0.0054836273193359,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,113.256,0.0,0.0123977661132812,1.192,0.0135421752929687,0.0137805938720703,0.013589859008789,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059982337573967,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0049538082546657,0.0069141387939453,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,118.448,0.0,0.0123977661132812,55.192,0.0135421752929687,0.0137805938720703,0.013589859008789,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058655715107324,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0083446502685546,0.00762939453125,0.00762939453125,0.0069618225097656,0.0099658966064453,0.0123977661132812,0.0229835510253906,0.0,0.0,0.496,1.36,1.696,1.696,4.52,3.504,113.256,0.0,0.0123977661132812,1.192,0.0135421752929687,0.0137805938720703,0.013589859008789,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064772338115523,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0046094258626302,0.0054836273193359,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,127.576,0.0,0.0123977661132812,269.776,0.0135421752929687,0.0137805938720703,0.013589859008789,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063121318817138,0.0086069107055664,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0123977661132812,0.0,0.0135421752929687,0.0137805938720703,0.013589859008789,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059699067975034,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0048417311448317,0.0059127807617187,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,122.384,0.0,0.0123977661132812,86.888,0.0135421752929687,0.0137805938720703,0.013589859008789,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063008929959577,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0045472925359552,0.0060081481933593,0.0083446502685546,0.0083446502685546,0.0067710876464843,0.0091552734375,0.0123023986816406,0.021219253540039,0.0,0.0,0.496,1.36,1.696,1.696,3.744,4.232,117.192,0.0,0.0123977661132812,427.016,0.0135421752929687,0.0137805938720703,0.013589859008789,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059497890187733,0.0083446502685546,0.00762939453125,0.00762939453125,0.0078678131103515,0.0078678131103515,0.0128746032714843,0.0128746032714843,0.0060081481933593,0.0076770782470703,0.0115871429443359,0.0205516815185546,0.0,0.0,0.496,1.36,1.696,1.696,3.744,4.232,113.256,0.0,0.0123977661132812,1.192,0.0135421752929687,0.0137805938720703,0.013589859008789,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065841111056323,0.009012222290039,0.0066757202148437,0.0066757202148437,0.0040319019738104,0.0047683715820312,0.011444091796875,0.011444091796875,0.0063180923461914,0.0090837478637695,0.0097990036010742,0.0219345092773437,0.0,0.0,0.496,1.36,1.696,1.696,8.264,7.736,123.64,0.0,0.0123977661132812,6652.088,0.0135421752929687,0.0137805938720703,0.013589859008789,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006593099915155,0.0090599060058593,0.0071525573730468,0.0071525573730468,0.0042120615641276,0.0050067901611328,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,118.448,0.0,0.0123977661132812,1561.216,0.0135421752929687,0.0137805938720703,0.013589859008789,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060367584228515,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0123977661132812,0.0,0.0135421752929687,0.0137805938720703,0.013589859008789,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0066816216648215,0.0092744827270507,0.0109672546386718,0.0109672546386718,0.0041190380324965,0.0047683715820312,0.0152587890625,0.0152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,122.384,0.0,0.0123977661132812,4059.856,0.0135421752929687,0.0137805938720703,0.013589859008789,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059711933135986,0.0081062316894531,0.0102519989013671,0.0102519989013671,0.0041814950796274,0.0049591064453125,0.0126361846923828,0.0126361846923828,0.006103515625,0.0077247619628906,0.0102043151855468,0.0185966491699218,0.0,0.0,0.496,1.36,1.696,1.696,3.744,4.232,112.0,0.0,0.0123977661132812,107.896,0.0135421752929687,0.0137805938720703,0.013589859008789,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062295705965249,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0041734604608444,0.0054836273193359,0.0104904174804687,0.0104904174804687,0.0063896179199218,0.0081062316894531,0.0107765197753906,0.0194549560546875,0.0,0.0,0.496,1.36,1.696,1.696,3.744,4.232,122.384,0.0,0.0123977661132812,1013.128,0.0135421752929687,0.0137805938720703,0.013589859008789,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061009189870097,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0043538900522085,0.0053882598876953,0.0126361846923828,0.0126361846923828,0.0063419342041015,0.0086307525634765,0.010991096496582,0.0239133834838867,0.0,0.0,0.496,1.36,1.696,1.696,8.264,7.736,118.448,0.0,0.0123977661132812,626.744,0.0135421752929687,0.0137805938720703,0.013589859008789,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064539079049333,0.0088214874267578,0.0066757202148437,0.0066757202148437,0.0042984955502252,0.0054836273193359,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.888,0.0,0.0,1337.464,0.0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065565109252929,0.0092744827270507,0.0081062316894531,0.0081062316894531,0.0041681053364171,0.0050067901611328,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.448,0.0,0.0,2149.76,0.0,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062368402433632,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0043234654835292,0.0054836273193359,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,0.0,1042.192,0.0,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062747974300858,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0041888310359074,0.0051498413085937,0.0143051147460937,0.0143051147460937,0.005960464477539,0.0075817108154296,0.0107288360595703,0.0200748443603515,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,117.192,0.0,0.0,648.488,0.0,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061099209002594,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0044618334089006,0.0058412551879882,0.0083446502685546,0.0083446502685546,0.0060081481933593,0.0078678131103515,0.0101566314697265,0.0185966491699218,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,117.192,0.0,0.0,568.272,0.0,0.0,0.0,0
