time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060826391723025,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0102519989013671,0.0102519989013671,0.0062056950160435,0.0083446502685546,0.0082254409790039,0.0100612640380859,0.008702278137207,0.0159740447998046,0.0159740447998046,0.008249282836914,0.009918212890625,0.0204086303710937,0.496,1.36,1.696,1.696,115.8,25.152,27.344,3.512,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060826391723025,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0081062316894531,0.0081062316894531,0.0062056950160435,0.0083446502685546,0.0082254409790039,0.0100612640380859,0.008702278137207,0.0066757202148437,0.0066757202148437,0.008249282836914,0.009918212890625,0.0204086303710937,0.496,1.36,1.696,1.696,115.8,25.152,27.344,3.512,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059144331677125,0.0078678131103515,0.0085830688476562,0.0089645385742187,0.0066757202148437,0.0066757202148437,0.0062056950160435,0.0083446502685546,0.0082254409790039,0.0100612640380859,0.008702278137207,0.0109672546386718,0.0109672546386718,0.008249282836914,0.009918212890625,0.0204086303710937,0.496,1.424,1.696,1.696,118.128,25.152,27.344,5.552,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058430344311159,0.0081062316894531,0.0047683715820312,0.0047683715820312,0.0069141387939453,0.0069141387939453,0.0062056950160435,0.0083446502685546,0.0082254409790039,0.0100612640380859,0.008702278137207,0.0073909759521484,0.0073909759521484,0.008249282836914,0.009918212890625,0.0204086303710937,0.496,1.424,1.696,1.696,113.256,25.152,27.344,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060363788509843,0.0078678131103515,0.00762939453125,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0062056950160435,0.0083446502685546,0.0082254409790039,0.0100612640380859,0.008702278137207,0.0107288360595703,0.0107288360595703,0.008249282836914,0.009918212890625,0.0204086303710937,0.496,1.36,1.696,1.696,113.256,25.152,27.344,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063174992651488,0.0088214874267578,0.0045299530029296,0.0045299530029296,0.0064373016357421,0.0064373016357421,0.0062056950160435,0.0083446502685546,0.0082254409790039,0.0100612640380859,0.008702278137207,0.0083446502685546,0.0083446502685546,0.008249282836914,0.009918212890625,0.0204086303710937,0.496,1.36,1.696,1.696,113.256,25.152,27.344,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006181001663208,0.0085830688476562,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0062056950160435,0.0083446502685546,0.0082254409790039,0.0100612640380859,0.008702278137207,0.005960464477539,0.005960464477539,0.008249282836914,0.009918212890625,0.0204086303710937,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606002807617,0.0083446502685546,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0062056950160435,0.0083446502685546,0.0082254409790039,0.0100612640380859,0.008702278137207,0.0119209289550781,0.0119209289550781,0.008249282836914,0.009918212890625,0.0204086303710937,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061233444969252,0.0083446502685546,0.0067949295043945,0.0078439712524414,0.0092983245849609,0.0092983245849609,0.0062056950160435,0.0083446502685546,0.0082254409790039,0.0100612640380859,0.008702278137207,0.0104904174804687,0.0104904174804687,0.008249282836914,0.009918212890625,0.0204086303710937,0.496,1.36,1.696,1.696,119.984,25.152,27.344,7.408,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059972355021766,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0073909759521484,0.0073909759521484,0.0062056950160435,0.0083446502685546,0.0082254409790039,0.0100612640380859,0.008702278137207,0.0131130218505859,0.0131130218505859,0.008249282836914,0.009918212890625,0.0204086303710937,0.496,1.424,1.696,1.696,115.096,25.152,27.344,2.808,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063528134984877,0.0085830688476562,0.0043895757086923,0.005340576171875,0.0064373016357421,0.0064373016357421,0.0062056950160435,0.0083446502685546,0.0082254409790039,0.0100612640380859,0.008702278137207,0.0143051147460937,0.0143051147460937,0.008249282836914,0.009918212890625,0.0204086303710937,0.496,1.424,1.696,1.696,128.288,25.152,27.344,795.464,0
