time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061883645899155,0.0085115432739257,0.0065326690673828,0.0087738037109375,0.0081062316894531,0.0081062316894531,0.0060830797467912,0.0061988830566406,0.0088214874267578,0.0088214874267578,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.36,0.848,0.848,128.64,25.152,27.344,24.456,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062143031637466,0.0081062316894531,0.0046094258626302,0.0064373016357421,0.0073909759521484,0.0073909759521484,0.0060830797467912,0.0061988830566406,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.424,0.848,0.848,117.192,25.152,27.344,69.68,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060090971230274,0.0078678131103515,0.0042915344238281,0.0042915344238281,0.0066757202148437,0.0066757202148437,0.0060830797467912,0.0061988830566406,0.0064373016357421,0.0064373016357421,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.424,0.848,0.848,113.256,25.152,27.344,1.192,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061272400353342,0.0085830688476562,0.0052452087402343,0.0059127807617187,0.0078678131103515,0.0078678131103515,0.0060830797467912,0.0061988830566406,0.0126361846923828,0.0126361846923828,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.36,0.848,0.848,120.056,25.152,27.344,7.416,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00610609947167,0.0081062316894531,0.0055631001790364,0.0063419342041015,0.0073909759521484,0.0073909759521484,0.0060830797467912,0.0061988830566406,0.0102519989013671,0.0102519989013671,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.424,0.848,0.848,117.784,25.152,27.344,5.144,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059711933135986,0.0078678131103515,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0060830797467912,0.0061988830566406,0.0126361846923828,0.0126361846923828,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.424,0.848,0.848,112.0,25.152,27.344,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006035566329956,0.0081062316894531,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0060830797467912,0.0061988830566406,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058341026306152,0.0078678131103515,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0060830797467912,0.0061988830566406,0.0121593475341796,0.0121593475341796,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059805294074634,0.0081062316894531,0.0063578287760416,0.0077724456787109,0.0073909759521484,0.0073909759521484,0.0060830797467912,0.0061988830566406,0.0083446502685546,0.0083446502685546,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.36,0.848,0.848,120.432,25.152,27.344,21.896,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057611892472452,0.00762939453125,0.0104904174804687,0.0104904174804687,0.011444091796875,0.011444091796875,0.0060830797467912,0.0061988830566406,0.0150203704833984,0.0150203704833984,0.0061988830566406,0.0080108642578125,0.0097479139055524,0.0162124633789062,0.0162124633789062,0.0201702117919921,0.496,1.424,0.848,0.848,113.256,25.152,27.344,1.192,0
