time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060461099865367,0.0081062316894531,0.009775161743164,0.009775161743164,0.0063843197292751,0.0079631805419921,0.0064373016357421,0.0064373016357421,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,138.832,25.152,27.344,46.456,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060461099865367,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0063843197292751,0.0079631805419921,0.009775161743164,0.009775161743164,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,138.832,25.152,27.344,46.456,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060296058654785,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0061988830566406,0.0090599060058593,0.0090599060058593,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.424,1.696,1.696,112.0,25.152,27.344,6.328,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058798054557534,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0081062316894531,0.0081062316894531,0.0121593475341796,0.0121593475341796,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.392,1.696,1.696,113.256,25.152,27.344,1.192,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062285371087676,0.0081062316894531,0.00762939453125,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0095367431640625,0.0095367431640625,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,113.256,25.152,27.344,1.192,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058560822140518,0.0081062316894531,0.00762939453125,0.00762939453125,0.0047683715820312,0.0047683715820312,0.00762939453125,0.00762939453125,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,113.256,25.152,27.344,1.192,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063169002532958,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006119024406359,0.0082254409790039,0.0061988830566406,0.0061988830566406,0.0061591466267903,0.0081062316894531,0.0116825103759765,0.0116825103759765,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,139.216,25.152,27.344,30.16,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059485435485839,0.0078678131103515,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060951709747314,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0062193189348493,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0081062316894531,0.0110864639282226,0.0097274780273437,0.0208854675292968,0.496,1.424,1.696,1.696,112.0,25.152,27.344,0.0,0
