time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062702934523135,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0061988830566406,0.0082254409790039,0.0067710876464843,0.0085830688476562,0.0085830688476562,0.0045530257686491,0.0073909759521484,0.0113725662231445,0.009686858565719,0.0195980072021484,0.496,0.0,1.36,0.0,1.696,1.696,141.672,19.048,20.424,0.0,0.006263072674091,0.0082254409790039,317.064,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058715023211578,0.00762939453125,0.0078678131103515,0.0078678131103515,0.0061988830566406,0.0082254409790039,0.0067710876464843,0.0061988830566406,0.0061988830566406,0.0045299530029296,0.0045299530029296,0.0113725662231445,0.009686858565719,0.0195980072021484,0.496,0.0,1.424,0.0,1.696,1.696,113.256,19.048,20.424,0.0,0.006263072674091,0.0082254409790039,1.192,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059700012207031,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0061988830566406,0.0082254409790039,0.0067710876464843,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0113725662231445,0.009686858565719,0.0195980072021484,0.496,0.0,1.36,0.0,1.696,1.696,112.0,19.048,20.424,0.0,0.006263072674091,0.0082254409790039,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005958080291748,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0061988830566406,0.0082254409790039,0.0067710876464843,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0113725662231445,0.009686858565719,0.0195980072021484,0.496,0.0,1.36,0.0,1.696,1.696,112.0,19.048,20.424,0.0,0.006263072674091,0.0082254409790039,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061607360839843,0.0083684921264648,0.0071525573730468,0.0071525573730468,0.0061988830566406,0.0082254409790039,0.0067710876464843,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0113725662231445,0.009686858565719,0.0195980072021484,0.496,0.0,1.36,0.0,1.696,1.696,112.0,19.048,20.424,0.0,0.006263072674091,0.0082254409790039,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060968731173235,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0082254409790039,0.0067710876464843,0.0116825103759765,0.0116825103759765,0.004819461277553,0.0075578689575195,0.0113725662231445,0.009686858565719,0.0195980072021484,0.496,0.0,1.36,0.0,1.696,1.696,117.192,19.048,20.424,0.0,0.006263072674091,0.0082254409790039,153.952,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0067845131587056,0.0094175338745117,0.0109672546386718,0.0109672546386718,0.0061988830566406,0.0082254409790039,0.0067710876464843,0.009775161743164,0.009775161743164,0.0039421551600451,0.0047683715820312,0.0113725662231445,0.009686858565719,0.0195980072021484,0.496,0.0,1.424,0.0,1.696,1.696,138.224,19.048,20.424,0.0,0.006263072674091,0.0082254409790039,11975.288,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006603722525115,0.0088214874267578,0.013589859008789,0.013589859008789,0.0061988830566406,0.0082254409790039,0.0067710876464843,0.0095367431640625,0.0095367431640625,0.003912978445177,0.0047683715820312,0.0113725662231445,0.009686858565719,0.0195980072021484,0.496,0.0,1.424,0.0,1.696,1.696,118.448,19.048,20.424,0.0,0.006263072674091,0.0082254409790039,11789.56,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060506127960053,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0061988830566406,0.0082254409790039,0.0067710876464843,0.0112056732177734,0.0112056732177734,0.0073909759521484,0.0073909759521484,0.0113725662231445,0.009686858565719,0.0195980072021484,0.496,0.0,1.424,0.0,1.696,1.696,113.256,19.048,20.424,0.0,0.006263072674091,0.0082254409790039,1.192,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061493108768274,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0038737342471168,0.0045299530029296,0.0,0.009686858565719,0.0195980072021484,0.496,0.0,1.36,0.0,0.0,0.0,122.384,19.048,20.424,0.0,0.006263072674091,0.0082254409790039,3537.4,0
